ss
15.2 scans/second,  7.6 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 2 0 0
14.9 scans/second,  7.6 7.3 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 2 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 0 0 0
14.9 scans/second,  7.6 7.3 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 2 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 0 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 2 0 0

>ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.22 Tx A1 1.15 A2 1.19                 EA 0.87   12.5 V     3.3 V   15:45:54.46
Rx 0.20 Tx A1 1.16 A2 1.19                 EA 0.86   12.5 V     3.3 V   15:45:54.97
Rx 0.15 Tx A1 1.09 A2 1.18                 EA 0.82   12.5 V     3.3 V   15:45:55.49

>av
AV [supply voltage]

>

>ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.17 Tx A1 1.15 A2 1.19                 EA 0.85   12.5 V     3.3 V   15:46:18.14
Rx 0.15 Tx A1 1.15 A2 1.14                 EA 0.82   12.5 V     3.3 V   15:46:18.65
Rx 0.15 Tx A1 1.15 A2 1.17                 EA 0.83   12.5 V     3.3 V   15:46:19.17
Rx 0.17 Tx A1 1.15 A2 1.19                 EA 0.85   12.5 V     3.3 V   15:46:19.68
Rx 0.19 Tx A1 1.16 A2 1.19                 EA 0.86   12.5 V     3.3 V   15:46:20.20

>up
upload #52 start: 05/10/2013 13:04:59.82
Site code: JUL
--------- upload 52 start ---------
05/10/2013 13:04:59.82 upload 51 complete
05/10/2013 13:08:27.49 supply power ok 12.9V
05/10/2013 13:08:27.49 database file opened
05/10/2013 13:08:27.49 starting reader after power up
05/10/2013 13:09:02.80  00:00:00.14 R 0000_0000000180843403 A1    2   224
05/10/2013 13:23:58.10  00:00:00.14 R 0000_0000000180843403 A1    2  6904
05/10/2013 13:34:28.41  00:00:00.13 R 0000_0000000180598569 A2    2 11562
05/10/2013 13:38:53.29  00:00:00.14 R 0000_0000000180843403 A1    2  6825
05/10/2013 13:53:48.63  00:00:00.00 R 0000_0000000180843403 A1    1  6847
05/10/2013 14:05:21.85  00:00:00.15 R 0000_0000000180598569 A2    2 13777
05/10/2013 14:08:44.00  00:00:00.00 R 0000_0000000180843403 A1    1  6931
05/10/2013 14:23:39.21  00:00:00.14 R 0000_0000000180843403 A1    2  6978
05/10/2013 14:36:15.18  00:00:00.14 R 0000_0000000180598569 A2    2 13519
05/10/2013 14:38:34.61  00:00:00.13 R 0000_0000000180843403 A1    2  7030
05/10/2013 14:53:29.98  00:00:00.00 R 0000_0000000180843403 A1    1  7020
05/10/2013 15:07:08.36  00:00:00.14 R 0000_0000000180598569 A2    2 13388
05/10/2013 15:08:25.19  00:00:00.14 R 0000_0000000180843403 A1    2  7120
05/10/2013 15:23:20.61  00:00:00.14 R 0000_0000000180843403 A1    2  7182
05/10/2013 15:38:01.52  00:00:00.14 R 0000_0000000180598569 A2    2 13039
05/10/2013 15:38:16.16  00:00:00.00 R 0000_0000000180843403 A1    1  7278
05/10/2013 15:53:11.79  00:00:00.00 R 0000_0000000180843403 A1    1  7269
05/10/2013 16:08:07.36  00:00:00.13 R 0000_0000000180843403 A1    2  7063
05/10/2013 16:08:54.80  00:00:00.00 R 0000_0000000180598569 A2    1 13175
05/10/2013 16:23:03.01  00:00:00.14 R 0000_0000000180843403 A1    2  7029
05/10/2013 16:37:58.76  00:00:00.14 R 0000_0000000180843403 A1    2  7004
05/10/2013 16:39:47.89  00:00:00.14 R 0000_0000000180598569 A2    2 13507
