ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.15 Tx A1 1.27 A2 1.20                 EA 0.88   12.7 V     3.3 V   16:03:35.31
Rx 0.17 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:35.82
Rx 0.16 Tx A1 1.28 A2 1.16                 EA 0.88   12.7 V     3.3 V   16:03:36.33
Rx 0.15 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:36.84
Rx 0.15 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:37.36

>up
upload #56 start: 05/21/2013 11:01:36.38
Site code: JUL
--------- upload 56 start ---------
05/21/2013 11:01:36.38 upload 55 complete
05/21/2013 11:06:14.72 supply power ok 12.8V
05/21/2013 11:06:14.72 database file opened
05/21/2013 11:06:14.72 starting reader after power up
05/21/2013 11:09:50.50  00:00:00.00 R 0000_0000000180843403 A1    1  1588
05/21/2013 11:24:45.90  00:00:00.14 R 0000_0000000180843403 A1    2  6789
05/21/2013 11:30:12.65  00:00:00.14 R 0000_0000000180598569 A2    2 10783
05/21/2013 11:39:41.54  00:00:00.00 R 0000_0000000180843403 A1    1  6788
05/21/2013 11:54:37.09  00:00:00.14 R 0000_0000000180843403 A1    2  6779
05/21/2013 12:01:06.02  00:00:00.13 R 0000_0000000180598569 A2    2 13978
05/21/2013 12:09:32.63  00:00:00.13 R 0000_0000000180843403 A1    2  6774
05/21/2013 12:24:28.19  00:00:00.13 R 0000_0000000180843403 A1    2  6771
05/21/2013 12:31:59.36  00:00:00.13 R 0000_0000000180598569 A2    2 13991
05/21/2013 12:39:23.64  00:00:00.14 R 0000_0000000180843403 A1    2  6771
05/21/2013 12:54:19.09  00:00:00.13 R 0000_0000000180843403 A1    2  6779
05/21/2013 13:02:52.80  00:00:00.14 R 0000_0000000180598569 A2    2 13981
05/21/2013 13:09:14.50  00:00:00.13 R 0000_0000000180843403 A1    2  6778
05/21/2013 13:24:09.74  00:00:00.00 R 0000_0000000180843403 A1    1  6773
05/21/2013 13:33:46.32  00:00:00.00 R 0000_0000000180598569 A2    1 13983
05/21/2013 13:39:04.89  00:00:00.14 R 0000_0000000180843403 A1    2  6775
05/21/2013 13:54:00.16  00:00:00.14 R 0000_0000000180843403 A1    2  6771
05/21/2013 14:04:39.61  00:00:00.13 R 0000_0000000180598569 A2    2 13984
05/21/2013 14:08:55.44  00:00:00.14 R 0000_0000000180843403 A1    2  6779
05/21/2013 14:23:50.83  00:00:00.00 R 0000_0000000180843403 A1    1  6772
05/21/2013 14:35:32.86  00:00:00.14 R 0000_0000000180598569 A2    2 13990
05/21/2013 14:38:46.24  00:00:00.14 R 0000_0000000180843403 A1    2  6771
05/21/2013 14:53:41.53  00:00:00.13 R 0000_0000000180843403 A1    2  6772
05/21/2013 15:06:26.20  00:00:00.13 R 0000_0000000180598569 A2    2 13991
05/21/2013 15:08:37.00  00:00:00.14 R 0000_0000000180843403 A1    2  6771
05/21/2013 15:23:32.40  00:00:00.14 R 0000_0000000180843403 A1    2  6776
05/21/2013 15:37:19.61  00:00:00.00 R 0000_0000000180598569 A2    1 13981
05/21/2013 15:38:27.83  00:00:00.14 R 0000_0000000180843403 A1    2  6778
05/21/2013 15:53:23.36  00:00:00.14 R 0000_0000000180843403 A1    2  6777
05/21/2013 16:08:12.73  00:00:00.13 R 0000_0000000180598569 A2    2 13975
05/21/2013 16:08:18.76  00:00:00.13 R 0000_0000000180843403 A1    2  6780
05/21/2013 16:23:14.33  00:00:00.00 R 0000_0000000180843403 A1    1  6770
05/21/2013 16:38:09.73  00:00:00.14 R 0000_0000000180843403 A1    2  6772
05/21/2013 16:39:05.90  00:00:00.15 R 0000_0000000180598569 A2    2 13990
05/21/2013 16:53:05.27  00:00:00.13 R 0000_0000000180843403 A1    2  6772
05/21/2013 17:08:00.85  00:00:00.15 R 0000_0000000180843403 A1    2  6776
05/21/2013 17:09:59.10  00:00:00.14 R 0000_0000000180598569 A2    2 13987
05/21/2013 17:22:56.34  00:00:00.14 R 0000_0000000180843403 A1    2  6783
05/21/2013 17:37:51.83  00:00:00.14 R 0000_0000000180843403 A1    2  6809
05/21/2013 17:40:52.16  00:00:00.00 R 0000_0000000180598569 A2    1 13929
05/21/2013 17:52:47.33  00:00:00.13 R 0000_0000000180843403 A1    2  6803
05/21/2013 18:07:42.89  00:00:00.15 R 0000_0000000180843403 A1    2  6798
05/21/2013 18:11:45.26  00:00:00.00 R 0000_0000000180598569 A2    1 13932
05/21/2013 18:22:38.21  00:00:00.13 R 0000_0000000180843403 A1    2  6786
05/21/2013 18:37:33.73  00:00:00.00 R 0000_0000000180843403 A1    1  6773
05/21/2013 18:42:38.29  00:00:00.13 R 0000_0000000180598569 A2    2 13982
05/21/2013 18:52:29.18  00:00:00.13 R 0000_0000000180843403 A1    2  6772
05/21/2013 19:07:24.83  00:00:00.13 R 0000_0000000180843403 A1    2  6771
05/21/2013 19:13:31.58  00:00:00.14 R 0000_0000000180598569 A2    2 13986
05/21/2013 19:22:20.44  00:00:00.00 R 0000_0000000180843403 A1    1  6782
05/21/2013 19:37:15.92  00:00:00.13 R 0000_0000000180843403 A1    2  6771
05/21/2013 19:44:24.59  00:00:00.14 R 0000_0000000180598569 A2    2 13985
05/21/2013 19:52:11.42  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/21/2013 20:07:06.98  00:00:00.13 R 0000_0000000180843403 A1    2  6770
05/21/2013 20:15:17.61  00:00:00.00 R 0000_0000000180598569 A2    1 13995
05/21/2013 20:22:02.54  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/21/2013 20:36:58.21  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/21/2013 20:46:10.46  00:00:00.14 R 0000_0000000180598569 A2    2 13992
05/21/2013 20:51:53.83  00:00:00.00 R 0000_0000000180843403 A1    1  6770
05/21/2013 21:06:49.41  00:00:00.00 R 0000_0000000180843403 A1    1  6776
05/21/2013 21:17:03.02  00:00:00.00 R 0000_0000000180598569 A2    1 13983
05/21/2013 21:21:45.00  00:00:00.14 R 0000_0000000180843403 A1    2  6769
05/21/2013 21:36:40.76  00:00:00.00 R 0000_0000000180843403 A1    1  6771
05/21/2013 21:47:55.30  00:00:00.14 R 0000_0000000180598569 A2    2 13985
05/21/2013 21:51:36.53  00:00:00.00 R 0000_0000000180843403 A1    1  6771
05/21/2013 22:06:32.12  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/21/2013 22:18:47.82  00:00:00.13 R 0000_0000000180598569 A2    2 13991
05/21/2013 22:21:27.91  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/21/2013 22:36:23.41  00:00:00.13 R 0000_0000000180843403 A1    2  6772
05/21/2013 22:49:40.19  00:00:00.14 R 0000_0000000180598569 A2    2 13985
05/21/2013 22:51:19.01  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/21/2013 23:06:14.63  00:00:00.13 R 0000_0000000180843403 A1    2  6770
05/21/2013 23:20:32.89  00:00:00.15 R 0000_0000000180598569 A2    2 13990
05/21/2013 23:21:10.29  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/21/2013 23:36:06.07  00:00:00.00 R 0000_0000000180843403 A1    1  6775
05/21/2013 23:51:01.68  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/21/2013 23:51:25.44  00:00:00.13 R 0000_0000000180598569 A2    2 13986
05/22/2013 00:05:57.41  00:00:00.00 R 0000_0000000180843403 A1    1  6770
05/22/2013 00:20:52.95  00:00:00.15 R 0000_0000000180843403 A1    2  6769
05/22/2013 00:22:18.15  00:00:00.00 R 0000_0000000180598569 A2    1 13990
05/22/2013 00:35:48.62  00:00:00.13 R 0000_0000000180843403 A1    2  6771
05/22/2013 00:50:44.22  00:00:00.13 R 0000_0000000180843403 A1    2  6775
05/22/2013 00:53:10.82  00:00:00.13 R 0000_0000000180598569 A2    2 13980
05/22/2013 01:05:39.79  00:00:00.00 R 0000_0000000180843403 A1    1  6778
05/22/2013 01:20:35.30  00:00:00.00 R 0000_0000000180843403 A1    1  6774
05/22/2013 01:24:03.55  00:00:00.13 R 0000_0000000180598569 A2    2 13976
05/22/2013 01:35:30.88  00:00:00.00 R 0000_0000000180843403 A1    1  6773
05/22/2013 01:50:26.26  00:00:00.14 R 0000_0000000180843403 A1    2  6777
05/22/2013 01:54:56.32  00:00:00.14 R 0000_0000000180598569 A2    2 13979
05/22/2013 02:05:21.84  00:00:00.00 R 0000_0000000180843403 A1    1  6776
05/22/2013 02:20:17.42  00:00:00.00 R 0000_0000000180843403 A1    1  6779
05/22/2013 02:25:49.02  00:00:00.14 R 0000_0000000180598569 A2    2 13971
05/22/2013 02:35:13.01  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 02:50:08.56  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/22/2013 02:56:41.67  00:00:00.14 R 0000_0000000180598569 A2    2 13993
05/22/2013 03:05:04.22  00:00:00.14 R 0000_0000000180843403 A1    2  6770
05/22/2013 03:19:59.78  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/22/2013 03:27:34.46  00:00:00.00 R 0000_0000000180598569 A2    1 13997
05/22/2013 03:34:55.29  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 03:49:50.79  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 03:58:27.03  00:00:00.14 R 0000_0000000180598569 A2    2 14000
05/22/2013 04:04:46.44  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 04:19:41.94  00:00:00.00 R 0000_0000000180843403 A1    1  6766
05/22/2013 04:29:19.81  00:00:00.00 R 0000_0000000180598569 A2    1 14001
05/22/2013 04:34:37.44  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 04:49:33.13  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 05:00:12.29  00:00:00.00 R 0000_0000000180598569 A2    1 14000
05/22/2013 05:04:28.75  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 05:19:24.41  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 05:31:04.80  00:00:00.00 R 0000_0000000180598569 A2    1 14001
05/22/2013 05:34:20.02  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 05:49:15.56  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 06:01:57.28  00:00:00.13 R 0000_0000000180598569 A2    2 14001
05/22/2013 06:04:11.24  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 06:19:06.82  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 06:32:49.67  00:00:00.14 R 0000_0000000180598569 A2    2 13999
05/22/2013 06:34:02.38  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 06:48:58.05  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 07:03:42.36  00:00:00.00 R 0000_0000000180598569 A2    1 14001
05/22/2013 07:03:53.80  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 07:18:49.52  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 07:33:45.21  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 07:34:35.16  00:00:00.00 R 0000_0000000180598569 A2    1 14003
05/22/2013 07:48:40.80  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 08:03:36.54  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 08:05:27.88  00:00:00.00 R 0000_0000000180598569 A2    1 14002
05/22/2013 08:18:32.26  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/22/2013 08:33:27.81  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 08:36:20.29  00:00:00.13 R 0000_0000000180598569 A2    2 14000
05/22/2013 08:48:23.41  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/22/2013 09:03:19.08  00:00:00.00 R 0000_0000000180843403 A1    1  6769
05/22/2013 09:07:12.81  00:00:00.00 R 0000_0000000180598569 A2    1 14000
05/22/2013 09:18:14.66  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/22/2013 09:33:10.21  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 09:38:05.34  00:00:00.00 R 0000_0000000180598569 A2    1 14001
05/22/2013 09:48:05.74  00:00:00.13 R 0000_0000000180843403 A1    2  6774
05/22/2013 10:03:01.46  00:00:00.13 R 0000_0000000180843403 A1    2  6769
05/22/2013 10:08:57.97  00:00:00.00 R 0000_0000000180598569 A2    1 13992
05/22/2013 10:17:57.15  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 10:32:52.70  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 10:39:50.84  00:00:00.00 R 0000_0000000180598569 A2    1 13997
05/22/2013 10:45:12.45 supply power ok 13.1V
05/22/2013 10:45:12.45 database file opened
05/22/2013 10:45:12.45 starting reader after power up
05/22/2013 10:47:48.16  00:00:00.14 R 0000_0000000180843403 A1    2  1130
05/22/2013 11:02:43.71  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 11:10:43.55  00:00:00.14 R 0000_0000000180598569 A2    2 11524
05/22/2013 11:17:39.34  00:00:00.00 R 0000_0000000180843403 A1    1  6767
