ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx         A2 0.89                 EA 0.44   11.6 V     3.1 V   14:32:38.22
Rx 0.21 Tx         A2 0.93                 EA 0.44   11.6 V     3.1 V   14:32:38.73
Rx 0.22 Tx         A2 0.92                 EA 0.44   11.6 V     3.1 V   14:32:39.25
Rx 0.22 Tx         A2 0.92                 EA 0.44   11.6 V     3.1 V   14:32:39.76
Rx 0.23 Tx         A2 0.92                 EA 0.45   11.6 V     3.1 V   14:32:40.28
Rx 0.23 Tx         A2 0.92                 EA 0.45   11.6 V     3.1 V   14:32:40.79
Rx 0.23 Tx         A2 0.89                 EA 0.44   11.6 V     3.1 V   14:32:41.31
Rx 0.21 Tx         A2 0.88                 EA 0.43   11.6 V     3.1 V   14:32:41.82

>up
Upload #4
Reader: Noname  Site: AA
--------- upload 4 start ---------
E 2014-05-29 10:52:01.67 upload 3 complete
E 2014-05-29 10:53:08.81 supply power ok 12.3V
E 2014-05-29 10:53:08.81 database file opened
E 2014-05-29 10:53:08.81 starting reader after power up
D 2014-05-29 11:36:02.41 00:00:00.00 HR 0000_0000000180843440 A2    1 41275
D 2014-05-29 11:36:02.54 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-05-29 12:05:52.36 00:00:00.00 HR 0000_0000000180843440 A2    1 28772
D 2014-05-29 12:20:47.31 00:00:00.00 HR 0000_0000000180843440 A2    1 14386
D 2014-05-29 12:20:47.43 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-05-29 12:35:42.38 00:00:00.00 HR 0000_0000000180843440 A2    1 14387
D 2014-05-29 12:35:42.51 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-05-29 13:20:26.73 00:00:00.00 HR 0000_0000000180843440 A2    1 43152
D 2014-05-29 13:50:16.58 00:00:00.00 HR 0000_0000000180843440 A2    1 28774
D 2014-05-29 14:49:55.91 00:00:00.00 HR 0000_0000000180843440 A2    1 57542
D 2014-05-29 14:49:55.05 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-05-29 15:04:50.63 00:00:00.00 HR 0000_0000000180843440 A2    1 14381
D 2014-05-29 15:49:34.92 00:00:00.00 HR 0000_0000000180843440 A2    1 43153
D 2014-05-29 16:19:24.68 00:00:00.00 HR 0000_0000000180843440 A2    1 28771
