

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx         A2 0.96                 EA 0.46   12.3 V     3.2 V   13:16:49.86
Rx 0.23 Tx         A2 0.95                 EA 0.47   12.3 V     3.2 V   13:16:50.38
Rx 0.22 Tx         A2 1.02                 EA 0.48   12.3 V     3.2 V   13:16:50.88

>up
Upload #8
Reader: Noname  Site: AA
--------- upload 8 start ---------
E 2014-06-09 10:51:01.43 upload 7 complete
E 2014-06-09 10:52:31.52 supply power ok 12.4V
E 2014-06-09 10:52:31.52 database file opened
E 2014-06-09 10:52:31.53 starting reader after power up
D 2014-06-09 11:11:17.02 00:00:00.00 HR 0000_0000000180843440 A2    1 17985
D 2014-06-09 11:41:06.20 00:00:00.00 HR 0000_0000000180843440 A2    1 28751
D 2014-06-09 11:41:06.33 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 12:10:55.49 00:00:00.00 HR 0000_0000000180843440 A2    1 28760
D 2014-06-09 12:40:44.56 00:00:00.00 HR 0000_0000000180843440 A2    1 28758
D 2014-06-09 12:40:44.69 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 13:25:28.50 00:00:00.00 HR 0000_0000000180843440 A2    1 43140
D 2014-06-09 13:25:28.63 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 13:55:17.89 00:00:00.00 HR 0000_0000000180843440 A2    1 28759
D 2014-06-09 14:10:12.32 00:00:00.00 HR 0000_0000000180843440 A2    1 14376
D 2014-06-09 14:10:12.45 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 14:25:06.76 00:00:00.00 HR 0000_0000000180843440 A2    1 14374
D 2014-06-09 16:09:28.10 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-09 16:09:28.23 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 16:39:16.99 00:00:00.00 HR 0000_0000000180843440 A2    1 28753
D 2014-06-09 16:39:17.12 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 16:54:11.39 00:00:00.00 HR 0000_0000000180843440 A2    1 14374
D 2014-06-09 17:09:05.75 00:00:00.00 HR 0000_0000000180843440 A2    1 14375
D 2014-06-09 17:09:05.87 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 17:38:54.64 00:00:00.00 HR 0000_0000000180843440 A2    1 28753
D 2014-06-09 17:53:48.95 00:00:00.00 HR 0000_0000000180843440 A2    1 14375
D 2014-06-09 18:23:38.20 00:00:00.00 HR 0000_0000000180843440 A2    1 28762
D 2014-06-09 18:53:27.28 00:00:00.00 HR 0000_0000000180843440 A2    1 28759
D 2014-06-09 18:53:27.41 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 19:38:10.66 00:00:00.00 HR 0000_0000000180843440 A2    1 43135
D 2014-06-09 19:38:10.79 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 20:07:59.29 00:00:00.00 HR 0000_0000000180843440 A2    1 28748
D 2014-06-09 20:22:53.67 00:00:00.00 HR 0000_0000000180843440 A2    1 14375
D 2014-06-09 20:22:53.80 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-09 20:52:42.86 00:00:00.00 HR 0000_0000000180843440 A2    1 28755
