up
Upload #20
Reader: Noname  Site: AA
--------- upload 20 start ---------
E 2015-04-09 16:45:16.10 upload 19 complete
E 2015-04-09 16:48:46.74 supply power ok 12.1V
E 2015-04-09 16:48:46.74 database file opened
E 2015-04-09 16:48:46.74 starting reader after power up
D 2015-04-09 16:48:56.65 00:00:00.81 HR 0000_0000000181177678 A1    5    18
D 2015-04-09 16:48:57.86 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2015-04-09 16:48:58.87 00:00:00.00 HR 0000_0000000181177678 A1    1     4
D 2015-04-09 16:48:59.88 00:00:01.01 HR 0000_0000000181177678 A1    6     4
D 2015-04-09 16:49:08.75 00:00:01.81 HA      900_226000080312 A1   10    38
D 2015-04-09 16:49:13.39 00:00:00.81 HA      900_226000080312 A1    5    13
D 2015-04-09 16:49:15.40 00:00:00.62 HA      900_226000080312 A1    4     5
D 2015-04-09 16:49:40.28 00:00:02.63 HR 0000_0000000181177679 A3   14   234
D 2015-04-09 16:49:43.51 00:00:02.83 HR 0000_0000000181177679 A3   15     2
D 2015-04-09 16:49:46.64 00:00:00.00 HR 0000_0000000180598569 A1    1   151
D 2015-04-09 17:04:43.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 17:19:40.02 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 17:34:36.66 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 17:49:33.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 18:04:29.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 18:19:26.37 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 18:34:23.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 18:49:19.52 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 19:04:16.16 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 19:19:12.64 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 19:34:09.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 19:49:05.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 20:04:02.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 20:18:58.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 20:33:55.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 20:48:51.68 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2015-04-09 21:03:48.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 21:18:45.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 21:33:41.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 21:48:38.25 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 22:03:34.93 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-09 22:18:31.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-09 22:33:27.86 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
