up
Upload #26
Reader: Noname  Site: AA
--------- upload 26 start ---------
E 2015-06-11 21:40:19.80 upload 25 complete
E 2015-06-11 21:46:11.39 supply power ok 11.8V
E 2015-06-11 21:46:11.39 database file opened
E 2015-06-11 21:46:11.39 starting reader after power up
D 2015-06-11 21:50:59.21 00:00:00.00 HR 0000_0000000180573731 A3    1  1399
D 2015-06-11 22:05:57.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-11 22:20:55.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-11 22:35:53.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-11 22:50:51.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-11 23:05:49.42 00:00:00.20 HR 0000_0000000180573731 A3    2  4457
D 2015-06-11 23:20:47.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-11 23:35:45.06 00:00:00.20 HR 0000_0000000180573731 A3    2  4457
D 2015-06-11 23:50:43.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 00:05:41.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-12 00:20:39.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-12 00:35:37.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-12 00:50:34.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 01:05:32.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 01:20:30.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 01:35:28.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 01:50:26.03 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 02:05:23.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 02:20:21.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 02:35:19.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 02:50:16.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 03:05:14.44 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 03:20:12.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 03:35:10.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 03:50:07.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 04:05:05.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 04:20:03.04 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 04:35:00.69 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-12 04:49:58.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-12 05:04:56.18 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-06-12 05:19:54.01 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-06-12 05:34:52.04 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
