up
Upload #24
Reader: Noname  Site: AA
--------- upload 24 start ---------
E 2015-04-23 15:16:31.86 upload 23 complete
E 2015-04-23 15:20:30.01 supply power ok 12.2V
E 2015-04-23 15:20:30.02 database file opened
E 2015-04-23 15:20:30.02 starting reader after power up
D 2015-04-23 15:20:58.44 00:00:00.40 HR 0000_0000000181177678 A1    3   111
D 2015-04-23 15:21:00.05 00:00:03.84 HR 0000_0000000181177678 A1   20     5
D 2015-04-23 15:21:04.70 00:00:02.43 HR 0000_0000000181177678 A1   13     3
D 2015-04-23 15:21:08.74 00:00:01.21 HR 0000_0000000181177678 A1    7     7
D 2015-04-23 15:21:11.77 00:00:02.02 HR 0000_0000000181177678 A1   11     8
D 2015-04-23 15:21:14.20 00:00:00.60 HR 0000_0000000181177678 A1    4     1
D 2015-04-23 15:21:15.20 00:00:00.61 HR 0000_0000000181177678 A1    4     1
D 2015-04-23 15:21:16.22 00:00:00.60 HR 0000_0000000181177678 A1    4     1
D 2015-04-23 15:21:17.23 00:00:01.62 HR 0000_0000000181177678 A1    9     1
D 2015-04-23 15:21:50.44 00:00:00.41 HA      900_226000080312 A1    3   156
D 2015-04-23 15:21:53.07 00:00:00.40 HA      900_226000080312 A1    3    10
D 2015-04-23 15:21:53.87 23:59:59.42 HA      900_226000080312 A1    3     1
D 2015-04-23 15:23:00.30 00:00:01.21 HA      900_226000080312 A1    7   327
D 2015-04-23 15:23:01.91 00:00:00.00 HA      900_226000080312 A1    1     1
E 2015-04-23 15:25:03.15 parameter change: mux sequence '1'
E 2015-04-23 15:26:21.06 parameter change: mux sequence '13'
D 2015-04-23 15:26:29.25 00:00:00.60 HA      900_226000080312 A1    4  1417
D 2015-04-23 15:26:31.06 00:00:00.00 HA      900_226000080312 A1    1     5
D 2015-04-23 15:26:52.61 00:00:00.40 HA      900_226000080312 A1    3   106
D 2015-04-23 15:26:54.82 00:00:00.00 HA      900_226000080312 A1    1     8
D 2015-04-23 15:26:55.43 00:00:00.00 HA      900_226000080312 A1    1     2
D 2015-04-23 15:27:00.86 00:00:00.41 HA      900_226000080312 A1    3    26
D 2015-04-23 15:27:33.88 00:00:00.21 HA      900_226000080312 A1    2   161
D 2015-04-23 15:27:40.93 00:00:01.22 HR 0000_0000000181177678 A1    7    33
D 2015-04-23 15:27:42.55 00:00:07.68 HR 0000_0000000181177678 A1   39     1
D 2015-04-23 15:27:51.24 00:00:01.01 HR 0000_0000000181177678 A1    6     4
D 2015-04-23 15:27:53.26 00:00:00.81 HR 0000_0000000181177678 A1    5     4
D 2015-04-23 15:27:55.07 00:00:00.40 HR 0000_0000000181177678 A1    3     4
D 2015-04-23 15:28:09.38 00:00:00.20 HA      900_226000080312 A1    2    68
D 2015-04-23 15:28:09.98 00:00:00.00 HA      900_226000080312 A1    1     1
D 2015-04-23 15:28:10.39 00:00:01.40 HA      900_226000080312 A1    8     1
D 2015-04-23 15:28:12.21 00:00:02.01 HA      900_226000080312 A1   11     1
D 2015-04-23 15:28:14.83 00:00:00.00 HA      900_226000080312 A1    1     2
D 2015-04-23 15:28:23.29 00:00:00.20 HA      900_226000080312 A1    2    41
D 2015-04-23 15:28:24.51 00:00:00.40 HA      900_226000080312 A1    3     4
D 2015-04-23 15:28:25.52 00:00:03.03 HA      900_226000080312 A1   16     2
D 2015-04-23 15:28:28.95 00:00:01.22 HA      900_226000080312 A1    7     1
D 2015-04-23 15:28:34.40 00:00:00.00 HA      900_226000080312 A1    1    20
D 2015-04-23 15:28:34.01 00:00:00.00 HA      900_226000080312 A1    1     2
D 2015-04-23 15:29:06.00 00:00:00.60 HA      900_226000080312 A1    4   153
D 2015-04-23 15:29:07.61 00:00:00.00 HA      900_226000080312 A1    1     4
D 2015-04-23 15:29:10.44 00:00:00.00 HA      900_226000080312 A1    1    13
D 2015-04-23 15:29:10.05 00:00:00.20 HA      900_226000080312 A1    2     2
D 2015-04-23 15:29:11.65 00:00:00.00 HA      900_226000080312 A1    1     1
D 2015-04-23 15:29:12.05 00:00:00.40 HA      900_226000080312 A1    3     1
D 2015-04-23 15:29:12.26 00:00:01.20 HA      900_226000080312 A1    2     3
D 2015-04-23 15:29:13.87 00:00:00.61 HA      900_226000080312 A1    4     1
D 2015-04-23 15:29:15.89 00:00:00.80 HA      900_226000080312 A1    5     6
D 2015-04-23 15:29:16.10 00:00:02.61 HA      900_226000080312 A1    4     1
D 2015-04-23 15:29:48.11 00:00:00.00 HA      900_226000080312 A1    1   150
D 2015-04-23 15:30:29.18 00:00:00.60 HA      900_226000080312 A1    4   203
D 2015-04-23 15:31:06.23 00:00:00.40 HA      900_226000080312 A1    3   180
D 2015-04-23 15:31:06.03 00:00:00.00 HA      900_226000080312 A1    1     1
D 2015-04-23 15:31:13.48 00:00:00.00 HA      900_226000080312 A1    1    31
D 2015-04-23 15:31:37.44 00:00:01.00 HA      900_226000080312 A1    6   118
