UP
Upload #19
Reader: Noname  Site: AA
--------- upload 19 start ---------
E 2015-05-21 09:19:04.22 upload 18 complete
E 2015-05-21 09:20:33.30 supply power ok 11.9V
E 2015-05-21 09:20:33.30 database file opened
E 2015-05-21 09:20:33.30 starting reader after power up
D 2015-05-21 09:20:53.87 00:00:00.00 HA      900_226000080268 A3    1    72
D 2015-05-21 09:20:54.28 00:00:00.40 HA      900_226000080268 A3    3     1
D 2015-05-21 09:20:54.28 00:00:00.00 HA      900_226000080268 A3    1     2
D 2015-05-21 09:20:56.29 00:00:01.81 HA      900_226000080268 A3   10     4
D 2015-05-21 09:20:59.31 00:00:00.20 HA      900_226000080268 A3    2     5
D 2015-05-21 09:20:59.91 00:00:00.00 HA      900_226000080268 A3    1     1
D 2015-05-21 09:20:59.32 00:00:02.20 HA      900_226000080268 A3    7     1
D 2015-05-21 09:21:07.16 00:00:00.80 HR 0000_0000000181177678 A3    5    27
D 2015-05-21 09:21:20.35 00:00:00.81 HR 0000_0000000181177679 A1    5   202
D 2015-05-21 09:28:42.67 00:00:00.00 HR 0000_0000000180573731 A3    1  2247
D 2015-05-21 09:43:39.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 09:58:37.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 10:13:34.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 10:28:31.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 10:43:28.69 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-21 10:58:25.92 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 11:13:23.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 11:28:20.41 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 11:43:17.62 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-05-21 11:58:15.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-21 12:13:12.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-21 12:28:10.32 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-05-21 12:43:07.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-21 12:58:05.42 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-05-21 13:13:02.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-21 13:28:00.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-21 13:42:58.18 00:00:00.20 HR 0000_0000000180573731 A3    2  4457
D 2015-05-21 13:57:55.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-21 14:05:35.72 00:00:00.80 HR 0000_0000000181177686 A3    5  2283
D 2015-05-21 14:05:40.25 00:00:00.00 HR 0000_0000000181177686 A1    1     .
D 2015-05-21 14:05:44.58 00:00:00.20 HR 0000_0000000181177686 A3    2    39
D 2015-05-21 14:12:53.26 00:00:00.00 HR 0000_0000000180573731 A3    1  2127
D 2015-05-21 14:27:50.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-21 14:42:48.31 00:00:00.20 HR 0000_0000000180573731 A3    2  4457
D 2015-05-21 14:57:45.95 00:00:00.21 HR 0000_0000000180573731 A3    2  4456
D 2015-05-21 15:12:43.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
