UP
Upload #25
Reader: Noname  Site: AA
--------- upload 25 start ---------
E 2015-06-08 17:30:37.49 upload 24 complete
E 2015-06-08 17:33:12.51 supply power ok 11.8V
E 2015-06-08 17:33:12.51 database file opened
E 2015-06-08 17:33:12.51 starting reader after power up
D 2015-06-08 17:34:26.11 00:00:00.20 HR 0000_0000000181177679 A1    2   334
D 2015-06-08 17:34:26.71 00:00:00.61 HR 0000_0000000181177679 A1    4     1
D 2015-06-08 17:34:28.53 00:00:00.40 HR 0000_0000000181177679 A1    3     5
D 2015-06-08 17:34:29.33 00:00:00.00 HR 0000_0000000181177679 A1    1     1
D 2015-06-08 17:34:44.94 00:00:00.40 HR 0000_0000000181177678 A3    3   429
D 2015-06-08 17:34:45.74 00:00:02.22 HR 0000_0000000181177678 A3   12     1
D 2015-06-08 17:34:59.04 00:00:00.80 HA      900_226000080268 A3    5    54
D 2015-06-08 17:35:00.24 00:00:00.00 HA      900_226000080268 A3    1     1
D 2015-06-08 17:35:15.16 00:00:01.80 HA      900_226000080268 A3   10    73
D 2015-06-08 17:45:15.26 00:00:00.00 HR 0000_0000000180573731 A3    1  2970
D 2015-06-08 18:00:14.79 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2015-06-08 18:15:13.57 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2015-06-08 18:30:12.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-06-08 18:45:10.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-06-08 19:00:08.95 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2015-06-08 19:15:07.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-08 19:30:05.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-08 19:45:03.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-08 20:00:00.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-08 20:14:58.30 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-08 20:29:55.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 20:44:53.20 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-08 20:59:50.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-08 21:14:47.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-08 21:29:45.46 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 21:44:42.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 21:59:40.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 22:14:37.78 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 22:29:35.25 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 22:44:32.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 22:59:29.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-08 23:14:27.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 23:29:24.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-08 23:44:22.08 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-08 23:59:19.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-09 00:14:16.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 00:29:14.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 00:44:11.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 00:59:09.06 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 01:14:06.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 01:29:03.95 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 01:44:01.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 01:58:58.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-09 02:13:55.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-09 02:28:53.09 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-09 02:43:50.34 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-06-09 02:58:47.75 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-09 03:13:45.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-09 03:28:42.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 03:43:40.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-09 03:58:37.57 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
