up
Upload #16
Reader: Noname  Site: AA
--------- upload 16 start ---------
E 2016-04-11 14:46:10.34 upload 15 complete
E 2016-04-11 14:48:37.22 supply power ok 11.7V
E 2016-04-11 14:48:37.22 database file opened
E 2016-04-11 14:48:37.22 starting reader after power up
E 2016-04-11 14:48:59.14 supply power ok 11.7V
E 2016-04-11 14:48:59.14 database file opened
E 2016-04-11 14:48:59.14 starting reader after power up
D 2016-04-11 14:50:16.31 00:00:00.00 HA      900_226000080333 A1    1   359
D 2016-04-11 14:50:16.71 00:00:00.21 HA      900_226000080333 A1    2     1
D 2016-04-11 14:50:18.33 00:00:01.21 HA      900_226000080333 A1    7     6
D 2016-04-11 14:50:19.16 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-04-11 14:50:20.76 00:00:00.60 HA      900_226000080333 A1    4     2
D 2016-04-11 14:50:21.76 00:00:00.81 HA      900_226000080333 A1    5     1
D 2016-04-11 14:51:02.13 00:00:00.00 HA      900_226000791719 A3    1   586
D 2016-04-11 14:51:02.53 00:00:01.22 HA      900_226000791719 A3    7     1
D 2016-04-11 14:51:06.37 00:00:00.40 HA      900_226000791719 A3    3    12
D 2016-04-11 14:51:06.58 00:00:02.40 HA      900_226000791719 A3    3     3
D 2016-04-11 14:51:10.01 00:00:01.00 HA      900_226000791719 A3    6     9
D 2016-04-11 14:51:13.23 00:00:00.61 HA      900_226000791719 A3    4    10
D 2016-04-11 14:51:15.45 00:00:00.61 HA      900_226000791719 A3    4     7
D 2016-04-11 14:51:18.48 00:00:00.00 HA      900_226000791719 A3    1    11
D 2016-04-11 14:51:18.88 00:00:01.21 HA      900_226000791719 A3    7     1
D 2016-04-11 14:51:20.90 00:00:00.61 HA      900_226000791719 A3    4     3
D 2016-04-11 14:51:22.52 00:00:04.44 HA      900_226000791719 A3   23     4
D 2016-04-11 14:51:27.17 00:00:01.21 HA      900_226000791719 A3    2     5
D 2016-04-11 14:51:30.59 00:00:00.20 HA      900_226000791719 A3    2    10
D 2016-04-11 14:51:31.40 00:00:00.20 HA      900_226000791719 A3    2     2
D 2016-04-11 14:51:31.41 00:00:00.00 HA      900_226000791719 A3    1     3
D 2016-04-11 14:51:34.82 00:00:00.21 HA      900_226000791719 A3    2    11
D 2016-04-11 14:54:01.01 00:00:00.00 HR 0000_0000000180573731 A3    1   724
D 2016-04-11 14:54:48.22 00:00:00.00 HR 0000_0000000180843403 A1    1  1318
D 2016-04-11 15:08:59.87 00:00:00.21 HR 0000_0000000180573731 A3    2  4463
D 2016-04-11 15:09:42.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-11 15:23:58.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-04-11 15:24:37.40 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-11 15:38:57.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-04-11 15:39:31.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-11 15:53:56.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-04-11 15:54:26.42 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-11 16:08:54.46 00:00:00.20 HR 0000_0000000180573731 A3    2  4461
D 2016-04-11 16:09:21.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-11 16:23:52.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-04-11 16:24:16.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 16:38:50.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2016-04-11 16:39:10.91 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-11 16:53:48.96 00:00:00.21 HR 0000_0000000180573731 A3    2  4460
D 2016-04-11 16:54:05.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-11 17:08:46.84 00:00:00.22 HR 0000_0000000180573731 A3    2  4458
D 2016-04-11 17:09:00.44 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-04-11 17:23:44.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-04-11 17:23:55.49 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
E 2016-04-11 17:25:00.01 11.8V 0.20A 0.93A 0.00A 0.83A 0.00A  0N  0N  1N  
D 2016-04-11 17:38:42.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-04-11 17:38:50.72 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 17:53:39.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-04-11 17:53:45.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 18:08:37.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-04-11 18:08:40.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 18:23:34.36 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2016-04-11 18:23:35.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 18:38:31.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-04-11 18:38:31.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-04-11 18:53:26.23 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 18:53:28.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-04-11 19:08:21.26 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-04-11 19:08:25.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-04-11 19:23:16.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 19:23:23.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-04-11 19:38:11.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-04-11 19:38:20.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-04-11 19:53:06.81 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 19:53:16.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
E 2016-04-11 20:02:00.01 11.7V 0.20A 0.93A 0.00A 0.81A 0.00A  1N  0N  2N  
D 2016-04-11 20:08:01.90 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-04-11 20:08:13.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-04-11 20:22:57.17 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 20:23:10.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-04-11 20:37:52.23 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 20:38:07.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-04-11 20:52:47.52 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-04-11 20:53:04.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-04-11 21:07:42.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-04-11 21:08:01.22 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-04-11 21:22:37.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 21:22:58.12 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-04-11 21:37:32.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 21:37:55.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-04-11 21:52:28.11 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-04-11 21:52:51.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-04-11 22:07:23.37 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-04-11 22:07:48.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-04-11 22:22:18.45 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-04-11 22:22:45.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-04-11 22:37:13.73 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-04-11 22:37:42.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
