
Type 'HE' for help

>up
Upload #51
Reader: Noname  Site: AA
--------- upload 51 start ---------
E 2016-06-29 16:47:04.94 upload 50 complete
E 2016-06-29 16:49:56.37 supply power ok 11.9V
E 2016-06-29 16:49:56.37 database file opened
E 2016-06-29 16:49:56.37 starting reader after power up
D 2016-06-29 16:51:44.11 00:00:00.40 HA      900_228000093622 A1    3   516
D 2016-06-29 16:51:47.33 00:00:02.23 HA      900_228000093622 A1   12    13
D 2016-06-29 16:51:49.16 00:00:01.81 HA      900_228000093622 A1    5     2
D 2016-06-29 16:51:52.19 00:00:02.02 HA      900_228000093622 A1   11     5
D 2016-06-29 16:51:54.61 23:59:59.41 HA      900_228000093622 A1    3     1
D 2016-06-29 16:51:56.02 00:00:01.62 HA      900_228000093622 A1    9     4
D 2016-06-29 16:52:21.09 00:00:01.21 HA      900_226000080322 A3    7   699
D 2016-06-29 16:52:26.53 00:00:00.40 HA      900_226000080322 A3    3    20
D 2016-06-29 16:52:27.34 00:00:00.00 HA      900_226000080322 A3    1     1
D 2016-06-29 16:52:29.16 00:00:02.82 HA      900_226000080322 A3   15     8
D 2016-06-29 16:53:31.26 00:00:01.21 HA      900_228000093622 A1    7   464
D 2016-06-29 16:53:36.69 00:00:00.00 HR 0000_0000000180843403 A1    1    20
D 2016-06-29 16:55:22.11 00:00:00.00 HR 0000_0000000180573731 A3    1   844
D 2016-06-29 17:08:31.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-29 17:10:21.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-06-29 17:23:25.67 00:00:00.21 HR 0000_0000000180843403 A1    2  4442
D 2016-06-29 17:25:21.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-29 17:38:20.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-29 17:40:21.57 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2016-06-29 17:53:15.01 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-06-29 17:55:21.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-06-29 18:08:09.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-29 18:10:21.00 00:00:00.20 HR 0000_0000000180573731 A3    2  4467
D 2016-06-29 18:23:04.01 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-29 18:25:20.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-06-29 18:37:58.55 00:00:00.20 HR 0000_0000000180843403 A1    2  4442
D 2016-06-29 18:40:20.01 00:00:00.20 HR 0000_0000000180573731 A3    2  4466
D 2016-06-29 18:52:53.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-29 18:55:19.59 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-06-29 19:07:47.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-29 19:10:18.94 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-06-29 19:22:42.20 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-29 19:25:18.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
E 2016-06-29 19:26:00.01 12.0V 0.20A 0.57A 0.00A 0.84A 0.00A  0N  0N  0N  
D 2016-06-29 19:37:36.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-06-29 19:40:17.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-06-29 19:52:31.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-06-29 19:55:15.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-06-29 20:07:25.40 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-06-29 20:10:14.00 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
