up
Upload #22
Reader: Noname  Site: AA
--------- upload 22 start ---------
E 2016-04-27 13:25:51.28 upload 21 complete
E 2016-04-27 13:28:30.10 supply power ok 12.0V
E 2016-04-27 13:28:30.10 database file opened
E 2016-04-27 13:28:30.10 starting reader after power up
D 2016-04-27 13:28:38.73 00:00:00.41 HA      900_226000080333 A3    3    18
D 2016-04-27 13:28:53.93 00:00:00.41 HA      900_226000080333 A1    3    94
D 2016-04-27 13:28:55.35 00:00:00.20 HA      900_226000080333 A1    2     4
D 2016-04-27 13:29:21.10 00:00:00.41 HR 0000_0000000181177678 A1    3   126
D 2016-04-27 13:29:24.33 00:00:00.20 HR 0000_0000000181177678 A1    2    13
D 2016-04-27 13:29:24.93 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2016-04-27 13:29:40.04 00:00:00.20 HA      900_226000080333 A1    2    74
D 2016-04-27 13:29:41.85 00:00:00.21 HA      900_226000080333 A1    2     7
D 2016-04-27 13:29:46.28 00:00:00.60 HA      900_226000080333 A1    4    20
E 2016-04-27 13:30:03.66 supply power ok 12.0V
E 2016-04-27 13:30:03.66 database file opened
E 2016-04-27 13:30:03.66 starting reader after power up
D 2016-04-27 13:30:18.84 00:00:00.20 HA      900_226000080333 A1    2    56
D 2016-04-27 13:30:21.47 00:00:00.60 HA      900_226000080333 A1    4    11
D 2016-04-27 13:30:27.52 00:00:01.00 HA      900_226000080333 A1    6    26
D 2016-04-27 13:30:32.16 00:00:00.00 HA      900_226000080333 A1    1    17
D 2016-04-27 13:30:35.38 00:00:00.20 HA      900_226000080333 A1    2    15
D 2016-04-27 13:30:36.99 00:00:00.41 HA      900_226000080333 A1    3     6
D 2016-04-27 13:30:49.68 00:00:00.40 HR 0000_0000000181177678 A1    3    60
D 2016-04-27 13:30:51.29 00:00:00.20 HR 0000_0000000181177678 A1    2     5
D 2016-04-27 13:38:10.41 00:00:00.20 HR 0000_0000000180843403 A1    2  2179
D 2016-04-27 13:41:38.93 00:00:00.00 HR 0000_0000000180573731 A3    1  3433
D 2016-04-27 13:53:05.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-27 13:56:37.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-04-27 14:07:59.87 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-27 14:11:37.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-04-27 14:22:54.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-27 14:26:36.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-04-27 14:37:49.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-27 14:41:35.75 00:00:00.20 HR 0000_0000000180573731 A3    2  4463
D 2016-04-27 14:52:43.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-27 14:56:34.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-04-27 15:07:38.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-04-27 15:11:33.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-04-27 15:22:33.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-27 15:26:32.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-04-27 15:37:28.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-27 15:41:30.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-04-27 15:52:23.08 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-04-27 15:56:29.46 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
E 2016-04-27 16:06:00.01 11.9V 0.20A 0.91A 0.00A 0.85A 0.00A  1N  0N  0N  
D 2016-04-27 16:07:18.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-04-27 16:11:28.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2016-04-27 16:22:13.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-04-27 16:26:26.41 00:00:00.20 HR 0000_0000000180573731 A3    2  4460
D 2016-04-27 16:37:08.46 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
