up
Upload #62
Reader: Noname  Site: AA
--------- upload 62 start ---------
E 2016-05-13 14:03:18.93 upload 61 complete
E 2016-05-13 14:06:01.76 supply power ok 11.5V
E 2016-05-13 14:06:01.76 database file opened
E 2016-05-13 14:06:01.76 starting reader after power up
D 2016-05-13 14:06:15.97 00:00:00.60 HA      900_226000080333 A1    4    39
D 2016-05-13 14:06:16.98 00:00:00.99 HA      900_226000080333 A1    6     1
D 2016-05-13 14:06:18.58 00:00:00.00 HA      900_226000080333 A1    1     2
D 2016-05-13 14:06:18.39 00:00:00.00 HA      900_226000080333 A1    1     3
D 2016-05-13 14:06:27.44 00:00:02.01 HR 0000_0000000181177678 A1   11    39
D 2016-05-13 14:06:29.85 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2016-05-13 14:06:43.34 00:00:00.41 HR 0000_0000000181177678 A1    3    66
D 2016-05-13 14:06:43.14 00:00:02.62 HR 0000_0000000181177678 A1    9     1
D 2016-05-13 14:06:45.17 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2016-05-13 14:06:55.83 00:00:00.41 HR 0000_0000000181177678 A1    3    47
D 2016-05-13 14:06:58.05 00:00:00.00 HR 0000_0000000181177678 A1    1     8
D 2016-05-13 14:06:58.44 00:00:00.20 HR 0000_0000000181177678 A1    2     1
D 2016-05-13 14:07:09.51 00:00:01.01 HA      900_226000080333 A1    6    53
D 2016-05-13 14:07:12.33 00:00:00.00 HA      900_226000080333 A1    1     8
D 2016-05-13 14:07:17.57 00:00:00.20 HA      900_226000080333 A1    2    25
D 2016-05-13 14:07:19.98 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-05-13 14:07:19.38 00:00:00.00 HA      900_226000080333 A1    1     1
D 2016-05-13 14:07:23.01 00:00:00.60 HA      900_226000080333 A1    4    17
D 2016-05-13 14:07:24.82 00:00:00.00 HA      900_226000080333 A1    1     5
D 2016-05-13 14:07:25.22 00:00:00.20 HA      900_226000080333 A1    2     1
D 2016-05-13 14:07:51.89 00:00:00.41 HA      900_226000080322 A3    3   517
D 2016-05-13 14:07:53.90 00:00:00.61 HA      900_226000080322 A3    4     7
D 2016-05-13 14:07:55.72 00:00:00.20 HA      900_226000080322 A3    2     5
D 2016-05-13 14:09:37.98 00:00:00.00 HR 0000_0000000180843440 A3    1   506
D 2016-05-13 14:17:00.59 00:00:00.00 HR 0000_0000000180598569 A1    1  2856
D 2016-05-13 14:24:33.08 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-05-13 14:31:57.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 14:39:28.00 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 14:46:53.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 14:54:23.15 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-05-13 14:54:24.86 00:00:01.01 HA      900_228000008986 A1    6  2240
D 2016-05-13 14:54:33.52 00:00:00.61 HA      900_228000008986 A1    4    37
D 2016-05-13 14:54:34.53 00:00:00.00 HA      900_228000008986 A1    1     1
D 2016-05-13 14:54:34.13 00:00:00.00 HA      900_228000008986 A1    1     2
D 2016-05-13 14:54:45.60 00:00:01.21 HA      900_228000008986 A1    7    51
D 2016-05-13 14:54:59.59 00:00:00.00 HA      900_228000008986 A3    1   180
D 2016-05-13 14:54:59.99 00:00:04.23 HA      900_228000008986 A3   22     1
D 2016-05-13 15:01:50.04 00:00:00.00 HR 0000_0000000180598569 A1    1  2101
D 2016-05-13 15:09:18.12 00:00:00.00 HR 0000_0000000180843440 A3    1  4240
D 2016-05-13 15:16:46.58 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 15:24:13.22 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-05-13 15:31:43.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 15:39:08.15 00:00:00.20 HR 0000_0000000180843440 A3    2  4444
D 2016-05-13 15:46:39.44 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-05-13 15:54:03.11 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-05-13 16:01:36.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 16:08:57.81 00:00:00.21 HR 0000_0000000180843440 A3    2  4443
D 2016-05-13 16:16:32.52 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 16:23:52.93 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 16:31:29.05 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 16:38:47.87 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 16:46:25.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 16:53:42.80 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 17:01:21.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 17:08:37.72 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 17:16:18.07 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-05-13 17:23:32.64 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 17:31:14.60 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 17:38:27.61 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 17:46:10.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 17:53:22.75 00:00:00.00 HR 0000_0000000180843440 A3    1  4445
D 2016-05-13 18:01:07.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 18:08:17.47 00:00:00.20 HR 0000_0000000180843440 A3    2  4443
D 2016-05-13 18:16:04.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2016-05-13 18:23:12.57 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 18:31:00.37 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 18:38:07.50 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2016-05-13 18:45:56.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 18:53:02.24 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-05-13 19:00:53.07 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2016-05-13 19:07:56.77 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-05-13 19:15:49.44 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2016-05-13 19:22:51.15 00:00:00.00 HR 0000_0000000180843440 A3    1  4441
D 2016-05-13 19:30:46.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 19:37:45.90 00:00:00.00 HR 0000_0000000180843440 A3    1  4443
D 2016-05-13 19:45:42.37 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 19:52:40.24 00:00:00.20 HR 0000_0000000180843440 A3    2  4441
D 2016-05-13 20:00:38.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 20:07:35.00 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-05-13 20:15:34.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2016-05-13 20:22:29.38 00:00:00.20 HR 0000_0000000180843440 A3    2  4441
D 2016-05-13 20:30:31.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 20:37:23.94 00:00:00.21 HR 0000_0000000180843440 A3    2  4441
D 2016-05-13 20:45:27.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 20:52:18.52 00:00:00.20 HR 0000_0000000180843440 A3    2  4441
D 2016-05-13 21:00:24.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2016-05-13 21:07:13.30 00:00:00.00 HR 0000_0000000180843440 A3    1  4442
D 2016-05-13 21:15:20.41 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
