up
Upload #33
Reader: Noname  Site: AA
--------- upload 33 start ---------
E 2016-05-25 10:09:23.56 upload 32 complete
E 2016-05-25 10:13:48.02 supply power ok 12.1V
E 2016-05-25 10:13:48.02 database file opened
E 2016-05-25 10:13:48.02 starting reader after power up
D 2016-05-25 10:15:47.81 00:00:00.00 HR 0000_0000000180573731 A3    1   570
D 2016-05-25 10:16:15.61 00:00:00.40 HA      900_226000080322 A3    3   137
D 2016-05-25 10:16:16.41 00:00:00.40 HA      900_226000080322 A3    3     1
D 2016-05-25 10:16:20.85 00:00:00.41 HA      900_226000080322 A3    3    19
D 2016-05-25 10:16:31.73 00:00:00.20 HA      900_226000080322 A3    2    51
D 2016-05-25 10:16:33.95 00:00:00.21 HA      900_226000080322 A3    2     9
D 2016-05-25 10:16:36.17 00:00:00.60 HA      900_226000080322 A3    4     9
D 2016-05-25 10:16:38.59 00:00:00.20 HA      900_226000080322 A3    2     8
D 2016-05-25 10:17:11.33 00:00:00.40 HA      900_226000080333 A1    3   985
D 2016-05-25 10:17:17.97 00:00:00.00 HR 0000_0000000181177678 A1    1    30
D 2016-05-25 10:17:22.41 00:00:00.40 HR 0000_0000000181177678 A1    3    21
D 2016-05-25 10:20:02.49 00:00:00.00 HR 0000_0000000180843403 A1    1   792
D 2016-05-25 10:30:48.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4221
D 2016-05-25 10:34:56.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-25 10:45:50.19 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-25 10:49:51.09 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-05-25 11:00:51.32 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-05-25 11:04:45.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-25 11:15:52.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-25 11:19:40.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 11:30:53.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-25 11:34:34.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-25 11:45:55.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-05-25 11:49:28.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 12:00:56.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-05-25 12:04:23.12 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
D 2016-05-25 12:15:58.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4477
D 2016-05-25 12:19:17.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-25 12:30:59.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-25 12:34:12.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 12:46:00.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
E 2016-05-25 12:49:00.01 12.1V 0.20A 0.77A 0.00A 0.86A 0.00A  0N  0N  0N  
D 2016-05-25 12:49:06.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 13:01:02.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-05-25 13:04:00.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2016-05-25 13:16:03.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-25 13:18:55.42 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 13:31:04.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-05-25 13:33:49.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 13:46:05.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2016-05-25 13:48:44.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 14:01:06.94 00:00:00.21 HR 0000_0000000180573731 A3    2  4475
D 2016-05-25 14:03:38.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 14:16:08.25 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2016-05-25 14:18:33.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 14:31:09.18 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2016-05-25 14:33:28.01 00:00:00.20 HR 0000_0000000180843403 A1    2  4442
D 2016-05-25 14:46:09.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-05-25 14:48:22.66 00:00:00.00 HR 0000_0000000180843403 A1    1  4442
D 2016-05-25 15:01:10.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-05-25 15:03:17.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 15:16:11.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2016-05-25 15:18:12.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
E 2016-05-25 15:26:00.01 12.0V 0.20A 0.73A 0.00A 0.86A 0.00A  1N  0N  0N  
D 2016-05-25 15:31:11.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2016-05-25 15:33:06.74 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 15:46:11.99 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-05-25 15:48:01.41 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-25 16:01:12.32 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2016-05-25 16:02:56.31 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 16:16:12.24 00:00:00.20 HR 0000_0000000180573731 A3    2  4469
D 2016-05-25 16:17:51.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 16:31:12.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-05-25 16:32:46.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 16:46:11.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2016-05-25 16:47:40.96 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 17:01:11.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2016-05-25 17:02:35.65 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-25 17:16:10.70 00:00:00.20 HR 0000_0000000180573731 A3    2  4466
D 2016-05-25 17:17:30.53 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-25 17:31:10.04 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-05-25 17:32:25.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 17:46:09.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2016-05-25 17:47:20.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 18:01:08.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-05-25 18:02:15.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-25 18:03:00.01 12.0V 0.20A 0.73A 0.00A 0.85A 0.00A  0N  0N  0N  
D 2016-05-25 18:16:07.42 00:00:00.20 HR 0000_0000000180573731 A3    2  4464
D 2016-05-25 18:17:10.14 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 18:31:06.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-05-25 18:32:04.84 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-25 18:46:05.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2016-05-25 18:46:59.73 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 19:01:04.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-05-25 19:01:54.46 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 19:16:03.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2016-05-25 19:16:49.15 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 19:31:02.27 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2016-05-25 19:31:44.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 19:46:00.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2016-05-25 19:46:38.70 00:00:00.20 HR 0000_0000000180843403 A1    2  4443
D 2016-05-25 20:00:58.65 00:00:00.20 HR 0000_0000000180573731 A3    2  4460
D 2016-05-25 20:01:33.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 20:15:56.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-05-25 20:16:28.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 20:30:54.71 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-05-25 20:31:23.39 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-25 20:40:00.01 11.9V 0.20A 0.75A 0.00A 0.83A 0.00A  0N  0N  0N  
D 2016-05-25 20:45:52.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2016-05-25 20:46:18.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-25 21:00:50.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2016-05-25 21:01:12.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 21:15:47.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-25 21:16:07.89 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 21:30:45.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-25 21:45:42.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2016-05-25 21:45:57.70 00:00:00.00 HR 0000_0000000180843403 A1    1  8889
D 2016-05-25 22:00:40.24 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2016-05-25 22:00:52.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-25 22:15:37.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
