AD
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.91         EA 0.55   12.1 V     3.2 V   15:35:23.92
Rx 0.22 Tx                 A3 0.90 A4 1.01 EA 0.58   12.2 V     3.2 V   15:35:24.44
Rx 0.21 Tx                 A3 0.91 A4 1.01 EA 0.57   12.2 V     3.2 V   15:35:24.95
Rx 0.21 Tx                 A3 0.90 A4 1.01 EA 0.57   12.1 V     3.2 V   15:35:25.47

>UP
Upload #1
Reader: UPSTREAM 34  Site: AA
--------- upload 1 start ---------
E 2017-03-24 20:29:09.57 datalogger file created
E 2017-03-24 20:29:51.76 supply power ok 12.4V
E 2017-03-24 20:29:51.76 database file opened
E 2017-03-24 20:29:51.76 starting reader after power up
D 2017-03-24 20:38:21.14 00:00:00.00 HR 0000_0000000180598569 A3    1  2512
D 2017-03-24 20:43:44.05 00:00:00.00 HR 0000_0000000180573731 A4    1  4114
D 2017-03-24 20:53:17.65 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-03-24 20:58:40.97 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-03-24 21:08:14.21 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-03-24 21:13:37.91 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-03-24 21:23:10.53 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-03-24 21:28:34.66 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-03-24 21:38:06.72 00:00:00.00 HR 0000_0000000180598569 A3    1  4449
D 2017-03-24 21:43:31.23 00:00:00.21 HR 0000_0000000180573731 A4    2  4451
D 2017-03-24 21:53:03.04 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-03-24 21:58:27.97 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-03-24 22:07:59.39 00:00:00.00 HR 0000_0000000180598569 A3    1  4450
D 2017-03-24 22:13:24.70 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
