^
Oregon RFID Datalogger Version 5.06  
2017-03-30 14:00:44.00

>supply power ok 11.7V
database file opened
starting reader after power up


>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.19 Tx                                 EA 0.00   11.7 V     3.2 V   14:01:00.79
Rx 0.20 Tx A1 1.73 A2 0.96                 EA 0.76   11.7 V     3.2 V   14:01:01.31
Rx 0.20 Tx A1 1.73 A2 0.99                 EA 0.77   11.7 V     3.2 V   14:01:01.82
Rx 0.22 Tx A1 1.74 A2 0.97                 EA 0.78   11.7 V     3.2 V   14:01:02.45

>up
Upload #1
Reader: DOWNSTREAM 12  Site: AA
--------- upload 1 start ---------
E 2017-03-24 20:34:27.32 datalogger file created
E 2017-03-24 20:35:20.84 supply power ok 12.5V
E 2017-03-24 20:35:20.84 database file opened
E 2017-03-24 20:35:20.84 starting reader after power up
D 2017-03-24 20:44:03.87 00:00:00.00 HR 0000_0000000180843440 A2    1  2599
D 2017-03-24 20:48:07.23 00:00:00.00 HR 0000_0000000180843403 A1    1  3807
D 2017-03-24 20:58:57.37 00:00:00.00 HR 0000_0000000180843440 A2    1  4436
D 2017-03-24 21:03:01.57 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-03-24 21:13:51.10 00:00:00.00 HR 0000_0000000180843440 A2    1  4437
D 2017-03-24 21:17:55.89 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-03-24 21:28:44.45 00:00:00.00 HR 0000_0000000180843440 A2    1  4435
D 2017-03-24 21:32:50.27 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-03-24 21:43:38.02 00:00:00.00 HR 0000_0000000180843440 A2    1  4436
D 2017-03-24 21:47:44.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-03-24 21:58:31.34 00:00:00.20 HR 0000_0000000180843440 A2    2  4435
D 2017-03-24 22:02:38.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-03-24 22:13:24.87 00:00:00.00 HR 0000_0000000180843440 A2    1  4435
D 2017-03-24 22:17:33.47 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 22:28:18.01 00:00:00.00 HR 0000_0000000180843440 A2    1  4434
D 2017-03-24 22:32:28.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 22:43:11.31 00:00:00.00 HR 0000_0000000180843440 A2    1  4435
D 2017-03-24 22:47:22.56 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 22:58:04.66 00:00:00.00 HR 0000_0000000180843440 A2    1  4435
D 2017-03-24 23:02:17.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 23:12:57.95 00:00:00.00 HR 0000_0000000180843440 A2    1  4435
D 2017-03-24 23:17:11.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 23:27:51.10 00:00:00.00 HR 0000_0000000180843440 A2    1  4434
D 2017-03-24 23:32:06.15 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 23:42:44.24 00:00:00.20 HR 0000_0000000180843440 A2    2  4434
D 2017-03-24 23:47:00.70 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-24 23:57:37.41 00:00:00.20 HR 0000_0000000180843440 A2    2  4433
D 2017-03-25 00:01:55.28 00:00:00.00 HR 0000_0000000180843403 A1    1  4441
D 2017-03-25 00:12:30.76 00:00:00.00 HR 0000_0000000180843440 A2    1  4434
D 2017-03-25 00:16:49.86 00:00:00.20 HR 0000_0000000180843403 A1    2  4441
