ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.78 A2 0.76                 EA 0.72   12.0 V     3.3 V   13:55:49.53
Rx 0.20 Tx A1 1.78 A2 0.74                 EA 0.72   12.0 V     3.3 V   13:55:50.04
Rx 0.21 Tx A1 1.79 A2 0.75                 EA 0.73   12.0 V     3.3 V   13:55:50.55

>up
Upload #4
Reader: DOWNSTREAM 12  Site: AA
--------- upload 4 start ---------
E 2017-04-13 16:22:34.87 upload 3 complete
E 2017-04-13 16:30:46.79 supply power ok 12.5V
E 2017-04-13 16:30:46.79 database file opened
E 2017-04-13 16:30:46.79 starting reader after power up
E 2017-04-13 16:31:02.88 supply power ok 12.5V
E 2017-04-13 16:31:02.88 database file opened
E 2017-04-13 16:31:02.88 starting reader after power up
E 2017-04-13 16:31:33.69 supply power ok 12.5V
E 2017-04-13 16:31:33.69 database file opened
E 2017-04-13 16:31:33.69 starting reader after power up
D 2017-04-13 16:32:37.76 00:00:00.20 HR 0000_0000000180843403 A2    2   315
D 2017-04-13 16:33:08.98 00:00:03.68 HA      900_226000791702 A1   19   468
D 2017-04-13 16:33:19.10 00:00:05.43 HA      900_228000093608 A1   28    31
D 2017-04-13 16:33:26.34 00:00:05.24 HA      900_228000093608 A1   27     8
D 2017-04-13 16:37:22.48 00:00:00.00 HR 0000_0000000180843440 A1    1  1139
D 2017-04-13 16:47:32.41 00:00:00.00 HR 0000_0000000180843403 A2    1  4405
D 2017-04-13 16:50:22.69 00:00:02.62 HA      900_228000093608 A1   14  3846
D 2017-04-13 16:50:31.95 00:00:01.81 HA      900_226000791702 A1   10    32
D 2017-04-13 16:50:47.76 00:00:00.00 HA      900_226000791733 A2    1   969
D 2017-04-13 16:50:48.16 00:00:02.02 HA      900_226000791733 A2   11     1
D 2017-04-13 16:50:50.78 00:00:00.00 HA      900_226000791733 A2    1     2
D 2017-04-13 16:52:17.26 00:00:00.00 HR 0000_0000000180843440 A1    1   513
D 2017-04-13 17:02:27.33 00:00:00.00 HR 0000_0000000180843403 A2    1  3458
D 2017-04-13 17:07:11.98 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-04-13 17:17:21.90 00:00:00.21 HR 0000_0000000180843403 A2    2  4441
D 2017-04-13 17:22:06.77 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-04-13 17:32:16.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-13 17:37:01.17 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-04-13 17:47:11.71 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-13 17:51:55.78 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-13 18:02:06.49 00:00:00.20 HR 0000_0000000180843403 A2    2  4442
D 2017-04-13 18:06:50.37 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-04-13 18:17:01.48 00:00:00.20 HR 0000_0000000180843403 A2    2  4442
D 2017-04-13 18:21:44.72 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-13 18:31:56.47 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-13 18:36:39.12 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-13 18:46:51.41 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-13 18:51:33.46 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-13 19:01:46.40 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-13 19:06:28.05 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-04-13 19:16:41.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 19:21:22.24 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-13 19:31:36.63 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-13 19:36:16.66 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-13 19:46:31.99 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-13 19:51:10.59 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-04-13 20:01:27.16 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 20:06:04.78 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-13 20:16:22.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 20:20:58.95 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-13 20:31:17.54 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 20:35:53.14 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-13 20:46:12.53 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-13 20:50:46.91 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 21:01:07.72 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 21:05:41.10 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-13 21:16:03.14 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-13 21:20:35.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-04-13 21:30:58.17 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-13 21:35:28.94 00:00:00.21 HR 0000_0000000180843440 A1    2  4437
D 2017-04-13 21:45:53.37 00:00:00.20 HR 0000_0000000180843403 A2    2  4444
D 2017-04-13 21:50:22.72 00:00:00.20 HR 0000_0000000180843440 A1    2  4436
D 2017-04-13 22:00:48.75 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 22:05:16.71 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 22:15:44.18 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-13 22:20:10.54 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 22:30:39.24 00:00:00.20 HR 0000_0000000180843403 A2    2  4443
D 2017-04-13 22:35:04.36 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 22:45:34.61 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 22:49:58.12 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 23:00:29.79 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 23:04:51.88 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 23:15:25.21 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-13 23:19:45.30 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-13 23:30:20.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-13 23:34:39.02 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-13 23:45:15.69 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-13 23:49:32.56 00:00:00.20 HR 0000_0000000180843440 A1    2  4436
D 2017-04-14 00:00:10.86 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-14 00:04:26.32 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-14 00:15:06.22 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-14 00:19:19.68 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-14 00:30:01.58 00:00:00.20 HR 0000_0000000180843403 A2    2  4445
D 2017-04-14 00:34:13.21 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-14 00:44:57.12 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-14 00:49:06.54 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-14 00:59:52.33 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-14 01:04:00.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-14 01:14:47.69 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-14 01:18:53.52 00:00:00.20 HR 0000_0000000180843440 A1    2  4435
D 2017-04-14 01:29:42.90 00:00:00.21 HR 0000_0000000180843403 A2    2  4444
D 2017-04-14 01:33:47.09 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-14 01:44:38.28 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-14 01:48:40.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-14 01:59:33.65 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-14 02:03:33.61 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-04-14 02:14:29.00 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-14 02:18:27.15 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-14 02:29:24.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-14 02:33:20.53 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-14 02:44:19.77 00:00:00.00 HR 0000_0000000180843403 A2    1  4446
D 2017-04-14 02:48:13.69 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-04-14 02:59:14.96 00:00:00.00 HR 0000_0000000180843403 A2    1  4444
D 2017-04-14 03:03:06.84 00:00:00.20 HR 0000_0000000180843440 A1    2  4434
D 2017-04-14 03:14:10.32 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
D 2017-04-14 03:18:00.00 00:00:00.20 HR 0000_0000000180843440 A1    2  4433
D 2017-04-14 03:29:05.66 00:00:00.00 HR 0000_0000000180843403 A2    1  4445
