AD
Type 'HE' for help

>AD
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.22 Tx A1 1.76 A2 0.76                 EA 0.72   11.8 V     3.3 V   14:21:57.99
Rx 0.20 Tx A1 1.77 A2 0.72                 EA 0.71   11.8 V     3.3 V   14:21:57.99
Rx 0.20 Tx A1 1.66 A2 0.73                 EA 0.68   11.8 V     3.3 V   14:21:57.99
Rx 0.20 Tx A1 1.69 A2 0.76                 EA 0.70   11.8 V     3.3 V   14:21:57.99
Rx 0.21 Tx A1 1.68 A2 0.73                 EA 0.69   11.8 V     3.3 V   14:21:57.99

>UP
Upload #6
Reader: DOWNSTREAM 12  Site: AA
--------- upload 6 start ---------
E 2017-04-20 14:38:36.20 upload 5 complete
E 2017-04-20 14:51:39.29 supply power ok 12.6V
E 2017-04-20 14:51:39.29 database file opened
E 2017-04-20 14:51:39.30 starting reader after power up
D 2017-04-20 14:51:59.97 00:00:02.62 HA      900_226000791702 A1   14   100
D 2017-04-20 14:52:06.41 00:00:02.22 HA      900_228000093608 A1   12    18
D 2017-04-20 14:52:48.40 00:00:00.60 HA      900_226000791733 A2    4   339
D 2017-04-20 15:03:28.65 00:00:00.00 HR 0000_0000000180843403 A2    1  3175
D 2017-04-20 15:04:04.21 00:00:00.00 HR 0000_0000000180843440 A1    1  3552
D 2017-04-20 15:18:22.95 00:00:00.00 HR 0000_0000000180843403 A2    1  4429
D 2017-04-20 15:18:58.67 00:00:00.00 HR 0000_0000000180843440 A1    1  4430
D 2017-04-20 15:33:17.49 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-04-20 15:33:53.22 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-04-20 15:48:11.84 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-20 15:48:47.57 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-04-20 16:03:06.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-20 16:03:41.93 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-20 16:18:00.73 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-20 16:18:36.08 00:00:00.20 HR 0000_0000000180843440 A1    2  4439
D 2017-04-20 16:32:55.11 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-20 16:33:30.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-20 16:47:49.67 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-20 16:48:24.81 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-20 17:02:43.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-20 17:03:19.11 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-20 17:17:38.28 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-20 17:18:13.42 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-04-20 17:32:32.46 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-20 17:33:07.60 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-20 17:47:26.78 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2017-04-20 17:48:01.73 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-04-20 18:02:21.30 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
