ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.76                         EA 0.98   11.9 V     3.3 V   15:19:15.04
Rx 0.20 Tx A1 1.76 A2 0.75                 EA 0.73   11.9 V     3.3 V   15:19:15.55
Rx 0.20 Tx A1 1.75 A2 0.75                 EA 0.72   11.9 V     3.3 V   15:19:16.08

>up
Upload #7
Reader: DOWNSTREAM 12  Site: AA
--------- upload 7 start ---------
E 2017-04-24 14:21:57.99 upload 6 complete
E 2017-04-24 14:33:06.80 supply power ok 12.6V
E 2017-04-24 14:33:06.80 database file opened
E 2017-04-24 14:33:06.80 starting reader after power up
D 2017-04-24 14:33:46.63 00:00:00.00 HR 0000_0000000180843440 A1    1   199
D 2017-04-24 14:33:52.37 00:00:00.40 HA      900_226000791733 A2    3   228
D 2017-04-24 14:33:54.98 23:59:59.60 HA      900_226000791733 A2    4     5
D 2017-04-24 14:33:55.79 00:00:00.81 HA      900_226000791733 A2    5     5
D 2017-04-24 14:33:57.60 00:00:00.00 HA      900_226000791733 A2    1     4
D 2017-04-24 14:33:58.82 00:00:00.21 HA      900_226000791733 A2    2     5
D 2017-04-24 14:34:02.34 00:00:00.40 HA      900_226000791702 A1    3    77
D 2017-04-24 14:34:03.14 00:00:01.81 HA      900_226000791702 A1    5     1
D 2017-04-24 14:34:07.77 00:00:01.63 HA      900_228000093608 A1    9    18
D 2017-04-24 14:40:10.58 00:00:00.20 HR 0000_0000000180843403 A2    2  1844
D 2017-04-24 14:48:40.38 00:00:00.20 HR 0000_0000000180843440 A1    2  4324
D 2017-04-24 14:55:04.94 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-24 15:03:34.34 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-24 15:09:59.08 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-24 15:18:28.29 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-04-24 15:24:53.24 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2017-04-24 15:33:22.25 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-04-24 15:39:47.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 15:48:15.82 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 15:54:42.17 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 16:03:09.31 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 16:09:36.48 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 16:18:03.07 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-24 16:24:30.84 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 16:32:56.84 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-24 16:39:25.41 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 16:47:50.60 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-24 16:54:19.80 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 17:02:44.18 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 17:09:14.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 17:17:37.78 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 17:24:08.82 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 17:32:31.59 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-24 17:39:03.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 17:47:25.20 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 17:53:57.42 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-04-24 18:02:18.76 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 18:08:51.77 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 18:17:12.14 00:00:00.20 HR 0000_0000000180843440 A1    2  4435
D 2017-04-24 18:23:46.35 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 18:32:05.71 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 18:38:40.74 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 18:46:59.27 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 18:53:35.10 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 19:01:52.82 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 19:08:29.64 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 19:16:46.18 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 19:23:24.01 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 19:31:39.71 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 19:38:18.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 19:46:33.31 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 19:53:12.95 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 20:01:26.65 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 20:08:07.52 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 20:16:19.84 00:00:00.00 HR 0000_0000000180843440 A1    1  4434
D 2017-04-24 20:23:02.11 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 20:31:13.20 00:00:00.20 HR 0000_0000000180843440 A1    2  4435
D 2017-04-24 20:37:56.66 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 20:46:06.73 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 20:52:51.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 21:01:00.47 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-04-24 21:07:45.60 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2017-04-24 21:15:53.82 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 21:22:40.12 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-04-24 21:30:47.38 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 21:37:34.68 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 21:45:40.73 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 21:52:29.26 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 21:55:12.10 00:00:02.22 HA      900_228000093606 A1   12  2836
D 2017-04-24 21:55:14.92 00:00:01.00 HA      900_228000093606 A1    6     2
D 2017-04-24 21:55:18.94 00:00:00.00 HA      900_228000093606 A1    1    14
D 2017-04-24 21:55:19.55 00:00:00.40 HA      900_228000093606 A1    3     2
D 2017-04-24 21:55:20.36 00:00:00.00 HA      900_228000093606 A1    1     1
D 2017-04-24 21:55:39.98 00:00:03.03 HA      900_228000093606 A2   16   946
D 2017-04-24 21:58:15.84 00:00:00.21 HA      900_228000093606 A2    2   758
D 2017-04-24 21:58:19.37 00:00:00.40 HA      900_228000093606 A1    3   888
D 2017-04-24 22:00:34.30 00:00:00.00 HR 0000_0000000180843440 A1    1   667
D 2017-04-24 22:07:24.01 00:00:00.00 HR 0000_0000000180843403 A2    1  2720
D 2017-04-24 22:15:27.63 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 22:22:18.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 22:30:21.23 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 22:37:13.16 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 22:45:14.79 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 22:52:07.75 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 23:00:08.37 00:00:00.00 HR 0000_0000000180843440 A1    1  4436
D 2017-04-24 23:07:02.32 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-04-24 23:15:01.70 00:00:00.00 HR 0000_0000000180843440 A1    1  4435
D 2017-04-24 23:21:57.07 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-04-24 23:29:55.29 00:00:00.20 HR 0000_0000000180843440 A1    2  4436
