ad
                           supply                    supply     clock
                            amps                      volts     volts
                A2 0.94                 EA 0.46   13.0 V     3.2 V   12:08:44.41
Rx 0.23 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:44.93
Rx 0.22 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:45.45

>up
Upload #14
Reader: DOWNSTREAM 12  Site: AA
--------- upload 14 start ---------
E 2017-05-11 14:49:44.85 upload 13 complete
D 2017-05-11 14:50:16.39 00:00:00.00 HR 0000_0000000180843440 A1    1   345
E 2017-05-11 14:57:41.82 supply power ok 12.7V
E 2017-05-11 14:57:41.82 database file opened
E 2017-05-11 14:57:41.82 starting reader after power up
D 2017-05-11 14:58:08.90 00:00:00.41 HA      900_226000791702 A1    3   135
D 2017-05-11 14:58:09.71 00:00:00.00 HA      900_226000791702 A1    1     1
D 2017-05-11 14:58:11.72 00:00:00.61 HA      900_226000791702 A1    4     9
D 2017-05-11 14:58:12.73 00:00:00.00 HA      900_226000791702 A1    1     1
D 2017-05-11 14:58:17.36 00:00:01.62 HA      900_226000791733 A1    9    22
D 2017-05-11 14:58:19.98 00:00:00.61 HA      900_226000791733 A1    4     4
D 2017-05-11 14:58:26.64 00:00:01.20 HA      900_228000093608 A1    7    29
D 2017-05-11 14:58:36.60 00:00:01.42 HA      900_226000791733 A2    8   274
D 2017-05-11 14:58:38.42 00:00:00.00 HA      900_226000791733 A2    1     1
D 2017-05-11 15:04:12.54 00:00:00.00 HR 0000_0000000180843403 A2    1  1658
D 2017-05-11 15:05:10.84 00:00:00.00 HR 0000_0000000180843440 A1    1  2000
D 2017-05-11 15:19:07.17 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-11 15:20:05.07 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-05-11 15:34:01.75 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-11 15:34:59.05 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
D 2017-05-11 15:48:56.34 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-11 15:49:53.23 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
D 2017-05-11 16:03:50.95 00:00:00.20 HR 0000_0000000180843403 A2    2  4441
D 2017-05-11 16:04:47.43 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
