ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.40 Tx                         A4 0.99 EA 0.69   12.2 V     3.3 V   14:38:35.69
Rx 0.20 Tx                 A3 0.73 A4 0.98 EA 0.52   12.2 V     3.3 V   14:38:36.22
Rx 0.22 Tx                 A3 0.73 A4 0.99 EA 0.53   12.2 V     3.3 V   14:38:36.73

>up
Upload #24
Reader: UPSTREAM 34  Site: AA
--------- upload 24 start ---------
E 2017-05-15 16:56:21.85 upload 23 complete
E 2017-05-15 16:57:01.92 supply power ok 12.4V
E 2017-05-15 16:57:01.92 database file opened
E 2017-05-15 16:57:01.92 starting reader after power up
D 2017-05-15 16:57:33.92 00:00:00.60 HA      900_226000791733 A4    4   139
D 2017-05-15 16:57:34.13 00:00:01.40 HA      900_226000791733 A4    3     2
D 2017-05-15 16:57:35.15 00:00:01.40 HA      900_226000791733 A4    3     2
D 2017-05-15 16:57:46.21 00:00:00.00 HR 0000_0000000180573731 A4    1    47
D 2017-05-15 16:57:49.53 00:00:00.00 HA      900_226000791733 A3    1   218
D 2017-05-15 16:57:49.14 00:00:00.00 HA      900_226000791733 A3    1     2
D 2017-05-15 16:57:50.94 00:00:00.21 HA      900_226000791733 A3    2     3
D 2017-05-15 16:57:51.55 00:00:00.21 HA      900_226000791733 A3    2     1
D 2017-05-15 16:57:53.76 23:59:59.41 HA      900_226000791733 A3    3     4
D 2017-05-15 16:57:55.18 00:00:00.20 HA      900_226000791733 A3    2     9
D 2017-05-15 16:57:55.19 00:00:00.00 HA      900_226000791733 A3    1     3
D 2017-05-15 16:57:56.59 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-15 16:57:56.00 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-15 16:57:57.40 00:00:00.00 HA      900_226000791733 A3    1     1
D 2017-05-15 16:58:00.82 00:00:00.00 HA      900_226000791733 A3    1    16
D 2017-05-15 16:58:01.63 00:00:00.20 HA      900_226000791733 A3    2     3
D 2017-05-15 16:58:04.45 00:00:00.20 HA      900_226000791733 A3    2    12
D 2017-05-15 16:58:06.86 00:00:00.00 HA      900_226000791733 A3    1    10
D 2017-05-15 16:58:09.08 00:00:00.00 HA      900_226000791733 A3    1    10
D 2017-05-15 16:58:09.68 00:00:00.00 HA      900_226000791733 A3    1     2
D 2017-05-15 16:58:33.04 00:00:00.00 HR 0000_0000000180598569 A3    1   115
D 2017-05-15 17:12:43.34 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 17:13:30.96 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-15 17:27:40.48 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 17:42:37.41 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-15 17:43:26.85 00:00:00.00 HR 0000_0000000180598569 A3    1  8917
D 2017-05-15 17:57:34.77 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 18:12:32.12 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-15 18:13:22.36 00:00:00.00 HR 0000_0000000180598569 A3    1  8915
D 2017-05-15 18:27:29.47 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-15 18:28:20.13 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-15 18:42:26.64 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 18:43:17.68 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-15 18:57:23.80 00:00:00.21 HR 0000_0000000180573731 A4    2  4454
D 2017-05-15 18:58:15.25 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-15 19:12:21.12 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 19:13:12.77 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-15 19:27:18.24 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 19:28:09.89 00:00:00.21 HR 0000_0000000180598569 A3    2  4454
D 2017-05-15 19:42:15.37 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 19:43:07.22 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-15 19:57:12.50 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 19:58:04.37 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-15 20:12:09.71 00:00:00.20 HR 0000_0000000180573731 A4    2  4454
D 2017-05-15 20:27:07.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 20:27:58.74 00:00:00.00 HR 0000_0000000180598569 A3    1  8909
D 2017-05-15 20:42:04.43 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-15 20:42:55.89 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-15 20:57:01.55 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 21:11:58.74 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 21:26:55.93 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 21:27:47.18 00:00:00.00 HR 0000_0000000180598569 A3    1 13363
D 2017-05-15 21:41:53.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 21:42:44.33 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-15 21:56:50.09 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-15 21:57:41.35 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 22:11:47.28 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 22:12:38.35 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 22:26:44.26 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-15 22:27:35.32 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 22:41:41.24 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-15 22:42:32.31 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 22:56:38.24 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-15 22:57:29.28 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 23:11:35.40 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 23:12:26.45 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-15 23:26:32.36 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-15 23:27:23.42 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 23:41:29.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-15 23:42:20.37 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-15 23:56:26.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 00:11:23.53 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-16 00:12:14.18 00:00:00.00 HR 0000_0000000180598569 A3    1  8906
D 2017-05-16 00:26:20.73 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 00:41:17.74 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 00:56:14.76 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 00:57:05.02 00:00:00.00 HR 0000_0000000180598569 A3    1 13360
D 2017-05-16 01:11:11.56 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 01:12:02.03 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 01:26:08.59 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 01:26:59.03 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 01:41:05.40 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 01:41:56.06 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 01:56:02.38 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 02:10:59.15 00:00:00.21 HR 0000_0000000180573731 A4    2  4452
D 2017-05-16 02:25:56.20 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 02:26:47.05 00:00:00.00 HR 0000_0000000180598569 A3    1 13361
D 2017-05-16 02:40:53.15 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 02:41:43.81 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 02:55:49.97 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 02:56:40.81 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 03:10:46.72 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 03:11:37.57 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 03:25:43.49 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 03:26:34.35 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 03:40:40.26 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 03:41:31.12 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 03:55:37.00 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 03:56:27.86 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 04:10:33.60 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 04:11:24.65 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 04:25:30.37 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 04:26:21.43 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 04:40:27.01 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 04:41:18.46 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 04:55:23.78 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 05:10:20.54 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 05:11:12.19 00:00:00.00 HR 0000_0000000180598569 A3    1  8906
D 2017-05-16 05:25:17.27 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 05:26:08.93 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 05:40:13.82 00:00:00.21 HR 0000_0000000180573731 A4    2  4451
D 2017-05-16 05:41:05.87 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 05:55:10.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 05:56:02.78 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 06:10:07.07 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 06:10:59.51 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 06:25:03.57 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 06:25:56.44 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 06:40:00.11 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 06:40:53.18 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-16 06:54:56.81 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 06:55:50.08 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 07:09:53.35 00:00:00.00 HR 0000_0000000180573731 A4    1  4451
D 2017-05-16 07:10:47.02 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 07:24:50.08 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 07:25:44.17 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-16 07:39:46.84 00:00:00.00 HR 0000_0000000180573731 A4    1  4452
D 2017-05-16 07:40:41.11 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-16 07:54:43.74 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 07:55:38.21 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-16 08:09:40.47 00:00:00.20 HR 0000_0000000180573731 A4    2  4452
D 2017-05-16 08:10:35.36 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-16 08:24:37.64 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-16 08:25:32.52 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-16 08:39:34.75 00:00:00.20 HR 0000_0000000180573731 A4    2  4453
D 2017-05-16 08:40:29.84 00:00:00.20 HR 0000_0000000180598569 A3    2  4455
D 2017-05-16 08:54:31.91 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2017-05-16 08:55:27.19 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-16 09:09:28.99 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-16 09:24:26.28 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-16 09:39:23.79 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 09:54:21.22 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-16 09:55:17.30 00:00:00.00 HR 0000_0000000180598569 A3    1 17827
D 2017-05-16 10:09:18.69 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 10:10:14.98 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-16 10:24:15.96 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-16 10:25:12.65 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-16 10:39:13.45 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 10:54:10.92 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 11:09:08.43 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 11:24:05.75 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-16 11:25:03.65 00:00:00.00 HR 0000_0000000180598569 A3    1 17832
D 2017-05-16 11:39:03.24 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 11:40:01.53 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-16 11:54:00.53 00:00:00.20 HR 0000_0000000180573731 A4    2  4455
D 2017-05-16 11:54:59.43 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-16 12:08:58.20 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-16 12:09:57.29 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-16 12:23:55.85 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
