ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.77 A2 0.74                 EA 0.72   12.0 V     3.3 V   13:33:51.19
Rx 0.20 Tx A1 1.75 A2 0.78                 EA 0.72   12.0 V     3.3 V   13:33:51.70
Rx 0.22 Tx A1 1.76 A2 0.78                 EA 0.73   12.0 V     3.3 V   13:33:52.23

>up
Upload #19
Reader: DOWNSTREAM 12  Site: AA
--------- upload 19 start ---------
E 2017-05-22 13:46:30.54 upload 18 complete
E 2017-05-22 13:52:10.51 supply power ok 12.4V
E 2017-05-22 13:52:10.51 database file opened
E 2017-05-22 13:52:10.51 starting reader after power up
D 2017-05-22 13:52:23.44 00:00:00.81 HA      900_226000791733 A2    5    61
D 2017-05-22 13:52:35.62 00:00:00.40 HA      900_226000791733 A1    3   121
D 2017-05-22 13:52:36.42 00:00:00.00 HA      900_226000791733 A1    1     1
D 2017-05-22 13:53:13.86 00:00:00.00 HR 0000_0000000180843403 A1    1   185
D 2017-05-22 14:00:53.86 00:00:00.00 HR 0000_0000000180843440 A2    1  2529
D 2017-05-22 14:08:08.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-22 14:15:48.17 00:00:00.20 HR 0000_0000000180843440 A2    2  4440
D 2017-05-22 14:23:02.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-22 14:30:42.49 00:00:00.20 HR 0000_0000000180843440 A2    2  4439
D 2017-05-22 14:37:56.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-05-22 14:45:37.20 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-22 14:52:50.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-05-22 15:00:32.08 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-05-22 15:07:44.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-05-22 15:15:26.54 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
D 2017-05-22 15:22:39.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-05-22 15:30:21.50 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-05-22 15:37:33.36 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
