ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 1.71 A2 0.73                 EA 0.69   12.1 V     3.3 V   14:58:34.12
Rx 0.20 Tx A1 1.84 A2 0.73                 EA 0.73   12.1 V     3.3 V   14:58:34.63
Rx 0.21 Tx A1 1.83 A2 0.73                 EA 0.73   12.1 V     3.3 V   14:58:35.15

>up
Upload #24
Reader: DOWNSTREAM 12  Site: AA
--------- upload 24 start ---------
E 2017-05-30 14:00:10.63 upload 23 complete
E 2017-05-30 14:01:11.03 supply power ok 12.1V
E 2017-05-30 14:01:11.03 database file opened
E 2017-05-30 14:01:11.03 starting reader after power up
E 2017-05-30 14:18:13.57 supply power ok 12.6V
E 2017-05-30 14:18:13.57 database file opened
E 2017-05-30 14:18:13.57 starting reader after power up
D 2017-05-30 14:18:17.50 00:00:00.00 HA      900_226000791733 A1    1    15
D 2017-05-30 14:18:18.11 00:00:00.00 HA      900_226000791733 A1    1     2
D 2017-05-30 14:18:19.91 00:00:00.00 HA      900_226000791733 A1    1     8
D 2017-05-30 14:18:20.52 00:00:00.40 HA      900_226000791733 A1    3     2
D 2017-05-30 14:18:42.97 00:00:01.81 HA      900_226000791733 A2   10   143
D 2017-05-30 14:18:47.20 00:00:00.60 HA      900_226000791733 A2    4    11
D 2017-05-30 14:28:01.98 00:00:00.00 HR 0000_0000000180843440 A2    1  2751
D 2017-05-30 14:29:04.50 00:00:00.00 HR 0000_0000000180843403 A1    1  3195
D 2017-05-30 14:42:56.49 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-30 14:43:58.21 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-05-30 14:57:50.95 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-30 14:58:52.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 15:12:45.41 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-30 15:13:45.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-30 15:27:39.93 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-05-30 15:28:39.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 15:42:34.32 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-30 15:43:33.44 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 15:57:28.71 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-30 15:58:27.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 16:12:22.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-05-30 16:13:20.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-05-30 16:27:17.31 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-30 16:28:14.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 16:42:11.70 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-30 16:43:08.20 00:00:00.20 HR 0000_0000000180843403 A1    2  4436
D 2017-05-30 16:57:06.04 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-05-30 16:58:02.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 17:12:00.22 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-05-30 17:12:55.89 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 17:26:54.16 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-05-30 17:27:49.64 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 17:41:48.12 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-05-30 17:42:43.40 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 17:56:42.28 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-05-30 17:57:37.16 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 18:11:36.44 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-05-30 18:12:30.90 00:00:00.21 HR 0000_0000000180843403 A1    2  4437
D 2017-05-30 18:26:30.62 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-05-30 18:27:24.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-05-30 18:41:24.62 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-05-30 18:42:18.69 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-05-30 18:56:18.62 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-05-30 18:57:12.49 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 19:11:12.64 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-05-30 19:12:06.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-05-30 19:26:06.68 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-05-30 19:26:59.95 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-05-30 19:41:00.72 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
