ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.72 A4 0.92 EA 0.51   11.7 V     3.3 V   14:05:57.09
Rx 0.20 Tx                 A3 0.71 A4 0.92 EA 0.50   11.7 V     3.3 V   14:05:57.60
Rx 0.20 Tx                 A3 0.72 A4 0.91 EA 0.50   11.7 V     3.3 V   14:05:58.12

>up
Upload #40
Reader: UPSTREAM 34  Site: AA
--------- upload 40 start ---------
E 2017-06-26 10:42:22.21 upload 39 complete
E 2017-06-26 10:49:15.78 supply power ok 12.2V
E 2017-06-26 10:49:15.78 database file opened
E 2017-06-26 10:49:15.78 starting reader after power up
E 2017-06-26 10:50:43.54 supply power ok 12.3V
E 2017-06-26 10:50:43.55 database file opened
E 2017-06-26 10:50:43.55 starting reader after power up
D 2017-06-26 10:50:47.34 00:00:00.61 HA      900_226000791733 A4    4     0
D 2017-06-26 10:50:49.76 00:00:00.20 HA      900_226000791733 A4    2     8
D 2017-06-26 10:50:52.18 00:00:00.00 HA      900_226000791733 A4    1    10
D 2017-06-26 10:50:54.00 00:00:00.00 HA      900_226000791733 A4    1     8
D 2017-06-26 10:50:55.41 00:00:00.20 HA      900_226000791733 A4    2     6
D 2017-06-26 10:51:09.20 00:00:00.61 HA      900_226000791733 A3    4   109
D 2017-06-26 10:51:10.22 00:00:00.40 HA      900_226000791733 A3    3     1
D 2017-06-26 10:54:21.81 00:00:00.00 HR 0000_0000000180573731 A4    1  1023
D 2017-06-26 11:09:19.48 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-06-26 11:14:50.43 00:00:00.00 HR 0000_0000000180598569 A3    1  7050
D 2017-06-26 11:15:49.54 00:00:00.40 HA      900_226000791733 A4    3  1936
D 2017-06-26 11:24:17.20 00:00:00.00 HR 0000_0000000180573731 A4    1  2518
D 2017-06-26 11:29:48.35 00:00:00.20 HR 0000_0000000180598569 A3    2  4457
D 2017-06-26 11:39:14.89 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-06-26 11:44:46.46 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
