ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                 A3 0.75 A4 0.95 EA 0.52   11.8 V     3.3 V   11:27:12.34
Rx 0.20 Tx                 A3 0.79 A4 0.94 EA 0.53   11.7 V     3.3 V   11:27:12.85
Rx 0.23 Tx                 A3 0.79 A4 0.95 EA 0.55   11.7 V     3.3 V   11:27:13.37

>up
Upload #33
Reader: UPSTREAM 34  Site: AA
--------- upload 33 start ---------
E 2017-06-01 14:39:42.77 upload 32 complete
E 2017-06-01 14:53:48.24 supply power ok 12.6V
E 2017-06-01 14:53:48.24 database file opened
E 2017-06-01 14:53:48.24 starting reader after power up
D 2017-06-01 14:54:35.19 00:00:00.60 HA      900_226000791733 A4    4   209
D 2017-06-01 14:54:37.80 00:00:00.21 HA      900_226000791733 A4    2     9
D 2017-06-01 14:54:44.05 00:00:00.81 HA      900_226000791733 A4    5    29
D 2017-06-01 14:54:47.48 00:00:00.00 HA      900_226000791733 A4    1    12
D 2017-06-01 14:54:47.88 23:59:59.41 HA      900_226000791733 A4    3     1
D 2017-06-01 14:54:49.29 00:00:00.61 HA      900_226000791733 A4    4     4
D 2017-06-01 14:55:19.61 00:00:00.20 HA      900_226000791733 A3    2   431
D 2017-06-01 14:55:20.81 00:00:01.23 HA      900_226000791733 A3    7     4
D 2017-06-01 14:55:26.06 00:00:00.00 HA      900_226000791733 A3    1    19
D 2017-06-01 14:55:26.87 00:00:00.41 HA      900_226000791733 A3    3     3
D 2017-06-01 14:56:24.47 00:00:00.00 HR 0000_0000000180598569 A3    1   283
D 2017-06-01 14:56:24.07 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-06-01 14:56:25.67 00:00:00.20 HR 0000_0000000180598569 A3    2     2
D 2017-06-01 14:56:26.49 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-06-01 14:56:26.30 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-06-01 14:56:27.90 23:59:59.20 HR 0000_0000000180598569 A3    2     2
D 2017-06-01 14:56:28.90 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-06-01 14:56:29.71 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-06-01 14:56:29.32 00:00:00.00 HR 0000_0000000180598569 A3    1     2
D 2017-06-01 14:56:31.13 00:00:00.00 HR 0000_0000000180598569 A3    1     3
D 2017-06-01 15:04:43.97 00:00:00.21 HR 0000_0000000180573731 A4    2  2949
D 2017-06-01 15:11:28.40 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-06-01 15:15:16.04 00:00:00.40 HA      900_226000791733 A4    3  3137
D 2017-06-01 15:15:16.84 00:00:00.00 HA      900_226000791733 A4    1     1
D 2017-06-01 15:15:17.46 00:00:00.00 HA      900_226000791733 A4    1     2
D 2017-06-01 15:15:17.86 00:00:00.00 HA      900_226000791733 A4    1     1
D 2017-06-01 15:15:20.08 00:00:00.00 HA      900_226000791733 A4    1    10
D 2017-06-01 15:15:20.48 00:00:00.00 HA      900_226000791733 A4    1     1
D 2017-06-01 15:15:23.50 00:00:00.20 HA      900_226000791733 A4    2    14
D 2017-06-01 15:19:42.67 00:00:00.00 HR 0000_0000000180573731 A4    1  1285
D 2017-06-01 15:26:25.75 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-06-01 15:41:22.73 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-06-01 15:49:39.87 00:00:00.00 HR 0000_0000000180573731 A4    1  8923
