ad
                           supply                    supply     clock
                            amps                      volts     volts
        A1 1.82                         EA 0.89   11.8 V     3.3 V   13:34:20.70
Rx 0.20 Tx A1 1.79 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.23
Rx 0.21 Tx A1 1.80 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.74
Rx 0.20 Tx A1 1.81 A2 0.73                 EA 0.72   11.8 V     3.3 V   13:34:22.26

>up
Upload #26
Reader: DOWNSTREAM 12  Site: AA
--------- upload 26 start ---------
E 2017-06-05 11:44:34.67 upload 25 complete
D 2017-06-05 11:45:41.28 00:00:00.00 HR 0000_0000000180843403 A1    1   627
E 2017-06-05 12:07:45.41 supply power ok 12.5V
E 2017-06-05 12:07:45.41 database file opened
E 2017-06-05 12:07:45.41 starting reader after power up
D 2017-06-05 12:07:52.80 00:00:00.40 HA      900_226000791733 A1    3    33
D 2017-06-05 12:07:53.60 00:00:00.20 HA      900_226000791733 A1    2     1
D 2017-06-05 12:07:55.22 00:00:00.40 HA      900_226000791733 A1    3     6
D 2017-06-05 12:08:14.65 00:00:01.20 HA      900_226000791733 A2    7   140
D 2017-06-05 12:10:46.92 00:00:00.00 HR 0000_0000000180843440 A2    1   749
D 2017-06-05 12:15:28.75 00:00:00.00 HR 0000_0000000180843403 A1    1  2246
D 2017-06-05 12:25:42.50 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 12:30:22.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 12:40:38.09 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 12:45:16.49 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 12:55:33.62 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 13:00:10.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 13:10:29.21 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 13:15:03.98 00:00:00.21 HR 0000_0000000180843403 A1    2  4437
D 2017-06-05 13:25:24.56 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 13:29:57.94 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 13:40:20.12 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 13:44:51.70 00:00:00.20 HR 0000_0000000180843403 A1    2  4437
D 2017-06-05 13:55:15.48 00:00:00.20 HR 0000_0000000180843440 A2    2  4445
D 2017-06-05 13:59:45.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 14:10:11.02 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 14:14:39.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 14:25:06.57 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 14:29:33.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 14:40:02.29 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-06-05 14:44:26.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 14:54:57.80 00:00:00.00 HR 0000_0000000180843440 A2    1  4446
D 2017-06-05 14:59:20.49 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 15:09:53.51 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-06-05 15:14:14.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 15:24:49.41 00:00:00.00 HR 0000_0000000180843440 A2    1  4448
D 2017-06-05 15:29:07.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 15:39:45.54 00:00:00.00 HR 0000_0000000180843440 A2    1  4449
D 2017-06-05 15:44:01.37 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-05 15:54:41.43 00:00:00.00 HR 0000_0000000180843440 A2    1  4448
D 2017-06-05 15:58:55.05 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 16:09:37.14 00:00:00.00 HR 0000_0000000180843440 A2    1  4447
D 2017-06-05 16:13:48.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 16:24:32.43 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 16:28:42.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 16:39:27.77 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 16:43:36.17 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 16:54:22.90 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-06-05 16:58:30.12 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 17:09:18.05 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-06-05 17:13:23.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 17:24:13.39 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 17:28:17.75 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 17:39:08.73 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 17:43:11.50 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 17:54:03.74 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-06-05 17:58:05.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 18:08:59.12 00:00:00.00 HR 0000_0000000180843440 A2    1  4445
D 2017-06-05 18:12:58.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4436
D 2017-06-05 18:23:54.27 00:00:00.00 HR 0000_0000000180843440 A2    1  4444
D 2017-06-05 18:27:52.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 18:38:49.24 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-06-05 18:42:46.38 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 18:53:44.18 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-06-05 18:57:40.33 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 19:08:38.96 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-05 19:12:34.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 19:23:33.51 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-06-05 19:27:28.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 19:38:28.11 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-06-05 19:42:22.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 19:53:22.50 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 19:57:16.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 20:08:16.90 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 20:12:10.03 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 20:23:11.11 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 20:27:03.99 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 20:38:05.26 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 20:41:57.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 20:52:59.42 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 20:56:51.93 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 21:07:53.79 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-05 21:11:45.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 21:22:47.97 00:00:00.21 HR 0000_0000000180843440 A2    2  4439
D 2017-06-05 21:26:39.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-05 21:37:42.32 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 21:41:33.63 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 21:52:36.54 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-05 21:56:27.23 00:00:00.20 HR 0000_0000000180843403 A1    2  4436
D 2017-06-05 22:07:30.53 00:00:00.00 HR 0000_0000000180843440 A2    1  4438
D 2017-06-05 22:11:21.21 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-05 22:22:24.72 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
