up
Upload #3
Reader: Noame  Site: AAяяяяяяяя
--------- upload 3 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-04-09 12:57:07.73 upload 2 complete
E 2018-04-09 13:07:18.28 supply power ok 12.1V
E 2018-04-09 13:07:18.28 database file opened
E 2018-04-09 13:07:18.28 starting reader after power up
D 2018-04-09 13:07:31.69 00:00:02.82 HA      900_228000008955 A1   15    37
D 2018-04-09 13:07:40.15 00:00:00.60 HA      900_226000791702 A1    4    27
D 2018-04-09 13:07:40.56 00:00:02.40 HA      900_226000791702 A1    3     3
D 2018-04-09 13:07:42.97 00:00:00.40 HA      900_226000791702 A1    3     4
E 2018-04-09 13:08:06.12 supply power ok 12.1V
E 2018-04-09 13:08:06.12 database file opened
E 2018-04-09 13:08:06.12 starting reader after power up
E 2018-04-09 13:08:46.08 supply power ok 12.1V
E 2018-04-09 13:08:46.08 database file opened
E 2018-04-09 13:08:46.08 starting reader after power up
D 2018-04-09 13:11:51.65 00:00:00.00 HR 0000_0000000180843403 A2    1   882
D 2018-04-09 13:23:39.97 00:00:00.21 HR 0000_0000000180598569 A1    2  4398
D 2018-04-09 13:26:45.53 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-04-09 13:38:36.08 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-04-09 13:41:39.43 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-04-09 13:53:32.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-09 13:56:33.30 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-04-09 14:08:28.06 00:00:00.21 HR 0000_0000000180598569 A1    2  4448
D 2018-04-09 14:11:27.20 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-04-09 14:23:24.23 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2018-04-09 14:26:20.94 00:00:00.21 HR 0000_0000000180843403 A2    2  4437
D 2018-04-09 14:38:20.37 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-09 14:41:15.10 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-04-09 14:53:16.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4440
E 2018-04-09 15:07:37.91 supply power ok 12.0V
E 2018-04-09 15:07:37.91 database file opened
E 2018-04-09 15:07:37.91 starting reader after power up
D 2018-04-09 15:08:12.54 00:00:00.00 HR 0000_0000000180598569 A1    1   141
D 2018-04-09 15:09:04.85 00:00:02.01 HA      900_226000734127 A2   11   401
D 2018-04-09 15:09:07.67 00:00:00.40 HA      900_226000734127 A2    3     3
D 2018-04-09 15:09:08.87 00:00:00.00 HA      900_226000734127 A2    1     3
D 2018-04-09 15:09:24.88 00:00:01.41 HA      900_226000791702 A1    8   358
D 2018-04-09 15:09:27.30 00:00:01.01 HA      900_226000791702 A1    6     4
D 2018-04-09 15:09:29.51 00:00:00.61 HA      900_226000791702 A1    4     5
D 2018-04-09 15:09:31.33 00:00:00.20 HA      900_226000791702 A1    2     5
D 2018-04-09 15:10:04.86 00:00:01.22 HA      900_226000734127 A2    7   277
D 2018-04-09 15:11:03.26 00:00:00.00 HR 0000_0000000180843403 A2    1   283
D 2018-04-09 15:23:08.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4056
D 2018-04-09 15:25:57.48 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-09 15:38:04.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-09 15:40:51.78 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-09 15:53:01.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2018-04-09 15:55:46.05 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-04-09 16:07:57.05 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-09 16:10:40.44 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
