up
Upload #11
Reader: UPSTREAM 34  Site: AA
--------- upload 11 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-03-29 16:05:54.25 upload 10 complete
E 2018-03-29 16:09:22.50 supply power ok 11.8V
E 2018-03-29 16:09:22.50 database file opened
E 2018-03-29 16:09:22.50 starting reader after power up
E 2018-03-29 16:37:15.66 supply power ok 12.0V
E 2018-03-29 16:37:15.66 database file opened
E 2018-03-29 16:37:15.66 starting reader after power up
D 2018-03-29 16:39:59.31 00:00:00.00 HR 0000_0000000180843440 A3    1   794
D 2018-03-29 16:53:11.74 00:00:00.82 HR 0000_0000000180573731 A4    5  4728
D 2018-03-29 16:54:53.56 00:00:00.00 HR 0000_0000000180843440 A3    1  4439
E 2018-03-29 17:02:31.98 supply power ok 11.9V
E 2018-03-29 17:02:31.98 database file opened
E 2018-03-29 17:02:31.98 starting reader after power up
E 2018-03-29 17:05:00.00 date/time changed. Was 2018-03-29 17:04:20.00
E 2018-03-29 17:05:55.45 supply power ok 11.9V
E 2018-03-29 17:05:55.45 database file opened
E 2018-03-29 17:05:55.45 starting reader after power up
D 2018-03-29 17:07:21.06 00:00:01.22 HA      900_226000791702 A4    7   406
D 2018-03-29 17:07:23.48 00:00:00.40 HA      900_226000791702 A4    3     5
D 2018-03-29 17:10:26.25 00:00:00.00 HR 0000_0000000180843440 A3    1  1326
D 2018-03-29 17:11:00.40 00:00:00.80 HR 0000_0000000180573731 A4    5  1074
D 2018-03-29 17:11:01.01 00:00:01.81 HR 0000_0000000180573731 A4    5     3
D 2018-03-29 17:11:03.43 00:00:00.80 HR 0000_0000000180573731 A4    5     2
D 2018-03-29 17:11:11.08 00:00:00.80 HR 0000_0000000180573731 A4    5    33
D 2018-03-29 17:11:16.31 00:00:00.82 HR 0000_0000000180573731 A4    5    21
D 2018-03-29 17:11:19.34 00:00:02.43 HR 0000_0000000180573731 A4   13    10
D 2018-03-29 17:11:21.57 00:00:01.81 HR 0000_0000000180573731 A4    5     3
D 2018-03-29 17:11:24.59 00:00:04.45 HR 0000_0000000180573731 A4   23     5
D 2018-03-29 17:16:29.92 00:00:00.61 HR 0000_0000000180573731 A4    4  1493
D 2018-03-29 17:16:30.14 00:00:01.80 HR 0000_0000000180573731 A4    5     2
D 2018-03-29 17:16:32.35 00:00:00.80 HR 0000_0000000180573731 A4    5     1
D 2018-03-29 17:16:33.95 00:00:00.82 HR 0000_0000000180573731 A4    5     3
D 2018-03-29 17:17:48.28 00:00:00.40 HA      900_226000734127 A4    3   364
D 2018-03-29 17:17:48.50 00:00:02.40 HA      900_226000734127 A4    3     3
D 2018-03-29 17:17:50.51 00:00:00.40 HA      900_226000734127 A4    3     2
D 2018-03-29 17:17:51.71 00:00:00.42 HA      900_226000734127 A4    3     3
D 2018-03-29 17:17:53.14 00:00:00.20 HA      900_226000734127 A4    2     4
D 2018-03-29 17:17:57.56 00:00:00.62 HA      900_226000734127 A4    4    20
D 2018-03-29 17:17:58.58 00:00:00.20 HA      900_226000734127 A4    2     1
D 2018-03-29 17:18:25.46 00:00:00.00 HA      900_226000734127 A3    1  2378
D 2018-03-29 17:18:26.67 00:00:00.41 HA      900_226000734127 A3    3     5
D 2018-03-29 17:18:28.29 00:00:00.20 HA      900_226000734127 A3    2     5
D 2018-03-29 17:40:13.83 00:00:00.00 HR 0000_0000000180843440 A3    1  6480
D 2018-03-29 17:47:27.37 00:00:00.82 HR 0000_0000000180573731 A4    5  8780
D 2018-03-29 17:55:07.68 00:00:00.00 HR 0000_0000000180843440 A3    1  4437
D 2018-03-29 18:10:01.36 00:00:00.00 HR 0000_0000000180843440 A3    1  4436
D 2018-03-29 18:18:20.55 00:00:00.80 HR 0000_0000000180573731 A4    5  9196
D 2018-03-29 18:24:54.80 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2018-03-29 18:39:48.06 00:00:00.00 HR 0000_0000000180843440 A3    1  4434
D 2018-03-29 18:49:13.89 00:00:00.82 HR 0000_0000000180573731 A4    5  9197
D 2018-03-29 18:54:41.09 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2018-03-29 19:09:34.48 00:00:00.00 HR 0000_0000000180843440 A3    1  4435
D 2018-03-29 19:20:07.21 00:00:00.80 HR 0000_0000000180573731 A4    5  9197
D 2018-03-29 19:24:27.54 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2018-03-29 19:39:20.61 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2018-03-29 19:51:00.41 00:00:00.61 HR 0000_0000000180573731 A4    4  9196
D 2018-03-29 19:54:13.66 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2018-03-29 20:09:06.73 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2018-03-29 20:21:53.23 00:00:00.81 HR 0000_0000000180573731 A4    5  9195
D 2018-03-29 20:23:59.63 00:00:00.00 HR 0000_0000000180843440 A3    1  4432
D 2018-03-29 20:38:52.67 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
D 2018-03-29 20:52:46.23 00:00:00.80 HR 0000_0000000180573731 A4    5  9195
D 2018-03-29 20:53:45.55 00:00:00.00 HR 0000_0000000180843440 A3    1  4432
D 2018-03-29 21:08:38.61 00:00:00.00 HR 0000_0000000180843440 A3    1  4433
