
>up4
Upload #4, 656 records
Reader: DOWNSTREAM 12  Site: 
--------- upload 4 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-04-02 14:51:33.62 upload 3 complete
D 2018-04-02 14:53:12.28 00:00:00.00 HR 0000_0000000180598569 A1    1   764
E 2018-04-02 15:02:00.11 supply power ok 12.5V
E 2018-04-02 15:02:00.11 database file opened
E 2018-04-02 15:02:00.11 starting reader after power up
D 2018-04-02 15:02:10.34 00:00:02.01 HA      900_228000008955 A1   11    52
D 2018-04-02 15:02:12.75 00:00:00.81 HA      900_228000008955 A1    5     1
D 2018-04-02 15:02:20.80 00:00:00.62 HA      900_226000791702 A1    4    35
D 2018-04-02 15:02:22.22 00:00:00.40 HA      900_226000791702 A1    3     3
E 2018-04-02 15:02:47.14 supply power ok 12.5V
E 2018-04-02 15:02:47.14 database file opened
E 2018-04-02 15:02:47.14 starting reader after power up
E 2018-04-02 15:03:20.17 supply power ok 12.5V
E 2018-04-02 15:03:20.17 database file opened
E 2018-04-02 15:03:20.17 starting reader after power up
E 2018-04-02 15:34:04.67 supply power ok 12.5V
E 2018-04-02 15:34:04.67 database file opened
E 2018-04-02 15:34:04.68 starting reader after power up
D 2018-04-02 15:34:49.20 00:00:00.40 HA      900_226000734127 A2    3   217
D 2018-04-02 15:34:50.81 00:00:01.21 HA      900_226000734127 A2    7     5
D 2018-04-02 15:34:52.62 00:00:00.20 HA      900_226000734127 A2    2     2
D 2018-04-02 15:35:18.69 00:00:01.61 HA      900_228000008955 A1    9   364
D 2018-04-02 15:35:21.31 00:00:01.41 HA      900_228000008955 A1    8     4
D 2018-04-02 15:35:31.58 00:00:00.39 HA      900_226000791702 A1    3    43
D 2018-04-02 15:35:33.18 00:00:00.80 HA      900_226000791702 A1    5     5
D 2018-04-02 15:35:34.39 00:00:00.80 HA      900_226000791702 A1    5     1
D 2018-04-02 15:35:35.59 00:00:00.61 HA      900_226000791702 A1    4     1
D 2018-04-02 15:35:37.21 00:00:00.20 HA      900_226000791702 A1    2     4
D 2018-04-02 15:38:00.94 00:00:00.00 HR 0000_0000000180598569 A1    1   712
D 2018-04-02 15:43:17.38 00:00:00.00 HR 0000_0000000180843403 A2    1  2505
D 2018-04-02 15:52:57.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-02 15:58:11.27 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-04-02 16:07:53.13 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-02 16:13:05.36 00:00:00.20 HR 0000_0000000180843403 A2    2  4439
D 2018-04-02 16:22:49.23 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-02 16:27:59.65 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-02 16:37:45.34 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-02 16:42:53.75 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-02 16:52:41.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2018-04-02 16:57:47.79 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-04-02 17:07:37.52 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
