up
Upload #13
Reader: Noame  Site: AAяяяяяяя
--------- upload 13 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-05-29 12:41:56.64 upload 12 complete
E 2018-05-29 12:43:30.01 supply power ok 12.8V
E 2018-05-29 12:43:30.01 database file opened
E 2018-05-29 12:43:30.01 starting reader after power up
D 2018-05-29 12:56:25.73 00:00:00.00 HR 0000_0000000180598569 A1    1  3818
D 2018-05-29 12:56:25.32 00:00:00.00 HR 0000_0000000180598569 A1    1     2
D 2018-05-29 12:56:27.13 00:00:00.00 HR 0000_0000000180598569 A1    1     3
D 2018-05-29 12:56:27.93 00:00:00.00 HR 0000_0000000180598569 A1    1     3
D 2018-05-29 12:56:28.74 00:00:00.00 HR 0000_0000000180598569 A1    1     3
D 2018-05-29 12:56:33.17 00:00:00.00 HR 0000_0000000180598569 A1    1    21
D 2018-05-29 12:56:37.40 00:00:00.00 HR 0000_0000000180598569 A1    1    20
D 2018-05-29 12:57:48.98 00:00:00.20 HR 0000_0000000180843403 A2    2  4230
D 2018-05-29 12:57:49.78 00:00:00.00 HR 0000_0000000180843403 A2    1     2
D 2018-05-29 12:57:50.39 00:00:00.20 HR 0000_0000000180843403 A2    2     2
D 2018-05-29 12:58:20.59 00:00:00.41 HR 0000_0000000180843403 A2    3   148
D 2018-05-29 12:59:28.06 00:00:00.00 HR 0000_0000000180843403 A2    1   332
D 2018-05-29 12:59:30.87 00:00:00.00 HR 0000_0000000180843403 A2    1    13
D 2018-05-29 12:59:31.68 00:00:00.00 HR 0000_0000000180843403 A2    1     3
D 2018-05-29 12:59:33.68 00:00:00.00 HR 0000_0000000180843403 A2    1     4
D 2018-05-29 12:59:34.69 00:00:00.00 HR 0000_0000000180843403 A2    1     4
D 2018-05-29 12:59:35.70 00:00:00.00 HR 0000_0000000180843403 A2    1     4
D 2018-05-29 13:11:34.30 00:00:00.20 HR 0000_0000000180598569 A1    2  4453
D 2018-05-29 13:14:28.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4437
D 2018-05-29 13:17:23.23 00:00:00.60 HA      900_228000093612 A1    4  1731
D 2018-05-29 13:17:27.26 00:00:00.60 HA      900_226000791727 A1    4    16
D 2018-05-29 13:17:42.06 00:00:01.21 HA      900_226000791733 A2    7   961
D 2018-05-29 13:26:31.14 00:00:00.00 HR 0000_0000000180598569 A1    1  2697
D 2018-05-29 13:29:21.98 00:00:00.00 HR 0000_0000000180843403 A2    1  3469
D 2018-05-29 13:41:27.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-05-29 13:44:15.76 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-29 13:56:24.51 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2018-05-29 13:59:09.51 00:00:00.19 HR 0000_0000000180843403 A2    2  4438
D 2018-05-29 14:11:21.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-05-29 14:14:03.28 00:00:00.20 HR 0000_0000000180843403 A2    2  4437
D 2018-05-29 14:26:17.70 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-05-29 14:28:57.27 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-29 14:41:14.13 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2018-05-29 14:43:51.09 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-29 14:56:10.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-05-29 14:58:44.91 00:00:00.00 HR 0000_0000000180843403 A2    1  4438
D 2018-05-29 15:11:07.16 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2018-05-29 15:13:38.87 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-29 15:26:03.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-05-29 15:28:32.83 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-29 15:41:00.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-05-29 15:43:26.86 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-29 15:55:56.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-05-29 15:58:21.04 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2018-05-29 16:10:53.37 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-05-29 16:13:15.03 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2018-05-29 16:25:49.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2018-05-29 16:28:09.40 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2018-05-29 16:40:46.35 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-05-29 16:43:03.58 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2018-05-29 16:55:42.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2018-05-29 16:57:57.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
