up
Upload #38
Reader: UPSTREAM 34  Site: Up
--------- upload 38 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2018-06-28 15:04:35.77 upload 37 complete
E 2018-06-28 15:10:05.34 supply power ok 12.7V
E 2018-06-28 15:10:05.34 database file opened
E 2018-06-28 15:10:05.34 starting reader after power up
D 2018-06-28 15:12:01.58 00:00:00.00 HR 0000_0000000180573731 A4    1   558
D 2018-06-28 15:14:56.69 00:00:00.00 HR 0000_0000000180843440 A3    1  1428
D 2018-06-28 15:26:23.30 00:00:00.82 HA      900_228000093612 A4    5  4278
D 2018-06-28 15:26:29.55 00:00:00.40 HA      900_226000791727 A4    3    26
D 2018-06-28 15:26:46.97 00:00:00.00 HA      900_226000791733 A3    1  3526
D 2018-06-28 15:26:47.77 00:00:00.00 HA      900_226000791733 A3    1     3
D 2018-06-28 15:26:47.38 00:00:00.00 HA      900_226000791733 A3    1     2
D 2018-06-28 15:26:59.55 00:00:00.00 HR 0000_0000000180573731 A4    1   146
D 2018-06-28 15:29:54.05 00:00:00.20 HR 0000_0000000180843440 A3    2   921
D 2018-06-28 15:41:57.56 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2018-06-28 15:56:56.00 00:00:00.00 HR 0000_0000000180573731 A4    1  4460
D 2018-06-28 16:11:54.43 00:00:00.00 HR 0000_0000000180573731 A4    1  4460
D 2018-06-28 16:26:52.46 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2018-06-28 16:29:50.42 00:00:00.00 HR 0000_0000000180843440 A3    1 17855
D 2018-06-28 16:41:50.31 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2018-06-28 16:56:47.89 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2018-06-28 17:11:45.53 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2018-06-28 17:14:46.48 00:00:00.00 HR 0000_0000000180843440 A3    1 13386
D 2018-06-28 17:26:42.96 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2018-06-28 17:29:44.91 00:00:00.00 HR 0000_0000000180843440 A3    1  4460
D 2018-06-28 17:41:40.59 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2018-06-28 17:44:43.16 00:00:00.00 HR 0000_0000000180843440 A3    1  4459
D 2018-06-28 17:56:38.17 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2018-06-28 17:59:41.13 00:00:00.00 HR 0000_0000000180843440 A3    1  4458
D 2018-06-28 18:11:35.75 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2018-06-28 18:26:33.33 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2018-06-28 18:29:35.88 00:00:00.00 HR 0000_0000000180843440 A3    1  8911
D 2018-06-28 18:41:30.72 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2018-06-28 18:56:28.14 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2018-06-28 18:59:29.47 00:00:00.00 HR 0000_0000000180843440 A3    1  8905
D 2018-06-28 19:11:25.49 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2018-06-28 19:26:22.49 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-06-28 19:29:22.45 00:00:00.00 HR 0000_0000000180843440 A3    1  8902
D 2018-06-28 19:41:19.76 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2018-06-28 19:44:18.92 00:00:00.00 HR 0000_0000000180843440 A3    1  4450
D 2018-06-28 19:56:16.82 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-06-28 20:11:13.94 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-06-28 20:14:10.72 00:00:00.00 HR 0000_0000000180843440 A3    1  8895
D 2018-06-28 20:26:11.16 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-06-28 20:29:06.14 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
D 2018-06-28 20:41:08.40 00:00:00.00 HR 0000_0000000180573731 A4    1  4453
D 2018-06-28 20:44:01.50 00:00:00.00 HR 0000_0000000180843440 A3    1  4444
