ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.22 Tx                 A3 0.87 A4 0.88 EA 0.54   12.4 V     3.3 V   13:33:27.62
Rx 0.20 Tx                 A3 0.87 A4 0.88 EA 0.53   12.4 V     3.3 V   13:33:28.13
Rx 0.20 Tx                 A3 0.87 A4 0.88 EA 0.53   12.4 V     3.3 V   13:33:28.64

>up9
Upload #9, 408 records
Reader: UPSTREAM 34  Site: Up
--------- upload 9 start ---------
E 2019-04-23 16:25:59.48 upload 8 complete
E 2019-04-23 16:28:40.02 supply power ok 12.7V
E 2019-04-23 16:28:40.02 database file opened
E 2019-04-23 16:28:40.02 starting reader after power up
D 2019-04-23 17:37:16.03 00:00:00.00 HW 0000_0000000000004896 A3    1 20416
D 2019-04-23 17:38:21.26 00:00:00.00 HW 0000_0000000000004896 A3    1   323
D 2019-04-23 17:38:22.27 00:00:00.20 HW 0000_0000000000004896 A3    2     4
D 2019-04-23 17:38:23.47 00:00:00.20 HW 0000_0000000000004896 A3    2     4
D 2019-04-23 17:38:23.08 00:00:00.20 HW 0000_0000000000004896 A3    2     1
D 2019-04-23 17:38:28.31 00:00:00.00 HW 0000_0000000000004896 A3    1    19
D 2019-04-23 17:38:28.71 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-04-23 17:38:29.51 00:00:00.20 HW 0000_0000000000004896 A3    2     3
D 2019-04-23 17:38:29.12 00:00:00.00 HW 0000_0000000000004896 A3    1     1
D 2019-04-23 17:39:14.83 00:00:00.00 HW 0000_0000000000004896 A3    1   221
D 2019-04-23 17:39:52.08 00:00:00.00 HW 0000_0000000000004896 A3    1   184
D 2019-04-23 17:40:05.96 00:00:00.00 HW 0000_0000000000004896 A3    1    68
D 2019-04-23 17:40:36.77 00:00:00.00 HW 0000_0000000000004896 A3    1   152
D 2019-04-23 17:40:41.61 00:00:00.00 HW 0000_0000000000004896 A3    1    23
D 2019-04-23 17:41:24.89 00:00:00.00 HW 0000_0000000000004896 A3    1   214
D 2019-04-23 17:41:37.78 00:00:00.00 HW 0000_0000000000004896 A3    1    63
D 2019-04-23 17:51:53.39 00:00:00.20 HR 0000_0000000180843403 A4    2 24774
D 2019-04-23 17:51:59.44 00:00:00.00 HR 0000_0000000180843403 A4    1    28
D 2019-04-23 17:52:18.16 00:00:00.00 HR 0000_0000000180843403 A4    1    92
D 2019-04-23 17:56:35.39 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
E 2019-04-23 17:57:12.96 supply power ok 12.7V
E 2019-04-23 17:57:12.96 database file opened
E 2019-04-23 17:57:12.96 starting reader after power up
D 2019-04-23 17:58:37.03 00:00:01.21 HA      900_226000791733 A3    7   398
D 2019-04-23 17:58:56.86 00:00:00.00 HA      900_226000791727 A4    1   497
D 2019-04-23 17:58:57.27 00:00:00.00 HA      900_226000791727 A4    1     1
D 2019-04-23 17:58:57.87 00:00:00.00 HA      900_226000791727 A4    1     2
D 2019-04-23 17:59:02.91 00:00:00.00 HA      900_228000093612 A4    1    24
D 2019-04-23 17:59:03.71 00:00:00.61 HA      900_228000093612 A4    4     3
D 2019-04-23 17:59:04.72 00:00:00.00 HA      900_228000093612 A4    1     1
D 2019-04-23 18:07:12.21 00:00:00.00 HR 0000_0000000180843403 A4    1  2420
D 2019-04-23 18:11:32.86 00:00:00.00 HW 0000_0000000000004896 A3    1  3846
D 2019-04-23 18:22:06.24 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-23 18:26:30.50 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-23 18:37:00.41 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-23 18:41:27.90 00:00:00.22 HW 0000_0000000000004896 A3    2  4456
D 2019-04-23 18:51:54.76 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-23 18:56:25.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-23 19:06:48.97 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-23 19:11:23.11 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-23 19:21:43.36 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-23 19:26:20.54 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-23 19:36:37.86 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-23 19:41:18.07 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-23 19:51:32.13 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-23 19:56:15.56 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-23 20:06:26.62 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-23 20:11:13.04 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-23 20:21:21.24 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-23 20:26:10.45 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-23 20:36:15.70 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-23 20:41:07.97 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-23 20:51:10.25 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-23 20:56:05.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-23 21:06:04.85 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-23 21:11:02.68 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-23 21:20:59.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-23 21:26:00.07 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-23 21:35:54.01 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-23 21:40:57.67 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-04-23 21:50:48.59 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-23 21:55:55.07 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-23 22:05:43.17 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-23 22:10:52.46 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-23 22:20:37.75 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-23 22:25:49.86 00:00:00.20 HW 0000_0000000000004896 A3    2  4460
D 2019-04-23 22:35:32.34 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-23 22:40:47.46 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
