up
Upload #12
Reader: UPSTREAM 34  Site: Up
--------- upload 12 start ---------
E 2019-04-25 13:31:54.30 upload 11 complete
E 2019-04-25 13:43:27.39 supply power ok 12.6V
E 2019-04-25 13:43:27.39 database file opened
E 2019-04-25 13:43:27.39 starting reader after power up
E 2019-04-25 13:43:43.26 supply power ok 12.6V
E 2019-04-25 13:43:43.26 database file opened
E 2019-04-25 13:43:43.26 starting reader after power up
D 2019-04-25 13:49:39.78 00:00:00.00 HW 0000_0000000000004896 A3    1  1746
D 2019-04-25 13:50:37.08 00:00:00.00 HR 0000_0000000180843403 A4    1  2031
D 2019-04-25 13:56:40.69 00:00:00.00 HA      900_226000791733 A3    1  2089
D 2019-04-25 13:56:40.09 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-04-25 13:56:44.92 00:00:00.00 HA      900_226000791733 A3    1    18
D 2019-04-25 13:56:45.93 00:00:00.00 HA      900_226000791733 A3    1     4
D 2019-04-25 13:56:46.34 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-04-25 13:56:47.94 00:00:00.00 HA      900_226000791733 A3    1     7
D 2019-04-25 13:56:50.76 00:00:00.00 HA      900_226000791733 A3    1    13
D 2019-04-25 13:56:54.19 00:00:00.00 HA      900_226000791733 A3    1    16
D 2019-04-25 13:56:55.80 00:00:00.00 HA      900_226000791733 A3    1     7
D 2019-04-25 13:56:56.20 00:00:00.00 HA      900_226000791733 A3    1     1
D 2019-04-25 13:56:59.82 00:00:00.00 HA      900_226000791733 A3    1    17
D 2019-04-25 13:57:01.24 00:00:00.00 HA      900_226000791733 A3    1     6
D 2019-04-25 14:04:38.37 00:00:00.00 HW 0000_0000000000004896 A3    1  2269
D 2019-04-25 14:05:31.24 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 14:15:02.11 00:00:00.00 HA      900_226000791733 A3    1  3096
D 2019-04-25 14:15:02.71 00:00:00.00 HA      900_226000791733 A3    1     2
D 2019-04-25 14:15:04.52 00:00:00.21 HA      900_226000791733 A3    2     8
D 2019-04-25 14:15:07.35 00:00:00.00 HA      900_226000791733 A3    1    12
D 2019-04-25 14:15:11.98 00:00:00.00 HA      900_226000791733 A3    1    22
D 2019-04-25 14:15:13.20 00:00:00.00 HA      900_226000791733 A3    1     5
D 2019-04-25 14:15:18.13 00:00:01.41 HA      900_228000093612 A4    8  2913
D 2019-04-25 14:15:24.17 00:00:01.02 HA      900_226000791727 A4    6    22
D 2019-04-25 14:15:38.57 00:00:00.20 HA      900_226000791733 A3    2   125
D 2019-04-25 14:19:36.43 00:00:00.00 HW 0000_0000000000004896 A3    1  1179
D 2019-04-25 14:20:25.27 00:00:00.00 HR 0000_0000000180843403 A4    1  1489
D 2019-04-25 14:34:34.72 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-25 14:35:19.52 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 14:49:32.82 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-25 14:50:13.61 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-04-25 15:05:07.82 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 15:19:28.72 00:00:00.00 HW 0000_0000000000004896 A3    1  8916
D 2019-04-25 15:20:01.86 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-04-25 15:34:26.61 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 15:34:56.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 15:49:24.50 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 15:49:50.18 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-04-25 16:04:22.57 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-25 16:04:44.43 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 16:19:20.49 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 16:19:38.51 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-04-25 16:34:18.35 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 16:34:32.75 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-04-25 16:49:26.98 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 17:04:14.18 00:00:00.00 HW 0000_0000000000004896 A3    1  8916
D 2019-04-25 17:04:21.13 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-04-25 17:19:11.90 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 17:19:15.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 17:34:09.67 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 17:34:09.77 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-04-25 17:49:03.89 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 17:49:07.42 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 18:03:58.21 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 18:18:52.46 00:00:00.20 HR 0000_0000000180843403 A4    2  4440
D 2019-04-25 18:19:02.83 00:00:00.00 HW 0000_0000000000004896 A3    1  8915
D 2019-04-25 18:33:46.91 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 18:34:00.30 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-25 18:48:41.17 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 18:48:58.00 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 19:03:35.44 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 19:03:55.28 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-04-25 19:18:29.76 00:00:00.20 HR 0000_0000000180843403 A4    2  4440
D 2019-04-25 19:18:52.62 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-04-25 19:33:24.28 00:00:00.00 HR 0000_0000000180843403 A4    1  4440
D 2019-04-25 19:33:50.16 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-25 19:48:18.74 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-25 19:48:47.65 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-04-25 20:03:13.09 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-25 20:03:45.17 00:00:00.20 HW 0000_0000000000004896 A3    2  4459
D 2019-04-25 20:18:07.28 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-25 20:18:42.78 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-25 20:33:01.65 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-25 20:47:55.94 00:00:00.20 HR 0000_0000000180843403 A4    2  4443
D 2019-04-25 20:48:37.88 00:00:00.00 HW 0000_0000000000004896 A3    1  8921
D 2019-04-25 21:02:50.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-25 21:03:35.38 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-25 21:17:44.57 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-25 21:18:32.77 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-04-25 21:32:38.81 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-25 21:47:33.16 00:00:00.00 HR 0000_0000000180843403 A4    1  4441
D 2019-04-25 22:02:27.46 00:00:00.00 HR 0000_0000000180843403 A4    1  4442
D 2019-04-25 22:17:21.54 00:00:00.00 HR 0000_0000000180843403 A4    1  4443
D 2019-04-25 22:18:22.40 00:00:00.00 HW 0000_0000000000004896 A3    1 17834
D 2019-04-25 22:32:15.73 00:00:00.20 HR 0000_0000000180843403 A4    2  4444
D 2019-04-25 22:33:19.81 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-25 22:47:10.15 00:00:00.00 HR 0000_0000000180843403 A4    1  4444
D 2019-04-25 22:48:17.44 00:00:00.00 HW 0000_0000000000004896 A3    1  4461
D 2019-04-25 23:02:04.53 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-25 23:03:14.63 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-04-25 23:16:59.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4446
D 2019-04-25 23:18:12.04 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-25 23:31:53.51 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-25 23:33:09.45 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-25 23:46:47.70 00:00:00.20 HR 0000_0000000180843403 A4    2  4444
D 2019-04-25 23:48:06.66 00:00:00.20 HW 0000_0000000000004896 A3    2  4459
D 2019-04-26 00:01:42.28 00:00:00.00 HR 0000_0000000180843403 A4    1  4445
D 2019-04-26 00:03:04.27 00:00:00.00 HW 0000_0000000000004896 A3    1  4460
D 2019-04-26 00:16:36.49 00:00:00.20 HR 0000_0000000180843403 A4    2  4444
