ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.18 Tx                                 EA 0.00   11.9 V     3.3 V   15:01:23.63
Rx 0.20 Tx A1 1.46 A2 0.89                 EA 0.68   11.9 V     3.3 V   15:01:24.15
Rx 0.18 Tx A1 1.41 A2 0.89                 EA 0.66   11.9 V     3.3 V   15:01:24.66

>up
Upload #25
Reader: Downstream12  Site: Do
--------- upload 25 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2019-06-10 13:25:20.26 upload 24 complete
E 2019-06-10 13:33:25.83 supply power ok 12.5V
E 2019-06-10 13:33:25.83 database file opened
E 2019-06-10 13:33:25.83 starting reader after power up
D 2019-06-10 13:33:36.20 00:00:01.41 HA      900_228000093612 A1    8    22
D 2019-06-10 13:33:43.05 00:00:00.00 HA      900_226000791727 A1    1    26
D 2019-06-10 13:33:52.71 00:00:01.00 HA      900_226000791727 A1    6    47
D 2019-06-10 13:34:09.92 00:00:00.41 HA      900_226000791733 A2    3   188
D 2019-06-10 13:34:11.34 00:00:00.00 HA      900_226000791733 A2    1     4
D 2019-06-10 13:36:30.57 00:00:00.00 HR 0000_0000000180598569 A1    1   778
D 2019-06-10 13:46:39.94 00:00:00.00 HW 0000_0000000000002321 A2    1  3717
D 2019-06-10 13:51:27.17 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 14:01:34.56 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 14:06:23.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 14:16:29.16 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 14:21:20.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 14:31:23.96 00:00:00.00 HW 0000_0000000000002321 A2    1  4443
D 2019-06-10 14:36:17.03 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 14:46:18.97 00:00:00.00 HW 0000_0000000000002321 A2    1  4444
D 2019-06-10 14:51:13.66 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 15:01:14.16 00:00:00.00 HW 0000_0000000000002321 A2    1  4445
D 2019-06-10 15:06:10.25 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 15:16:08.97 00:00:00.00 HW 0000_0000000000002321 A2    1  4443
D 2019-06-10 15:21:06.86 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 15:31:03.55 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 15:36:03.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 15:45:58.16 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 15:51:00.11 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 16:00:52.00 00:00:00.00 HW 0000_0000000000002321 A2    1  4443
D 2019-06-10 16:05:56.54 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 16:15:47.61 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 16:20:53.18 00:00:00.20 HR 0000_0000000180598569 A1    2  4452
D 2019-06-10 16:30:42.24 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 16:35:49.80 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 16:45:36.87 00:00:00.00 HW 0000_0000000000002321 A2    1  4442
D 2019-06-10 16:50:46.26 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 17:00:31.32 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-06-10 17:05:42.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 17:15:25.78 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-06-10 17:20:39.40 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 17:30:20.25 00:00:00.00 HW 0000_0000000000002321 A2    1  4441
D 2019-06-10 17:35:35.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 17:45:14.29 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-06-10 17:50:32.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 18:00:08.32 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-06-10 18:05:29.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 18:15:02.19 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 18:20:25.45 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 18:29:55.97 00:00:00.21 HW 0000_0000000000002321 A2    2  4438
D 2019-06-10 18:35:21.84 00:00:00.21 HR 0000_0000000180598569 A1    2  4451
D 2019-06-10 18:44:49.74 00:00:00.20 HW 0000_0000000000002321 A2    2  4437
D 2019-06-10 18:50:18.43 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 18:59:43.49 00:00:00.20 HW 0000_0000000000002321 A2    2  4437
D 2019-06-10 19:05:14.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 19:14:37.43 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 19:20:11.16 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 19:29:31.20 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 19:35:07.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 19:44:24.95 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 19:50:04.14 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 19:59:18.75 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 20:05:00.52 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 20:14:12.51 00:00:00.20 HW 0000_0000000000002321 A2    2  4438
D 2019-06-10 20:19:57.09 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 20:29:06.45 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 20:34:53.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 20:44:00.20 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 20:49:50.00 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2019-06-10 20:58:53.95 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 21:04:46.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 21:13:47.77 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 21:19:42.83 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 21:28:41.53 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 21:34:39.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 21:43:35.32 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 21:49:35.65 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 21:58:29.34 00:00:00.00 HW 0000_0000000000002321 A2    1  4439
D 2019-06-10 22:04:32.07 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 22:13:23.15 00:00:00.20 HW 0000_0000000000002321 A2    2  4438
D 2019-06-10 22:19:28.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2019-06-10 22:28:17.10 00:00:00.00 HW 0000_0000000000002321 A2    1  4438
D 2019-06-10 22:34:24.86 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
