ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                         A4 0.83 EA 0.51   12.1 V     3.3 V   14:33:29.54
Rx 0.20 Tx                         A4 0.83 EA 0.51   12.1 V     3.3 V   14:33:30.06
Rx 0.20 Tx                         A4 0.83 EA 0.51   12.1 V     3.3 V   14:33:30.57

>up
Upload #28
Reader: UPSTREAM 34  Site: Up
--------- upload 28 start ---------
E 2019-06-22 14:38:40.74 upload 27 complete
E 2019-06-22 14:43:38.81 supply power ok 13.1V
E 2019-06-22 14:43:38.81 database file opened
E 2019-06-22 14:43:38.81 starting reader after power up
D 2019-06-22 14:44:00.01 00:00:00.71 HA      900_228000093612 A4    8   172
D 2019-06-22 14:44:00.92 23:59:59.31 HA      900_228000093612 A4    4     1
D 2019-06-22 14:44:06.66 00:00:01.12 HA      900_226000791727 A4   12    53
D 2019-06-22 14:46:15.13 00:00:00.10 HR 0000_0000000180843403 A4    2  1264
D 2019-06-22 14:46:15.83 00:00:00.10 HR 0000_0000000180843403 A4    2     5
D 2019-06-22 14:46:16.63 00:00:00.10 HR 0000_0000000180843403 A4    2     6
D 2019-06-22 14:46:17.54 00:00:00.10 HR 0000_0000000180843403 A4    2     7
D 2019-06-22 14:46:17.35 00:00:01.10 HR 0000_0000000180843403 A4    2     6
D 2019-06-22 14:46:19.25 00:00:00.10 HR 0000_0000000180843403 A4    2     7
D 2019-06-22 14:46:55.71 00:00:00.50 HA      900_226000791727 A4    6   360
D 2019-06-22 15:01:12.76 00:00:00.10 HR 0000_0000000180843403 A4    2  8507
D 2019-06-22 15:16:06.26 00:00:00.10 HR 0000_0000000180843403 A4    2  8873
D 2019-06-22 15:30:59.77 00:00:00.21 HR 0000_0000000180843403 A4    3  8873
D 2019-06-22 15:45:53.31 00:00:00.10 HR 0000_0000000180843403 A4    2  8872
D 2019-06-22 16:00:46.81 00:00:00.20 HR 0000_0000000180843403 A4    3  8873
D 2019-06-22 16:15:40.49 00:00:00.21 HR 0000_0000000180843403 A4    3  8874
D 2019-06-22 16:30:34.29 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-06-22 16:45:28.02 00:00:00.10 HR 0000_0000000180843403 A4    2  8875
D 2019-06-22 17:00:21.63 00:00:00.20 HR 0000_0000000180843403 A4    3  8874
D 2019-06-22 17:15:15.33 00:00:00.20 HR 0000_0000000180843403 A4    3  8874
D 2019-06-22 17:30:09.06 00:00:00.21 HR 0000_0000000180843403 A4    3  8874
D 2019-06-22 17:45:02.76 00:00:00.20 HR 0000_0000000180843403 A4    3  8874
D 2019-06-22 17:59:56.52 00:00:00.20 HR 0000_0000000180843403 A4    3  8875
D 2019-06-22 18:14:50.34 00:00:00.10 HR 0000_0000000180843403 A4    2  8876
D 2019-06-22 18:29:44.21 00:00:00.10 HR 0000_0000000180843403 A4    2  8877
D 2019-06-22 18:44:38.05 00:00:00.20 HR 0000_0000000180843403 A4    3  8877
D 2019-06-22 18:59:31.96 00:00:00.10 HR 0000_0000000180843403 A4    2  8877
D 2019-06-22 19:14:25.80 00:00:00.10 HR 0000_0000000180843403 A4    2  8877
D 2019-06-22 19:29:19.70 00:00:00.10 HR 0000_0000000180843403 A4    2  8878
