ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.16 Tx A1 1.32 A2 1.46                 EA 0.76   13.5 V     3.2 V   15:59:31.53
Rx 0.21 Tx A1 1.35 A2 1.46                 EA 0.80   13.4 V     3.2 V   15:59:32.05
Rx 0.18 Tx A1 1.35 A2 1.46                 EA 0.79   13.5 V     3.2 V   15:59:32.56
Rx 0.16 Tx A1 1.35 A2 1.44                 EA 0.77   13.4 V     3.2 V   15:59:33.08
Rx 0.16 Tx A1 1.29 A2 1.46                 EA 0.76   13.4 V     3.2 V   15:59:33.58
Rx 0.17 Tx A1 1.34 A2 1.46                 EA 0.78   13.5 V     3.2 V   15:59:34.11
Rx 0.21 Tx A1 1.35 A2 1.46                 EA 0.80   13.5 V     3.2 V   15:59:34.62

>A 00000 0 900 226000011075 A1 05/10/2012 16:01:48.66  00:00:00.00    1 2025
A 00000 0 900 226000011075 A1 05/10/2012 16:01:48.66  00:00:00.20    2
A 00000 0 900 226000011075 A1 05/10/2012 16:01:48.66  00:00:00.41    3
A 00000 0 900 226000011075 A1 05/10/2012 16:01:48.66  00:00:00.41    3 2025 DETECT
A 00000 0 900 226000011075 A2 05/10/2012 16:02:25.80  00:00:00.00    1 2208
A 00000 0 900 226000011075 A2 05/10/2012 16:02:25.80  00:00:00.21    2
A 00000 0 900 226000011075 A2 05/10/2012 16:02:25.80  00:00:00.41    3
A 00000 0 900 226000011075 A2 05/10/2012 16:02:25.80  00:00:00.61    4
A 00000 0 900 226000011075 A2 05/10/2012 16:02:25.80  00:00:00.81    5
A 00000 0 900 226000011075 A2 05/10/2012 16:02:25.80  00:00:00.81    5 2208 DETECT
uh  

>uh
Upload history
   num    date      time         records
    1  03/31/2012 14:02:25.09      18
    2  04/30/2012 23:40:32.77      11
    3  04/30/2012 23:54:43.44    4355
    4  05/04/2012 11:13:54.31    4561
  NEW  05/07/2012 14:41:50.87     339

>R 0000_0000000174764773 A1 05/10/2012 16:04:08.78  00:00:00.00    1  693
R 0000_0000000174764773 A1 05/10/2012 16:04:08.78  00:00:00.00    1  693 DETECT
u 

>up
upload #5 start: 05/07/2012 14:41:50.87
Site code: AA
--------- upload 5 start ---------
05/07/2012 14:41:50.87 upload 4 complete
05/07/2012 14:43:07.67  00:00:00.00 R 0000_0000000174764773 A1    1  3963
05/07/2012 14:45:41.78  00:00:00.00 R 0000_0000000174764773 A1    1  1058
05/07/2012 14:45:44.80  00:00:00.00 R 0000_0000000174764773 A1    1    19
05/07/2012 14:45:47.82  00:00:00.00 R 0000_0000000174764773 A1    1    19
05/07/2012 14:45:50.84  00:00:00.00 R 0000_0000000174764773 A1    1    19
05/07/2012 14:46:26.45  00:00:00.00 R 0000_0000000174764773 A1    1   242
05/07/2012 14:46:29.47  00:00:00.00 R 0000_0000000174764773 A1    1    19
05/07/2012 14:46:32.48  00:00:00.00 R 0000_0000000174764773 A1    1    19
05/07/2012 14:59:02.63  00:00:00.00 R 0000_0000000174764773 A1    1  5004
05/07/2012 15:02:01.63  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:05:00.64  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:07:59.65  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:10:58.66  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:13:57.68  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:16:56.69  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:19:55.69  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:22:54.70  00:00:00.00 R 0000_0000000174764773 A1    1   888
05/07/2012 15:26:30.55  00:00:00.00 R 0000_0000000174764773 A1    1  1071
05/07/2012 15:27:13.44  00:00:00.00 R 0000_0000000174764773 A1    1   212
05/07/2012 15:27:27.94  00:00:00.00 R 0000_0000000174764773 A1    1    71
05/07/2012 15:27:30.96  00:00:00.00 R 0000_0000000174764773 A1    1    14
