
----------------------------------------
JN2112.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
06/18/12	11:04:50	00:00:00	upload 22 complete
06/18/12	11:07:08	00:00:00	A	00000_0_900_226000011040	1	2317	A2
06/18/12	11:07:09	00:00:00	A	00000_0_900_226000011040	1	2	A2
06/18/12	11:07:09	00:00:00	A	00000_0_900_226000011040	2	3	A2
06/18/12	11:07:10	00:00:00	A	00000_0_900_226000011040	2	1	A2
06/18/12	11:08:25	00:00:00	A	00000_0_900_226000011051	3	369	A2
06/18/12	11:08:38	00:00:00	A	00000_0_900_226000011051	2	64	A2
06/18/12	11:08:55	00:00:00	A	00000_0_900_226000011051	4	80	A2
06/18/12	11:09:03	00:00:00	A	00000_0_900_226000011051	3	36	A2
06/18/12	11:09:08	00:00:00	A	00000_0_900_226000011051	1	23	A2
06/18/12	11:09:12	00:00:00	A	00000_0_900_226000011051	2	17	A2
06/18/12	11:09:16	00:00:00	A	00000_0_900_226000011051	4	20	A2
06/18/12	11:09:22	00:00:00	A	00000_0_900_226000011051	4	27	A2
06/18/12	11:09:31	00:00:00	A	00000_0_900_226000011051	3	39	A2
06/18/12	11:09:45	00:00:00	A	00000_0_900_226000011051	2	67	A2
06/18/12	11:09:49	00:00:00	A	00000_0_900_226000011051	3	19	A2
06/18/12	11:09:54	00:00:00	A	00000_0_900_226000011051	3	22	A2
06/18/12	11:09:57	00:00:00	A	00000_0_900_226000011051	3	10	A2
06/18/12	11:10:09	00:00:00	A	00000_0_900_226000011051	1	54	A2
06/18/12	11:10:27	00:00:00	A	00000_0_900_226000011051	3	91	A2
06/18/12	11:10:31	00:00:00	A	00000_0_900_226000011051	1	15	A2
06/18/12	11:10:37	00:00:00	A	00000_0_900_226000011051	2	28	A2
06/18/12	11:10:52	00:00:00	R	0000_0000000174764773	2	4455	A1
06/18/12	11:11:04	00:00:00	A	00000_0_900_226000011051	1	134	A2
06/18/12	11:11:25	00:00:00	A	00000_0_900_226000011051	2	102	A2
06/18/12	11:11:59	00:01:00	A	00000_0_900_226000011051	5	166	A2
06/18/12	11:12:03	00:00:00	A	00000_0_900_226000011051	2	16	A2
06/18/12	11:12:11	00:00:00	A	00000_0_900_226000011051	3	38	A2
06/18/12	11:12:35	00:00:00	A	00000_0_900_226000011051	1	114	A2
06/18/12	11:12:58	00:01:03	A	00000_0_900_226000011051	19	112	A2
06/18/12	11:15:30	00:00:00	A	00000_0_900_226000011051	2	737	A2
06/18/12	11:15:30	00:00:00	A	00000_0_900_226000011051	1	3	A2
06/18/12	11:17:10	00:00:00	A	00000_0_900_226000011051	2	493	A2
06/18/12	11:17:12	00:00:00	A	00000_0_900_226000011051	4	8	A2
06/18/12	11:17:16	00:00:01	A	00000_0_900_226000011051	6	15	A2
06/18/12	11:17:21	00:00:00	A	00000_0_900_226000011051	3	19	A2
06/18/12	11:17:25	00:00:00	A	00000_0_900_226000011051	3	15	A2
06/18/12	11:17:29	00:00:00	A	00000_0_900_226000011051	1	18	A2
06/18/12	11:17:30	00:00:00	A	00000_0_900_226000011051	4	5	A2
06/18/12	11:21:53	00:00:00	A	00000_0_900_226000010998	1	1287	A2
06/18/12	11:22:06	00:00:00	A	00000_0_900_226000010998	2	64	A2
06/18/12	11:22:32	00:00:01	A	00000_0_900_226000010998	7	127	A2
06/18/12	11:22:39	00:00:00	A	00000_0_900_226000010998	5	27	A2
06/18/12	11:22:45	00:00:00	A	00000_0_900_226000010998	5	24	A2
06/18/12	11:22:49	00:00:00	A	00000_0_900_226000010998	2	15	A2
06/18/12	11:22:52	00:00:00	A	00000_0_900_226000010998	2	16	A2
06/18/12	11:22:53	00:00:00	A	00000_0_900_226000010998	1	1	A2
06/18/12	11:22:59	00:01:00	A	00000_0_900_226000010998	5	32	A2
06/18/12	11:23:05	00:00:00	A	00000_0_900_226000010998	2	23	A2
06/18/12	11:23:06	00:00:00	A	00000_0_900_226000010998	1	2	A2
