up 51
upload #51  start: 05/09/2013 12:47:03.93 records:     158
Site code: JUL
--------- upload 51 start ---------
05/09/2013 12:47:03.93 upload 50 complete
05/09/2013 12:50:53.33 supply power ok 12.8V
05/09/2013 12:50:53.33 database file opened
05/09/2013 12:50:53.33 starting reader after power up
05/09/2013 12:52:05.89  00:00:00.14 R 0000_0000000180598569 A2    2   496
05/09/2013 13:01:15.06  00:00:00.14 R 0000_0000000180843403 A1    2  4748
05/09/2013 13:16:10.51  00:00:00.14 R 0000_0000000180843403 A1    2  6976
05/09/2013 13:22:58.85  00:00:00.15 R 0000_0000000180598569 A2    2 13614
05/09/2013 13:31:05.82  00:00:00.14 R 0000_0000000180843403 A1    2  6944
05/09/2013 13:46:01.21  00:00:00.14 R 0000_0000000180843403 A1    2  6974
05/09/2013 13:53:51.90  00:00:00.00 R 0000_0000000180598569 A2    1 13598
05/09/2013 13:55:51.66  00:00:01.65 R 0000_0000000178695701 A2   13   860
05/09/2013 13:55:53.71  00:00:00.55 R 0000_0000000178695701 A2    5     2
05/09/2013 13:56:25.63  00:00:00.00 R 0000_0000000178695701 A2    1   228
05/09/2013 13:56:25.90  00:00:00.00 R 0000_0000000178695701 A2    1     1
05/09/2013 13:56:47.35  00:00:00.41 R 0000_0000000178695701 A2    4   155
05/09/2013 14:00:56.77  00:00:00.14 R 0000_0000000180843403 A1    2  6989
05/09/2013 14:15:52.43  00:00:00.00 R 0000_0000000180843403 A1    1  7034
05/09/2013 14:24:44.65  00:00:00.14 R 0000_0000000180598569 A2    2 12203
05/09/2013 14:30:48.03  00:00:00.13 R 0000_0000000180843403 A1    2  6987
05/09/2013 14:45:43.71  00:00:00.00 R 0000_0000000180843403 A1    1  7034
05/09/2013 14:55:37.65  00:00:00.00 R 0000_0000000180598569 A2    1 13447
05/09/2013 15:00:39.33  00:00:00.14 R 0000_0000000180843403 A1    2  7052
05/09/2013 15:15:34.95  00:00:00.00 R 0000_0000000180843403 A1    1  7020
05/09/2013 15:26:30.55  00:00:00.14 R 0000_0000000180598569 A2    2 13460
05/09/2013 15:30:30.58  00:00:00.00 R 0000_0000000180843403 A1    1  7007
05/09/2013 15:45:26.07  00:00:00.14 R 0000_0000000180843403 A1    2  6951
05/09/2013 15:57:23.61  00:00:00.00 R 0000_0000000180598569 A2    1 13599
05/09/2013 16:00:21.55  00:00:00.14 R 0000_0000000180843403 A1    2  6947
05/09/2013 16:15:17.15  00:00:00.00 R 0000_0000000180843403 A1    1  6964
05/09/2013 16:28:16.38  00:00:00.14 R 0000_0000000180598569 A2    2 13545
05/09/2013 16:30:12.53  00:00:00.14 R 0000_0000000180843403 A1    2  7030
05/09/2013 16:45:08.05  00:00:00.00 R 0000_0000000180843403 A1    1  7060
05/09/2013 16:59:09.24  00:00:00.14 R 0000_0000000180598569 A2    2 13368
05/09/2013 17:00:03.45  00:00:00.13 R 0000_0000000180843403 A1    2  7086
05/09/2013 17:14:58.88  00:00:00.15 R 0000_0000000180843403 A1    2  7256
05/09/2013 17:29:54.37  00:00:00.14 R 0000_0000000180843403 A1    2  7295
05/09/2013 17:30:01.99  00:00:00.14 R 0000_0000000180598569 A2    2 12941
05/09/2013 17:44:49.83  00:00:00.13 R 0000_0000000180843403 A1    2  7176
05/09/2013 17:59:45.34  00:00:00.14 R 0000_0000000180843403 A1    2  7021
05/09/2013 18:00:55.04  00:00:00.13 R 0000_0000000180598569 A2    2 13297
05/09/2013 18:14:40.95  00:00:00.14 R 0000_0000000180843403 A1    2  7099
05/09/2013 18:29:36.52  00:00:00.13 R 0000_0000000180843403 A1    2  7118
05/09/2013 18:31:47.90  00:00:00.13 R 0000_0000000180598569 A2    2 13280
05/09/2013 18:44:32.00  00:00:00.14 R 0000_0000000180843403 A1    2  7147
05/09/2013 18:59:27.62  00:00:00.14 R 0000_0000000180843403 A1    2  7119
05/09/2013 19:02:40.67  00:00:00.00 R 0000_0000000180598569 A2    1 13237
05/09/2013 19:14:23.14  00:00:00.14 R 0000_0000000180843403 A1    2  7147
05/09/2013 19:29:18.81  00:00:00.00 R 0000_0000000180843403 A1    1  7073
05/09/2013 19:33:33.27  00:00:00.14 R 0000_0000000180598569 A2    2 13298
05/09/2013 19:44:14.35  00:00:00.14 R 0000_0000000180843403 A1    2  7009
05/09/2013 19:59:10.13  00:00:00.13 R 0000_0000000180843403 A1    2  6988
05/09/2013 20:04:26.04  00:00:00.14 R 0000_0000000180598569 A2    2 13554
05/09/2013 20:14:05.74  00:00:00.14 R 0000_0000000180843403 A1    2  6941
05/09/2013 20:29:01.44  00:00:00.00 R 0000_0000000180843403 A1    1  6863
05/09/2013 20:35:18.97  00:00:00.14 R 0000_0000000180598569 A2    2 13763
05/09/2013 20:43:56.97  00:00:00.00 R 0000_0000000180843403 A1    1  6847
05/09/2013 20:58:52.58  00:00:00.00 R 0000_0000000180843403 A1    1  6826
05/09/2013 21:06:12.01  00:00:00.13 R 0000_0000000180598569 A2    2 13870
05/09/2013 21:13:48.07  00:00:00.14 R 0000_0000000180843403 A1    2  6808
05/09/2013 21:28:43.68  00:00:00.13 R 0000_0000000180843403 A1    2  6799
05/09/2013 21:37:04.91  00:00:00.15 R 0000_0000000180598569 A2    2 13921
05/09/2013 21:43:39.28  00:00:00.14 R 0000_0000000180843403 A1    2  6803
05/09/2013 21:58:34.91  00:00:00.14 R 0000_0000000180843403 A1    2  6799
05/09/2013 22:07:57.93  00:00:00.00 R 0000_0000000180598569 A2    1 13924
05/09/2013 22:13:30.50  00:00:00.14 R 0000_0000000180843403 A1    2  6795
05/09/2013 22:28:26.14  00:00:00.14 R 0000_0000000180843403 A1    2  6781
05/09/2013 22:38:50.67  00:00:00.00 R 0000_0000000180598569 A2    1 13934
05/09/2013 22:43:21.84  00:00:00.00 R 0000_0000000180843403 A1    1  6801
05/09/2013 22:58:17.35  00:00:00.00 R 0000_0000000180843403 A1    1  6785
05/09/2013 23:09:43.20  00:00:00.13 R 0000_0000000180598569 A2    2 13947
05/09/2013 23:13:12.94  00:00:00.14 R 0000_0000000180843403 A1    2  6785
05/09/2013 23:28:08.57  00:00:00.00 R 0000_0000000180843403 A1    1  6795
05/09/2013 23:40:35.74  00:00:00.13 R 0000_0000000180598569 A2    2 13945
05/09/2013 23:43:04.20  00:00:00.13 R 0000_0000000180843403 A1    2  6781
05/09/2013 23:57:59.89  00:01:00.14 R 0000_0000000180843403 A1    2  6779
05/10/2013 00:11:28.34  00:00:00.13 R 0000_0000000180598569 A2    2 13951
05/10/2013 00:12:55.49  00:00:00.13 R 0000_0000000180843403 A1    2  6794
05/10/2013 00:27:51.09  00:00:00.14 R 0000_0000000180843403 A1    2  6792
05/10/2013 00:42:20.95  00:00:00.00 R 0000_0000000180598569 A2    1 13942
05/10/2013 00:42:46.70  00:00:00.14 R 0000_0000000180843403 A1    2  6787
05/10/2013 00:57:42.45  00:00:00.13 R 0000_0000000180843403 A1    2  6785
05/10/2013 01:12:38.03  00:00:00.14 R 0000_0000000180843403 A1    2  6799
05/10/2013 01:13:13.31  00:00:00.00 R 0000_0000000180598569 A2    1 13935
05/10/2013 01:27:33.61  00:00:00.13 R 0000_0000000180843403 A1    2  6801
05/10/2013 01:42:29.25  00:00:00.14 R 0000_0000000180843403 A1    2  6792
05/10/2013 01:44:05.82  00:00:00.00 R 0000_0000000180598569 A2    1 13926
05/10/2013 01:57:24.88  00:00:00.15 R 0000_0000000180843403 A1    2  6788
05/10/2013 02:12:20.61  00:00:00.13 R 0000_0000000180843403 A1    2  6799
05/10/2013 02:14:58.20  00:00:00.13 R 0000_0000000180598569 A2    2 13937
05/10/2013 02:27:16.33  00:00:00.00 R 0000_0000000180843403 A1    1  6793
05/10/2013 02:42:11.91  00:00:00.15 R 0000_0000000180843403 A1    2  6787
05/10/2013 02:45:50.51  00:00:00.14 R 0000_0000000180598569 A2    2 13938
05/10/2013 02:57:07.62  00:00:00.14 R 0000_0000000180843403 A1    2  6788
05/10/2013 03:12:03.24  00:00:00.14 R 0000_0000000180843403 A1    2  6793
