

>

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.28 Tx A1 1.12 A2 1.14                 EA 0.69   12.4 V     3.2 V   12:05:44.82
Rx 0.27 Tx A1 1.12 A2 1.13                 EA 0.69   12.4 V     3.2 V   12:05:45.35
Rx 0.30 Tx A1 1.11 A2 1.17                 EA 0.70   12.4 V     3.2 V   12:05:45.86
Rx 0.29 Tx A1 1.12 A2 1.15                 EA 0.70   12.4 V     3.2 V   12:05:46.38
Rx 0.28 Tx A1 1.12 A2 1.16                 EA 0.69   12.4 V     3.2 V   12:05:46.89
Rx 0.30 Tx A1 1.12 A2 1.17                 EA 0.72   12.4 V     3.2 V   12:05:47.40

>up
Upload #3
Reader: Noname  Site: AA
--------- upload 3 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2014-04-02 10:27:22.00 upload 2 complete
E 2014-04-02 10:27:56.60 parameter change: charge period 20ms
E 2014-04-02 10:28:04.09 parameter change: duty cycle pause 20ms
E 2014-04-02 10:28:19.47 parameter change: mux sequence '12'
D 2014-04-02 10:29:08.30 00:00:00.26 HR 0000_0000000181177649 A1    4   740
D 2014-04-02 10:29:15.46 00:00:00.00 HR 0000_0000000181177649 A1    1    82
D 2014-04-02 10:29:15.63 00:00:00.35 HR 0000_0000000181177649 A1    5     1
D 2014-04-02 10:29:24.34 00:00:00.00 HR 0000_0000000181177649 A2    1   932
D 2014-04-02 10:29:24.51 00:00:00.26 HR 0000_0000000181177649 A2    4     1
D 2014-04-02 10:29:24.94 00:00:00.00 HR 0000_0000000181177649 A2    1     1
E 2014-04-21 11:15:07.63 supply power ok 12.5V
E 2014-04-21 11:15:07.63 database file opened
E 2014-04-21 11:15:07.64 starting reader after power up
D 2014-04-21 11:15:34.46 00:00:00.78 HR 0000_0000000178695688 A1   10   250
D 2014-04-21 11:15:36.91 00:00:00.54 HR 0000_0000000178695688 A1    7    19
D 2014-04-21 11:15:46.62 00:00:00.79 HA      900_226000011017 A1   10   109
D 2014-04-21 11:15:49.02 00:00:00.44 HA      900_226000011017 A1    6    18
D 2014-04-21 11:15:50.37 00:00:00.63 HA      900_226000011017 A1    8    10
D 2014-04-21 11:15:51.26 00:00:00.44 HA      900_226000011017 A1    6     2
D 2014-04-21 11:15:53.12 00:00:00.71 HA      900_226000011017 A1    9    16
D 2014-04-21 11:15:53.26 00:00:02.61 HA      900_226000011017 A1    8     4
D 2014-04-21 11:16:01.32 00:00:00.00 HA      900_226000011017 A1    1    76
D 2014-04-21 11:16:01.50 00:00:00.44 HA      900_226000011017 A1    6     1
D 2014-04-21 11:16:02.95 00:00:00.53 HA      900_226000011017 A1    7    11
D 2014-04-21 11:16:06.33 00:00:00.00 HA      900_226000011017 A1    1    33
D 2014-04-21 11:16:06.50 00:00:00.09 HA      900_226000011017 A1    2     1
D 2014-04-21 11:16:06.76 23:59:59.27 HA      900_226000011017 A1    4     1
D 2014-04-21 11:16:16.32 00:00:00.35 HA      900_226000011017 A1    5   110
D 2014-04-21 11:16:16.84 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-04-21 11:16:19.03 00:00:00.44 HA      900_226000011017 A1    6    25
D 2014-04-21 11:17:01.31 00:00:00.45 HA      900_226000011017 A1    6   501
D 2014-04-21 11:17:03.18 00:00:00.36 HA      900_226000011017 A1    5    16
D 2014-04-21 11:17:03.22 00:00:01.35 HA      900_226000011017 A1    5     7
