ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.22 Tx A1 0.91                         EA 0.56   11.9 V     3.3 V   13:55:41.80
Rx 0.23 Tx A1 0.94                         EA 0.57   11.9 V     3.3 V   13:55:42.32

>up
Upload #16
Reader: Noname  Site: AA
--------- upload 16 start ---------
E 2014-05-13 16:13:32.44 upload 15 complete
E 2014-05-13 16:34:07.81 supply power ok 12.3V
E 2014-05-13 16:34:07.81 database file opened
E 2014-05-13 16:34:07.81 starting reader after power up
E 2014-05-13 16:34:28.42 supply power ok 12.3V
E 2014-05-13 16:34:28.42 database file opened
E 2014-05-13 16:34:28.42 starting reader after power up
D 2014-05-13 16:34:53.66 00:00:00.00 HR 0000_0000000178695688 A1    1   229
D 2014-05-13 16:34:53.83 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:53.99 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:53.16 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:54.42 00:00:00.00 HR 0000_0000000178695688 A1    1     2
D 2014-05-13 16:34:54.59 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:54.76 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:56.84 00:00:00.00 HR 0000_0000000178695688 A1    1    36
D 2014-05-13 16:34:56.02 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:58.19 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:58.36 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:58.53 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:58.70 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.61 00:00:00.00 HR 0000_0000000178695688 A2    1   298
D 2014-05-13 16:34:59.78 00:00:00.00 HR 0000_0000000178695688 A2    1     1
D 2014-05-13 16:34:59.32 00:00:00.00 HR 0000_0000000178695688 A1    1    16
D 2014-05-13 16:34:59.49 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.66 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.83 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.01 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.18 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.35 00:00:00.09 HR 0000_0000000178695688 A1    2     1
D 2014-05-13 16:34:59.61 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:34:59.78 00:00:00.00 HR 0000_0000000178695688 A1    1     1
D 2014-05-13 16:35:13.32 00:00:00.00 HA      900_226000011017 A1    1    84
D 2014-05-13 16:35:13.49 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-05-13 16:35:13.66 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-05-13 16:35:13.00 00:00:01.09 HA      900_226000011017 A1    2     3
D 2014-05-13 16:35:14.26 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-05-13 16:35:14.51 00:00:00.00 HA      900_226000011017 A1    1     2
D 2014-05-13 16:35:14.68 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-05-13 16:35:14.85 00:00:00.00 HA      900_226000011017 A1    1     1
D 2014-05-13 16:35:14.11 00:00:00.00 HA      900_226000011017 A1    1     2
D 2014-05-13 16:35:15.59 00:00:00.00 HA      900_226000011017 A2    1   130
