ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.89                         EA 0.55   12.1 V     3.3 V   15:00:38.18
Rx 0.24 Tx A1 0.89                         EA 0.56   12.1 V     3.3 V   15:00:38.69
Rx 0.23 Tx A1 0.89                         EA 0.55   12.1 V     3.3 V   15:00:39.21
Rx 0.21 Tx A1 0.88                         EA 0.53   12.1 V     3.3 V   15:00:39.72
Rx 0.22 Tx A1 0.88                         EA 0.54   12.1 V     3.3 V   15:00:40.24

>up
Upload #3
Reader: Noname  Site: AA
--------- upload 3 start ---------
E 2014-05-29 11:17:48.81 upload 2 complete
E 2014-05-29 11:19:41.27 supply power ok 12.7V
E 2014-05-29 11:19:41.27 database file opened
E 2014-05-29 11:19:41.27 starting reader after power up
D 2014-05-29 11:28:45.72 00:00:00.04 HR 0000_0000000180573731 A1    2 12942
D 2014-05-29 11:43:42.59 00:00:00.05 HR 0000_0000000180573731 A1    2 21569
D 2014-05-29 11:43:42.72 00:00:00.00 HR 0000_0000000180573731 A1    1     1
D 2014-05-29 11:58:39.30 00:00:00.05 HR 0000_0000000180573731 A1    2 21564
D 2014-05-29 11:58:39.43 00:00:00.05 HR 0000_0000000180573731 A1    2     1
D 2014-05-29 12:13:36.29 00:00:00.05 HR 0000_0000000180573731 A1    2 21571
D 2014-05-29 12:13:36.47 00:00:00.00 HR 0000_0000000180573731 A1    1     2
D 2014-05-29 12:28:33.38 00:00:00.04 HR 0000_0000000180573731 A1    2 21571
D 2014-05-29 12:28:33.55 00:00:00.00 HR 0000_0000000180573731 A1    1     2
D 2014-05-29 12:43:30.46 00:00:00.00 HR 0000_0000000180573731 A1    1 21573
D 2014-05-29 12:43:30.59 00:00:00.04 HR 0000_0000000180573731 A1    2     2
D 2014-05-29 12:58:27.90 00:00:00.00 HR 0000_0000000180573731 A1    1 21581
D 2014-05-29 12:58:27.04 00:00:00.00 HR 0000_0000000180573731 A1    1     2
E 2014-05-29 12:58:29.21 Kick start -- not scanning
D 2014-05-29 13:13:25.31 00:00:00.05 HR 0000_0000000180573731 A1    2 21544
D 2014-05-29 13:13:25.45 00:00:00.04 HR 0000_0000000180573731 A1    2     1
D 2014-05-29 13:28:22.76 00:00:00.00 HR 0000_0000000180573731 A1    1 21580
D 2014-05-29 13:28:22.89 00:00:00.00 HR 0000_0000000180573731 A1    1     2
