

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.24 Tx A1 0.89                         EA 0.55   11.8 V     3.3 V   12:20:58.07
Rx 0.22 Tx A1 0.87                         EA 0.54   11.8 V     3.3 V   12:20:58.58
Rx 0.21 Tx A1 0.90                         EA 0.55   11.8 V     3.3 V   12:20:59.10

>up
Upload #5
Reader: Noname  Site: AA
--------- upload 5 start ---------
E 2014-06-02 14:57:48.73 upload 4 complete
E 2014-06-02 15:00:27.51 supply power ok 12.7V
E 2014-06-02 15:00:27.51 database file opened
E 2014-06-02 15:00:27.51 starting reader after power up
D 2014-06-02 15:00:50.11 00:00:00.00 HA      900_226000080255 A1    1   397
D 2014-06-02 15:00:50.79 00:00:00.00 HA      900_226000080255 A1    1    15
D 2014-06-02 15:00:50.92 00:00:00.05 HA      900_226000080255 A1    2     2
D 2014-06-02 15:00:50.10 00:00:00.05 HA      900_226000080255 A1    2     2
D 2014-06-02 15:00:50.24 00:00:00.05 HA      900_226000080255 A1    2     1
D 2014-06-02 15:00:50.41 00:00:00.00 HA      900_226000080255 A1    1     2
D 2014-06-02 15:01:20.89 00:00:00.05 HA      900_226000080255 A1    2   696
D 2014-06-02 15:01:21.03 00:00:00.05 HA      900_226000080255 A1    2     1
D 2014-06-02 15:01:21.21 00:00:00.05 HA      900_226000080255 A1    2     2
D 2014-06-02 15:01:37.07 00:00:00.00 HA      900_226000080255 A1    1   378
D 2014-06-02 15:01:37.20 00:00:00.00 HA      900_226000080255 A1    1     2
D 2014-06-02 15:01:37.33 00:00:00.05 HA      900_226000080255 A1    2     2
D 2014-06-02 15:01:37.46 00:00:00.06 HA      900_226000080255 A1    2     1
D 2014-06-02 15:01:37.64 00:00:00.05 HA      900_226000080255 A1    2     2
D 2014-06-02 15:01:47.91 00:00:00.00 HR 0000_0000000181177664 A1    1   230
D 2014-06-02 15:01:47.03 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-02 15:01:47.21 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-02 15:01:47.34 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-02 15:09:45.29 00:00:00.19 HR 0000_0000000180573731 A1    5 11461
D 2014-06-02 15:24:43.44 00:00:00.00 HR 0000_0000000180573731 A1    1 21592
D 2014-06-02 15:24:43.52 00:00:00.05 HR 0000_0000000180573731 A1    2     1
D 2014-06-02 15:39:41.55 00:00:00.00 HR 0000_0000000180573731 A1    1 21594
