

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.92                         EA 0.56   12.2 V     3.3 V   13:41:41.47
Rx 0.25 Tx A1 0.90                         EA 0.56   12.2 V     3.3 V   13:41:41.98
Rx 0.24 Tx A1 0.91                         EA 0.57   12.2 V     3.3 V   13:41:42.50
Rx 0.25 Tx A1 0.91                         EA 0.56   12.2 V     3.3 V   13:41:43.02

>up
Upload #7
Reader: Noname  Site: AA
--------- upload 7 start ---------
E 2014-06-09 11:08:58.03 upload 6 complete
E 2014-06-09 11:10:53.49 supply power ok 12.6V
E 2014-06-09 11:10:53.49 database file opened
E 2014-06-09 11:10:53.49 starting reader after power up
D 2014-06-09 11:11:28.72 00:00:00.00 HR 0000_0000000181177664 A1    1   699
D 2014-06-09 11:11:28.84 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:28.98 23:59:59.06 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:28.16 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:28.30 00:00:00.04 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:29.97 23:59:59.06 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:29.16 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:29.29 00:00:00.00 HR 0000_0000000181177664 A1    1     1
D 2014-06-09 11:11:29.27 00:00:00.00 HR 0000_0000000181177664 A1    1    13
D 2014-06-09 11:11:29.36 00:00:00.05 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:29.53 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:29.67 00:00:00.04 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:29.84 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:29.97 23:59:59.06 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:29.16 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:29.29 00:00:00.00 HR 0000_0000000181177664 A1    1     1
D 2014-06-09 11:11:32.94 00:00:00.05 HR 0000_0000000181177664 A1    2    13
D 2014-06-09 11:11:32.07 00:00:00.05 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:32.25 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-09 11:11:32.38 00:00:00.05 HR 0000_0000000181177664 A1    2     1
D 2014-06-09 11:11:32.56 00:00:00.00 HR 0000_000000018117ŸŒL1I A1    1     2
D 2014-06-09 11:11:32.20 00:00:00.04 HR 0000_0000000181177664 A1    2     1
