

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx         A2 0.95                 EA 0.46   11.5 V     3.3 V   10:20:10.97
Rx 0.21 Tx         A2 0.95                 EA 0.46   11.5 V     3.3 V   10:20:11.49
Rx 0.24 Tx         A2 0.95                 EA 0.48   11.6 V     3.3 V   10:20:11.00

>up
Upload #12
Reader: Noname  Site: AA
--------- upload 12 start ---------
E 2014-06-23 10:08:55.67 upload 11 complete
E 2014-06-23 10:11:13.94 supply power ok 12.5V
E 2014-06-23 10:11:13.94 database file opened
E 2014-06-23 10:11:13.94 starting reader after power up
D 2014-06-23 10:12:27.97 00:00:00.00 HR 0000_0000000181177664 A2    1  1091
D 2014-06-23 10:12:36.78 00:00:00.00 HR 0000_0000000181177664 A2    1   140
D 2014-06-23 10:12:36.91 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-23 10:12:36.05 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-23 10:20:59.36 00:00:00.00 HR 0000_0000000180843440 A2    1  8073
D 2014-06-23 10:35:56.40 00:00:00.00 HR 0000_0000000180843440 A2    1 14419
D 2014-06-23 11:05:50.53 00:00:00.00 HR 0000_0000000180843440 A2    1 28841
D 2014-06-23 11:05:50.65 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 11:20:47.46 00:00:00.00 HR 0000_0000000180843440 A2    1 14415
D 2014-06-23 11:20:47.59 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 12:20:33.08 00:00:00.00 HR 0000_0000000180843440 A2    1 57636
D 2014-06-23 12:50:25.58 00:00:00.00 HR 0000_0000000180843440 A2    1 28816
D 2014-06-23 13:05:21.61 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
D 2014-06-23 13:05:21.74 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 13:20:17.48 00:00:00.00 HR 0000_0000000180843440 A2    1 14399
D 2014-06-23 13:20:17.60 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 13:50:09.24 00:00:00.00 HR 0000_0000000180843440 A2    1 28803
D 2014-06-23 14:05:05.28 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
D 2014-06-23 14:05:05.41 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 14:49:53.45 00:00:00.00 HR 0000_0000000180843440 A2    1 43215
D 2014-06-23 15:04:49.56 00:00:00.00 HR 0000_0000000180843440 A2    1 14406
D 2014-06-23 15:19:45.42 00:00:00.00 HR 0000_0000000180843440 A2    1 14402
D 2014-06-23 15:34:41.42 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
D 2014-06-23 15:49:37.18 00:00:00.00 HR 0000_0000000180843440 A2    1 14400
D 2014-06-23 17:04:16.40 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-23 17:49:03.42 00:00:00.00 HR 0000_0000000180843440 A2    1 43199
D 2014-06-23 17:49:03.55 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 19:33:32.18 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-23 19:48:27.75 00:00:00.00 HR 0000_0000000180843440 A2    1 14399
D 2014-06-23 21:03:04.09 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-23 21:17:59.42 00:00:00.00 HR 0000_0000000180843440 A2    1 14392
D 2014-06-23 21:17:59.55 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-23 21:47:49.79 00:00:00.00 HR 0000_0000000180843440 A2    1 28777
D 2014-06-23 22:32:35.17 00:00:00.00 HR 0000_0000000180843440 A2    1 43168
D 2014-06-23 22:32:35.30 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 00:16:59.98 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-24 00:17:00.12 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 00:31:54.98 00:00:00.00 HR 0000_0000000180843440 A2    1 14385
D 2014-06-24 00:31:55.11 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 00:46:49.79 00:00:00.00 HR 0000_0000000180843440 A2    1 14382
D 2014-06-24 00:46:49.92 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 02:01:24.11 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-24 02:01:24.24 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 03:01:03.46 00:00:00.00 HR 0000_0000000180843440 A2    1 57541
D 2014-06-24 03:01:03.59 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 03:30:53.49 00:00:00.00 HR 0000_0000000180843440 A2    1 28775
D 2014-06-24 03:45:48.40 00:00:00.00 HR 0000_0000000180843440 A2    1 14387
D 2014-06-24 04:00:43.41 00:00:00.00 HR 0000_0000000180843440 A2    1 14387
D 2014-06-24 04:15:38.29 00:00:00.00 HR 0000_0000000180843440 A2    1 14385
D 2014-06-24 04:15:38.42 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 04:30:33.30 00:00:00.00 HR 0000_0000000180843440 A2    1 14386
D 2014-06-24 05:30:12.82 00:00:00.00 HR 0000_0000000180843440 A2    1 57548
D 2014-06-24 05:45:07.54 00:00:00.00 HR 0000_0000000180843440 A2    1 14384
D 2014-06-24 05:45:07.67 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 06:00:02.63 00:00:00.00 HR 0000_0000000180843440 A2    1 14388
D 2014-06-24 07:14:43.09 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-24 08:59:17.00 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-24 09:29:09.63 00:00:00.00 HR 0000_0000000180843440 A2    1 28819
D 2014-06-24 09:29:09.76 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 09:59:02.66 00:00:00.00 HR 0000_0000000180843440 A2    1 28824
D 2014-06-24 09:59:02.78 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 10:13:59.24 00:00:00.00 HR 0000_0000000180843440 A2    1 14412
D 2014-06-24 10:28:56.03 00:00:00.00 HR 0000_0000000180843440 A2    1 14417
D 2014-06-24 10:28:56.16 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 10:43:52.97 00:00:00.00 HR 0000_0000000180843440 A2    1 14418
D 2014-06-24 10:58:49.59 00:00:00.00 HR 0000_0000000180843440 A2    1 14415
D 2014-06-24 10:58:49.72 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 12:28:25.00 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-24 12:43:21.69 00:00:00.00 HR 0000_0000000180843440 A2    1 14400
D 2014-06-24 13:13:13.52 00:00:00.00 HR 0000_0000000180843440 A2    1 28807
D 2014-06-24 13:28:09.58 00:00:00.00 HR 0000_0000000180843440 A2    1 14406
D 2014-06-24 13:43:05.57 00:00:00.00 HR 0000_0000000180843440 A2    1 14405
D 2014-06-24 13:43:05.70 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 14:12:57.21 00:00:00.00 HR 0000_0000000180843440 A2    1 28804
D 2014-06-24 14:12:57.34 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 14:42:49.10 00:00:00.00 HR 0000_0000000180843440 A2    1 28811
D 2014-06-24 14:42:49.23 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 14:57:45.10 00:00:00.00 HR 0000_0000000180843440 A2    1 14405
D 2014-06-24 14:57:45.23 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 15:27:36.90 00:00:00.00 HR 0000_0000000180843440 A2    1 28809
D 2014-06-24 15:27:36.04 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 15:57:28.69 00:00:00.00 HR 0000_0000000180843440 A2    1 28808
D 2014-06-24 16:27:20.40 00:00:00.00 HR 0000_0000000180843440 A2    1 28810
D 2014-06-24 16:42:16.30 00:00:00.00 HR 0000_0000000180843440 A2    1 14405
D 2014-06-24 16:57:12.11 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
D 2014-06-24 17:12:07.92 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
D 2014-06-24 19:11:34.32 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-24 19:11:34.44 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 19:26:30.21 00:00:00.00 HR 0000_0000000180843440 A2    1 14401
D 2014-06-24 19:26:30.34 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 19:41:25.80 00:00:00.00 HR 0000_0000000180843440 A2    1 14395
D 2014-06-24 19:56:21.50 00:00:00.00 HR 0000_0000000180843440 A2    1 14399
D 2014-06-24 20:41:08.12 00:00:00.00 HR 0000_0000000180843440 A2    1 43191
D 2014-06-24 20:41:08.25 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 20:56:03.44 00:00:00.00 HR 0000_0000000180843440 A2    1 14391
D 2014-06-24 21:55:44.91 00:00:00.00 HR 0000_0000000180843440 A2    1 57573
D 2014-06-24 22:25:34.59 00:00:00.00 HR 0000_0000000180843440 A2    1 28769
D 2014-06-24 22:25:34.72 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 22:40:29.59 00:00:00.00 HR 0000_0000000180843440 A2    1 14385
D 2014-06-24 22:40:29.72 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-24 23:25:14.34 00:00:00.00 HR 0000_0000000180843440 A2    1 43160
D 2014-06-24 23:40:09.42 00:00:00.00 HR 0000_0000000180843440 A2    1 14388
D 2014-06-25 00:09:59.23 00:00:00.00 HR 0000_0000000180843440 A2    1 28773
D 2014-06-25 00:09:59.36 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 00:24:54.12 00:00:00.00 HR 0000_0000000180843440 A2    1 14383
D 2014-06-25 00:24:54.25 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 00:39:49.05 00:00:00.00 HR 0000_0000000180843440 A2    1 14384
D 2014-06-25 00:39:49.17 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 00:54:43.80 00:00:00.00 HR 0000_0000000180843440 A2    1 14382
D 2014-06-25 01:09:38.44 00:00:00.00 HR 0000_0000000180843440 A2    1 14382
D 2014-06-25 01:09:38.57 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 01:54:22.54 00:00:00.00 HR 0000_0000000180843440 A2    1 43147
D 2014-06-25 02:54:00.82 00:00:00.00 HR 0000_0000000180843440 A2    1 57523
D 2014-06-25 02:54:00.94 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 03:08:55.44 00:00:00.00 HR 0000_0000000180843440 A2    1 14379
D 2014-06-25 03:08:55.57 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 04:08:34.35 00:00:00.00 HR 0000_0000000180843440 A2    1 57532
D 2014-06-25 04:23:29.14 00:00:00.00 HR 0000_0000000180843440 A2    1 14384
D 2014-06-25 04:23:29.27 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 04:38:23.93 00:00:00.00 HR 0000_0000000180843440 A2    1 14382
D 2014-06-25 05:23:08.43 00:00:00.00 HR 0000_0000000180843440 A2    1 43158
D 2014-06-25 05:38:02.98 00:00:00.00 HR 0000_0000000180843440 A2    1 14381
D 2014-06-25 05:52:57.54 00:00:00.00 HR 0000_0000000180843440 A2    1 14381
D 2014-06-25 06:07:52.24 00:00:00.00 HR 0000_0000000180843440 A2    1 14383
D 2014-06-25 06:22:46.81 00:00:00.00 HR 0000_0000000180843440 A2    1 14381
D 2014-06-25 06:52:36.34 00:00:00.00 HR 0000_0000000180843440 A2    1 28770
D 2014-06-25 06:52:36.47 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 07:22:25.74 00:00:00.00 HR 0000_0000000180843440 A2    1 28763
D 2014-06-25 07:52:15.00 00:00:00.00 HR 0000_0000000180843440 A2    1 28758
D 2014-06-25 07:52:15.13 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 08:07:09.74 00:00:00.00 HR 0000_0000000180843440 A2    1 14378
D 2014-06-25 08:07:09.87 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 08:22:04.62 00:00:00.00 HR 0000_0000000180843440 A2    1 14381
D 2014-06-25 08:51:54.85 00:00:00.00 HR 0000_0000000180843440 A2    1 28773
D 2014-06-25 08:51:54.97 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 09:21:45.65 00:00:00.00 HR 0000_0000000180843440 A2    1 28780
D 2014-06-25 10:06:32.53 00:00:00.00 HR 0000_0000000180843440 A2    1 43182
D 2014-06-25 10:06:32.65 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 10:21:28.30 00:00:00.00 HR 0000_0000000180843440 A2    1 14395
D 2014-06-25 10:21:28.42 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 11:21:12.91 00:00:00.00 HR 0000_0000000180843440 A2    1 57621
D 2014-06-25 11:21:12.04 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 11:36:09.23 00:00:00.00 HR 0000_0000000180843440 A2    1 14407
D 2014-06-25 11:36:09.36 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 11:51:05.31 00:00:00.00 HR 0000_0000000180843440 A2    1 14403
D 2014-06-25 11:51:05.44 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 12:50:50.52 00:00:00.00 HR 0000_0000000180843440 A2    1 57639
D 2014-06-25 12:50:50.65 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 14:05:31.20 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-25 14:20:27.15 00:00:00.00 HR 0000_0000000180843440 A2    1 14405
D 2014-06-25 15:05:15.61 00:00:00.00 HR 0000_0000000180843440 A2    1 43228
D 2014-06-25 15:05:15.74 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 15:20:11.90 00:00:00.00 HR 0000_0000000180843440 A2    1 14409
D 2014-06-25 15:20:11.04 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 15:35:08.06 00:00:00.00 HR 0000_0000000180843440 A2    1 14407
D 2014-06-25 15:35:08.19 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 16:19:56.31 00:00:00.00 HR 0000_0000000180843440 A2    1 43223
D 2014-06-25 18:04:26.45 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-25 18:34:17.53 00:00:00.00 HR 0000_0000000180843440 A2    1 28796
D 2014-06-25 19:04:08.36 00:00:00.00 HR 0000_0000000180843440 A2    1 28792
D 2014-06-25 19:04:08.49 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 19:48:54.38 00:00:00.00 HR 0000_0000000180843440 A2    1 43182
D 2014-06-25 19:48:54.51 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 20:18:45.12 00:00:00.00 HR 0000_0000000180843440 A2    1 28788
D 2014-06-25 21:03:30.83 00:00:00.00 HR 0000_0000000180843440 A2    1 43175
D 2014-06-25 21:18:25.94 00:00:00.00 HR 0000_0000000180843440 A2    1 14389
D 2014-06-25 21:18:26.08 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-25 22:03:11.52 00:00:00.00 HR 0000_0000000180843440 A2    1 43168
D 2014-06-25 23:32:42.29 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-26 00:17:27.54 00:00:00.00 HR 0000_0000000180843440 A2    1 43167
D 2014-06-26 00:17:27.67 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-26 00:47:17.65 00:00:00.00 HR 0000_0000000180843440 A2    1 28776
D 2014-06-26 01:46:57.57 00:00:00.00 HR 0000_0000000180843440 A2    1 57555
D 2014-06-26 02:31:42.35 00:00:00.00 HR 0000_0000000180843440 A2    1 43164
D 2014-06-26 02:46:37.17 00:00:00.00 HR 0000_0000000180843440 A2    1 14386
D 2014-06-26 02:46:37.30 00:00:00.00 HR 0000_0000000180843440 A2    1     1
