ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx A1 0.46                         EA 0.33   12.5 V     3.2 V   15:13:24.23
Rx 0.21 Tx A1 0.45                         EA 0.33   12.5 V     3.2 V   15:13:24.74
Rx 0.20 Tx A1 0.45                         EA 0.32   12.5 V     3.2 V   15:13:25.26

>up
Upload #4
Reader: Noname  Site: AA
--------- upload 4 start ---------
    Date        Time      Duration  Type        Tag ID       Ant Count  Gap
E 2014-04-25 12:06:06.12 upload 3 complete
D 2014-04-25 12:08:27.96 00:00:00.17 HR 0000_0000000180573731 A2    3  2452
D 2014-04-25 12:13:46.49 00:00:00.17 HR 0000_0000000180843440 A1    3  6279
D 2014-04-25 12:23:25.12 00:00:00.17 HR 0000_0000000180573731 A2    3 10781
D 2014-04-25 12:28:42.00 00:00:00.18 HR 0000_0000000180843440 A1    3 10762
D 2014-04-25 12:38:22.35 00:00:00.08 HR 0000_0000000180573731 A2    2 10783
D 2014-04-25 12:43:37.67 00:00:00.09 HR 0000_0000000180843440 A1    2 10764
D 2014-04-25 12:53:19.64 00:00:00.09 HR 0000_0000000180573731 A2    2 10784
D 2014-04-25 12:58:33.09 00:00:00.09 HR 0000_0000000180843440 A1    2 10761
D 2014-04-25 13:08:16.88 00:00:00.08 HR 0000_0000000180573731 A2    2 10783
D 2014-04-25 13:13:28.48 00:00:00.09 HR 0000_0000000180843440 A1    2 10761
D 2014-04-25 13:23:14.00 00:00:00.17 HR 0000_0000000180573731 A2    3 10782
D 2014-04-25 13:28:23.73 00:00:00.09 HR 0000_0000000180843440 A1    2 10760
D 2014-04-25 13:38:11.26 00:00:00.18 HR 0000_0000000180573731 A2    3 10783
D 2014-04-25 13:43:18.62 00:00:00.17 HR 0000_0000000180843440 A1    3 10755
D 2014-04-25 13:53:08.40 00:00:00.18 HR 0000_0000000180573731 A2    3 10781
D 2014-04-25 13:58:13.56 00:00:00.17 HR 0000_0000000180843440 A1    3 10755
D 2014-04-25 14:08:05.58 00:00:00.09 HR 0000_0000000180573731 A2    2 10782
D 2014-04-25 14:13:08.34 00:00:00.18 HR 0000_0000000180843440 A1    3 10753
D 2014-04-25 14:23:02.67 00:00:00.17 HR 0000_0000000180573731 A2    3 10782
D 2014-04-25 14:28:03.16 00:00:00.09 HR 0000_0000000180843440 A1    2 10754
D 2014-04-25 14:37:59.73 00:00:00.18 HR 0000_0000000180573731 A2    3 10781
D 2014-04-25 14:42:57.71 00:00:00.17 HR 0000_0000000180843440 A1    3 10751
D 2014-04-25 14:52:56.93 00:00:00.18 HR 0000_0000000180573731 A2    3 10782
D 2014-04-25 14:57:52.24 00:00:00.17 HR 0000_0000000180843440 A1    3 10750
D 2014-04-25 15:07:54.29 00:00:00.18 HR 0000_0000000180573731 A2    3 10783
D 2014-04-25 15:12:46.67 00:00:00.09 HR 0000_0000000180843440 A1    2 10748
