ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.95 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:16.74
Rx 0.20 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.26
Rx 0.21 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.77
Rx 0.21 Tx A1 0.95 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:18.29
Rx 0.21 Tx A1 0.94 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:18.80
Rx 0.23 Tx A1 0.91 A2 0.81                 EA 0.53   12.0 V     3.3 V   15:19:19.31
Rx 0.24 Tx A1 0.96 A2 0.81                 EA 0.56   12.0 V     3.3 V   15:19:19.82

>
2014-05-21 15:20:10.42 00:00:00.00 HR 0000_0000000180573731 A1   1 4149
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2 4149 DETECT
up  

>up
Upload #18
Reader: Noname  Site: AA
--------- upload 18 start ---------
E 2014-05-19 16:17:03.55 upload 17 complete
D 2014-05-19 16:18:55.98 00:00:00.00 HR 0000_0000000181177673 A2    1     .
D 2014-05-19 16:18:56.48 00:00:00.00 HR 0000_0000000181177673 A2    1     5
D 2014-05-19 16:18:56.07 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:19:10.05 00:00:00.00 HR 0000_0000000181177673 A2    1   155
D 2014-05-19 16:19:10.55 00:00:00.00 HR 0000_0000000181177673 A2    1     5
D 2014-05-19 16:19:10.14 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:19:11.64 00:00:00.00 HR 0000_0000000181177673 A2    1     5
D 2014-05-19 16:19:12.22 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:19:12.72 00:00:00.00 HR 0000_0000000181177673 A2    1     5
D 2014-05-19 16:19:12.31 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:19:13.90 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:19:13.41 00:00:00.00 HR 0000_0000000181177673 A2    1     5
D 2014-05-19 16:20:15.72 00:00:00.00 HR 0000_0000000181177673 A2    1   737
D 2014-05-19 16:20:15.40 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:16.06 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:17.64 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:20:17.32 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:18.98 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:19.66 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:19.24 00:00:00.00 HR 0000_0000000181177673 A2    1     6
D 2014-05-19 16:20:20.90 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:21.58 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:36.04 00:00:00.00 HR 0000_0000000181177673 A2    1   173
D 2014-05-19 16:20:36.70 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:36.38 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:37.05 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:38.72 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:38.38 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:39.05 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:20:56.68 00:00:00.00 HA      900_226000080255 A2    1   199
D 2014-05-19 16:20:57.51 00:00:00.00 HA      900_226000080255 A2    1     9
D 2014-05-19 16:20:58.35 00:00:00.00 HA      900_226000080255 A2    1     9
D 2014-05-19 16:20:59.19 00:00:00.00 HA      900_226000080255 A2    1     9
D 2014-05-19 16:21:07.13 00:00:00.00 HA      900_226000080255 A2    1    94
D 2014-05-19 16:21:07.96 00:00:00.00 HA      900_226000080255 A2    1     9
D 2014-05-19 16:21:08.88 00:00:00.00 HA      900_226000080255 A2    1    10
D 2014-05-19 16:21:10.72 00:00:00.00 HA      900_226000080255 A2    1     9
D 2014-05-19 16:21:25.58 00:00:00.00 HR 0000_0000000181177673 A2    1   190
D 2014-05-19 16:21:27.51 00:00:00.00 HR 0000_0000000181177673 A2    1    22
D 2014-05-19 16:21:28.26 00:00:00.00 HR 0000_0000000181177673 A2    1     8
D 2014-05-19 16:21:29.02 00:00:00.00 HR 0000_0000000181177673 A2    1     8
D 2014-05-19 16:21:29.68 00:00:00.00 HR 0000_0000000181177673 A2    1     7
D 2014-05-19 16:21:30.44 00:00:00.00 HR 0000_0000000181177673 A2    1     8
D 2014-05-19 16:21:31.18 00:00:00.00 HR 0000_0000000181177673 A2    1     8
D 2014-05-19 16:22:28.80 00:00:00.00 HR 0000_0000000181177673 A1    1     .
