

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx         A2 0.93                 EA 0.44   11.0 V     3.3 V   10:10:33.71
Rx 0.20 Tx         A2 0.93                 EA 0.44   11.0 V     3.3 V   10:10:34.23
Rx 0.20 Tx         A2 0.93                 EA 0.44   11.0 V     3.3 V   10:10:34.74
Rx 0.22 Tx         A2 0.91                 EA 0.45   11.0 V     3.3 V   10:10:35.26

>up
Upload #13
Reader: Noname  Site: AA
--------- upload 13 start ---------
E 2014-06-26 10:20:16.04 upload 12 complete
E 2014-06-26 10:22:41.92 supply power ok 12.3V
E 2014-06-26 10:22:41.92 database file opened
E 2014-06-26 10:22:41.92 starting reader after power up
D 2014-06-26 10:45:57.80 00:00:00.00 HR 0000_0000000181177664 A2    1 22346
D 2014-06-26 10:45:57.93 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 10:46:11.85 00:00:00.00 HR 0000_0000000181177664 A2    1   222
D 2014-06-26 10:46:11.97 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 10:46:11.11 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 10:46:18.67 00:00:00.00 HR 0000_0000000181177664 A2    1   104
D 2014-06-26 10:46:37.80 00:00:00.00 HR 0000_0000000181177664 A2    1   306
D 2014-06-26 10:46:37.92 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 10:46:37.05 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 10:46:48.35 00:00:00.00 HR 0000_0000000181177664 A2    1   164
D 2014-06-26 10:46:48.48 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 10:46:48.61 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-26 11:14:07.13 00:00:00.00 HR 0000_0000000180843440 A2    1 26344
D 2014-06-26 11:14:07.26 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-26 11:29:03.32 00:00:00.00 HR 0000_0000000180843440 A2    1 14406
D 2014-06-26 11:29:03.44 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-26 11:43:59.42 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
D 2014-06-26 11:43:59.55 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-26 11:58:55.43 00:00:00.00 HR 0000_0000000180843440 A2    1 14403
D 2014-06-26 11:58:55.56 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-26 12:13:51.36 00:00:00.00 HR 0000_0000000180843440 A2    1 14402
D 2014-06-26 12:28:47.32 00:00:00.00 HR 0000_0000000180843440 A2    1 14405
D 2014-06-26 12:43:43.24 00:00:00.00 HR 0000_0000000180843440 A2    1 14404
