

>d ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx                                 EA 0.00   11.6 V     3.3 V   11:35:40.56
Rx 0.22 Tx         A2 0.96                 EA 0.45   11.6 V     3.3 V   11:35:41.08
Rx 0.22 Tx         A2 0.94                 EA 0.46   11.6 V     3.3 V   11:35:41.59
Rx 0.21 Tx         A2 0.97                 EA 0.46   11.6 V     3.3 V   11:35:42.10

>up
Upload #10
Reader: Noname  Site: AA
--------- upload 10 start ---------
E 2014-06-16 10:46:21.71 upload 9 complete
E 2014-06-16 10:48:39.83 supply power ok 12.4V
E 2014-06-16 10:48:39.83 database file opened
E 2014-06-16 10:48:39.83 starting reader after power up
D 2014-06-16 10:49:47.08 00:00:00.00 HR 0000_0000000181177664 A2    1   984
D 2014-06-16 10:49:53.37 00:00:00.00 HR 0000_0000000181177664 A2    1   100
D 2014-06-16 10:49:53.50 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-16 10:49:53.63 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-16 10:50:10.60 00:00:00.00 HA      900_226000080255 A2    1   271
D 2014-06-16 10:50:10.73 00:00:00.00 HA      900_226000080255 A2    1     1
D 2014-06-16 10:50:12.91 00:00:00.00 HA      900_226000080255 A2    1    34
D 2014-06-16 10:50:17.74 00:00:00.00 HA      900_226000080255 A2    1    76
D 2014-06-16 10:50:17.86 00:00:00.00 HA      900_226000080255 A2    1     1
D 2014-06-16 10:50:20.68 00:00:00.00 HA      900_226000080255 A2    1    44
D 2014-06-16 10:50:20.81 00:00:00.00 HA      900_226000080255 A2    1     1
D 2014-06-16 11:12:14.42 00:00:00.00 HR 0000_0000000180843440 A2    1 21119
D 2014-06-16 11:27:10.46 00:00:00.00 HR 0000_0000000180843440 A2    1 14406
D 2014-06-16 11:42:06.24 00:00:00.00 HR 0000_0000000180843440 A2    1 14402
D 2014-06-16 12:26:53.44 00:00:00.00 HR 0000_0000000180843440 A2    1 43204
D 2014-06-16 13:11:40.33 00:00:00.00 HR 0000_0000000180843440 A2    1 43199
D 2014-06-16 13:41:30.96 00:00:00.00 HR 0000_0000000180843440 A2    1 28787
D 2014-06-16 13:41:31.10 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-16 15:11:01.98 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-16 15:11:02.11 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-16 15:25:57.14 00:00:00.00 HR 0000_0000000180843440 A2    1 14389
D 2014-06-16 15:25:57.27 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-16 16:10:43.08 00:00:00.00 HR 0000_0000000180843440 A2    1 43182
D 2014-06-16 16:55:30.06 00:00:00.00 HR 0000_0000000180843440 A2    1 43200
D 2014-06-16 17:25:21.16 00:00:00.00 HR 0000_0000000180843440 A2    1 28796
D 2014-06-16 17:25:21.29 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-16 19:09:49.42 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-16 19:24:44.51 00:00:00.00 HR 0000_0000000180843440 A2    1 14390
D 2014-06-16 19:39:39.72 00:00:00.00 HR 0000_0000000180843440 A2    1 14392
D 2014-06-16 19:39:39.85 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-16 19:54:34.90 00:00:00.00 HR 0000_0000000180843440 A2    1 14390
D 2014-06-16 20:09:30.22 00:00:00.00 HR 0000_0000000180843440 A2    1 14393
D 2014-06-16 20:09:30.35 00:00:00.00 HR 0000_0000000180843440 A2    1     1
D 2014-06-16 21:24:05.65 00:00:00.00 HR 0000_0000000180843440 A2    1     .
D 2014-06-16 22:08:50.86 00:00:00.00 HR 0000_0000000180843440 A2    1 43162
D 2014-06-16 22:53:36.03 00:00:00.00 HR 0000_0000000180843440 A2    1 43161
