

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.87                         EA 0.53   11.1 V     3.3 V   11:08:45.47
Rx 0.22 Tx A1 0.85                         EA 0.52   11.1 V     3.3 V   11:08:45.98
Rx 0.21 Tx A1 0.86                         EA 0.53   11.1 V     3.3 V   11:08:46.49

>up
Upload #6
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2014-06-05 12:21:10.12 upload 5 complete
E 2014-06-05 12:22:55.38 supply power ok 12.5V
E 2014-06-05 12:22:55.38 database file opened
E 2014-06-05 12:22:55.38 starting reader after power up
D 2014-06-05 12:23:04.19 00:00:00.00 HR 0000_0000000181177664 A1    1    64
D 2014-06-05 12:23:04.36 00:00:00.00 HR 0000_0000000181177664 A1    1     3
D 2014-06-05 12:23:04.45 00:00:00.00 HR 0000_0000000181177664 A1    1     1
D 2014-06-05 12:23:04.62 00:00:00.00 HR 0000_0000000181177664 A1    1     3
D 2014-06-05 12:23:04.75 00:00:00.04 HR 0000_0000000181177664 A1    2     2
D 2014-06-05 12:23:04.88 00:00:00.05 HR 0000_0000000181177664 A1    2     1
D 2014-06-05 12:23:05.92 00:00:00.00 HR 0000_0000000181177664 A1    1     6
D 2014-06-05 12:23:05.05 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-05 12:23:05.18 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-05 12:23:05.36 00:00:00.00 HR 0000_0000000181177664 A1    1    25
D 2014-06-05 12:23:05.49 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-05 12:23:05.61 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-05 12:23:05.92 00:00:00.00 HR 0000_0000000181177664 A1    1     5
D 2014-06-05 12:23:05.05 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-05 12:23:05.18 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-05 12:23:08.71 00:00:00.05 HR 0000_0000000181177664 A1    2    22
D 2014-06-05 12:23:08.27 00:00:00.00 HR 0000_0000000181177664 A1    1    11
D 2014-06-05 12:23:08.40 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-05 12:23:08.03 00:00:00.05 HR 0000_0000000181177664 A1    2    11
D 2014-06-05 12:23:08.16 00:00:00.00 HR 0000_0000000181177664 A1    1     1
