

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.20 Tx         A2 0.96                 EA 0.45   11.5 V     3.2 V   10:50:52.82
Rx 0.21 Tx         A2 0.91                 EA 0.43   11.5 V     3.2 V   10:50:53.34
Rx 0.22 Tx         A2 0.92                 EA 0.44   11.5 V     3.2 V   10:50:53.85

>up
Upload #7
Reader: Noname  Site: AA
--------- upload 7 start ---------
E 2014-06-05 12:23:52.44 upload 6 complete
E 2014-06-05 12:39:03.20 supply power ok 12.4V
E 2014-06-05 12:39:03.21 database file opened
E 2014-06-05 12:39:03.21 starting reader after power up
D 2014-06-05 12:39:52.01 00:00:00.00 HR 0000_0000000181177664 A2    1   670
D 2014-06-05 12:40:07.49 00:00:00.00 HR 0000_0000000181177664 A2    1   247
D 2014-06-05 12:40:16.06 00:00:00.00 HR 0000_0000000181177664 A2    1   136
D 2014-06-05 12:40:16.43 00:00:00.00 HR 0000_0000000181177664 A2    1     5
D 2014-06-05 12:40:24.91 00:00:00.00 HR 0000_0000000181177664 A2    1   135
D 2014-06-05 12:40:24.05 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-05 12:41:01.76 00:00:00.00 HA      900_226000080255 A2    1   588
D 2014-06-05 12:44:32.98 00:00:00.00 HR 0000_0000000181177664 A2    1  3393
D 2014-06-05 12:44:33.12 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-05 12:44:33.25 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-05 12:44:40.81 00:00:00.00 HR 0000_0000000181177664 A2    1   120
D 2014-06-05 12:44:40.20 00:00:00.00 HR 0000_0000000181177664 A2    1     5
D 2014-06-05 12:44:40.33 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-05 12:45:06.65 00:00:00.00 HR 0000_0000000181177664 A2    1   405
D 2014-06-05 12:45:06.78 00:00:00.00 HR 0000_0000000181177664 A2    1     1
D 2014-06-05 12:45:06.91 00:00:00.00 HR 0000_0000000181177664 A2    1     1
E 2014-06-05 12:45:29.89 supply power ok 12.3V
E 2014-06-05 12:45:29.89 database file opened
E 2014-06-05 12:45:29.89 starting reader after power up
D 2014-06-05 12:45:48.57 00:00:00.00 HR 0000_0000000181177664 A2    1   203
D 2014-06-05 12:46:10.28 00:00:00.00 HR 0000_0000000181177664 A2    1   348
D 2014-06-05 12:46:21.65 00:00:00.00 HR 0000_0000000181177664 A2    1   182
D 2014-06-05 12:46:23.52 00:00:00.00 HR 0000_0000000181177664 A2    1    29
D 2014-06-05 12:46:23.77 00:00:00.00 HR 0000_0000000181177664 A2    1     3
D 2014-06-05 12:46:25.65 00:00:00.00 HR 0000_0000000181177664 A2    1    29
D 2014-06-05 12:46:46.07 00:00:00.00 HR 0000_0000000181177664 A2    1   327
