

>ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.22 Tx A1 0.83                         EA 0.52   11.2 V     3.3 V   10:46:02.32
Rx 0.22 Tx A1 0.80                         EA 0.51   11.2 V     3.3 V   10:46:02.83
Rx 0.25 Tx A1 0.82                         EA 0.52   11.2 V     3.3 V   10:46:03.34

>up
Upload #11
Reader: Noname  Site: AA
--------- upload 11 start ---------
E 2014-06-23 10:16:20.65 upload 10 complete
E 2014-06-23 10:17:34.41 supply power ok 12.7V
E 2014-06-23 10:17:34.41 database file opened
E 2014-06-23 10:17:34.41 starting reader after power up
D 2014-06-23 10:18:47.03 00:00:00.05 HR 0000_0000000181177664 A1    2  1593
D 2014-06-23 10:18:47.20 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-23 10:18:47.33 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-23 10:18:47.47 00:00:00.04 HR 0000_0000000181177664 A1    2     1
D 2014-06-23 10:18:47.64 00:00:00.05 HR 0000_0000000181177664 A1    2     2
D 2014-06-23 10:18:47.08 00:00:00.00 HR 0000_0000000181177664 A1    1    11
D 2014-06-23 10:18:51.00 00:00:00.05 HR 0000_0000000181177664 A1    2    50
D 2014-06-23 10:18:51.13 00:00:00.05 HR 0000_0000000181177664 A1    2     1
D 2014-06-23 10:18:51.31 00:00:00.04 HR 0000_0000000181177664 A1    2     2
D 2014-06-23 10:18:51.44 00:00:00.05 HR 0000_0000000181177664 A1    2     1
D 2014-06-23 10:18:51.61 00:00:00.00 HR 0000_0000000181177664 A1    1     2
D 2014-06-23 10:22:46.15 00:00:00.00 HA      900_226000080311 A1    1  5624
D 2014-06-23 10:22:46.28 00:00:00.05 HA      900_226000080311 A1    2     2
D 2014-06-23 10:22:46.45 00:00:00.00 HA      900_226000080311 A1    1     2
D 2014-06-23 10:22:48.59 00:00:00.05 HA      900_226000080311 A1    2    50
D 2014-06-23 10:22:48.76 00:00:00.05 HA      900_226000080311 A1    2     2
D 2014-06-23 10:22:48.90 00:00:00.05 HA      900_226000080311 A1    2     1
D 2014-06-23 10:24:54.20 00:00:00.05 HR 0000_0000000180573731 A1    2  3009
D 2014-06-23 10:24:54.38 00:00:00.00 HR 0000_0000000180573731 A1    1     2
D 2014-06-23 10:39:51.72 00:00:00.19 HR 0000_0000000180573731 A1    5 21572
