up
Upload #25
Reader: Noname  Site: AA
--------- upload 25 start ---------
E 2015-04-27 18:26:33.63 upload 24 complete
E 2015-04-27 18:31:00.00 date/time changed. Was 2015-04-27 18:27:04.52
E 2015-04-27 18:34:24.20 supply power ok 11.7V
E 2015-04-27 18:34:24.20 database file opened
E 2015-04-27 18:34:24.20 starting reader after power up
D 2015-04-27 18:34:49.61 00:00:00.61 HR 0000_0000000181177679 A1    4    96
D 2015-04-27 18:34:51.62 00:00:00.20 HR 0000_0000000181177679 A1    2     6
D 2015-04-27 18:36:18.60 00:00:01.01 HA      900_226000080268 A1    6   430
D 2015-04-27 18:36:20.62 00:00:00.81 HA      900_226000080268 A1    5     4
D 2015-04-27 18:36:27.27 00:00:00.00 HR 0000_0000000180598569 A1    1    28
D 2015-04-27 18:36:27.47 00:00:00.40 HR 0000_0000000181177678 A1    3     0
D 2015-04-27 18:36:31.30 00:00:00.60 HR 0000_0000000181177678 A1    4    16
D 2015-04-27 18:36:33.31 00:00:00.40 HR 0000_0000000181177678 A1    3     6
D 2015-04-27 18:36:47.92 00:00:00.00 HR 0000_0000000181177679 A3    1   682
D 2015-04-27 18:36:51.15 00:00:00.80 HR 0000_0000000181177679 A3    5    15
D 2015-04-27 18:39:04.34 00:00:01.00 HA      900_226000080268 A1    6   747
D 2015-04-27 18:39:05.74 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-04-27 18:39:06.96 00:00:00.61 HA      900_226000080268 A1    4     5
D 2015-04-27 18:51:23.98 00:00:00.00 HR 0000_0000000180598569 A1    1  3656
D 2015-04-27 19:06:20.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-04-27 19:21:17.30 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2015-04-27 19:36:14.06 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-27 19:51:10.60 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2015-04-27 20:06:07.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-04-27 20:21:03.84 00:00:00.21 HR 0000_0000000180598569 A1    2  4451
D 2015-04-27 20:36:00.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-27 20:50:57.32 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-27 21:05:53.94 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-27 21:20:50.56 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-04-27 21:35:47.00 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
