

>up
Upload #17
Reader: Noname  Site: AA
--------- upload 17 start ---------
E 2015-05-14 14:11:05.53 upload 16 complete
E 2015-05-14 14:14:07.78 supply power ok 11.9V
E 2015-05-14 14:14:07.78 database file opened
E 2015-05-14 14:14:07.78 starting reader after power up
D 2015-05-14 14:14:59.08 00:00:00.20 HR 0000_0000000181177679 A1    2   223
D 2015-05-14 14:15:00.48 00:00:00.00 HR 0000_0000000181177679 A1    1     5
D 2015-05-14 14:15:03.10 00:00:01.21 HR 0000_0000000181177679 A1    7    12
D 2015-05-14 14:15:05.32 00:00:00.60 HR 0000_0000000181177679 A1    4     4
D 2015-05-14 14:15:09.14 00:00:00.00 HR 0000_0000000181177679 A1    1    15
D 2015-05-14 14:15:09.94 00:00:00.41 HR 0000_0000000181177679 A1    3     3
D 2015-05-14 14:15:10.16 00:00:03.22 HR 0000_0000000181177679 A1   12     3
D 2015-05-14 14:15:35.03 00:00:00.39 HA      900_226000080268 A3    3   403
D 2015-05-14 14:15:35.82 23:59:59.21 HA      900_226000080268 A3    2     1
D 2015-05-14 14:15:36.43 00:00:02.62 HA      900_226000080268 A3   14     1
D 2015-05-14 14:15:40.86 00:00:03.22 HA      900_226000080268 A3   17     8
D 2015-05-14 14:15:52.14 00:00:00.80 HR 0000_0000000181177678 A3    5    39
D 2015-05-14 14:15:54.15 00:00:02.41 HR 0000_0000000181177678 A3   13     5
D 2015-05-14 14:21:18.14 00:00:00.00 HR 0000_0000000180573731 A3    1  1596
D 2015-05-14 14:36:19.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2015-05-14 14:51:20.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2015-05-14 15:06:21.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2015-05-14 15:21:21.42 00:00:00.21 HR 0000_0000000180573731 A3    2  4472
D 2015-05-14 15:36:21.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
D 2015-05-14 15:51:22.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2015-05-14 16:06:23.11 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2015-05-14 16:21:23.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4471
