up
Upload #20
Reader: Noname  Site: AA
--------- upload 20 start ---------
E 2015-05-25 09:00:12.06 upload 19 complete
E 2015-05-25 09:03:32.54 supply power ok 11.8V
E 2015-05-25 09:03:32.54 database file opened
E 2015-05-25 09:03:32.54 starting reader after power up
D 2015-05-25 09:07:21.28 00:00:00.59 HA      900_226000080268 A3    4  1104
D 2015-05-25 09:07:23.88 00:00:00.21 HA      900_226000080268 A3    2     9
D 2015-05-25 09:07:24.49 00:00:00.40 HA      900_226000080268 A3    3     1
D 2015-05-25 09:07:25.69 00:00:02.82 HA      900_226000080268 A3   15     3
D 2015-05-25 09:07:28.91 00:00:04.03 HA      900_226000080268 A3   21     1
D 2015-05-25 09:07:38.98 00:00:00.81 HR 0000_0000000181177678 A3    5    29
D 2015-05-25 09:08:00.83 00:00:00.81 HR 0000_0000000181177679 A1    5  1302
D 2015-05-25 09:08:03.66 00:00:01.81 HR 0000_0000000181177679 A1   10     9
D 2015-05-25 09:12:47.25 00:00:00.00 HR 0000_0000000180573731 A3    1  1526
D 2015-05-25 09:27:45.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-25 09:42:42.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-25 09:57:40.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-25 10:12:38.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-25 10:27:36.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-05-25 10:42:34.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2015-05-25 10:57:32.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-05-25 11:12:30.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-05-25 11:22:09.36 00:00:01.20 HA      900_226000080276 A3    7  2872
D 2015-05-25 11:27:29.09 00:00:00.00 HR 0000_0000000180573731 A3    1  1581
D 2015-05-25 11:42:27.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-05-25 11:57:25.32 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2015-05-25 12:12:23.30 00:00:00.20 HR 0000_0000000180573731 A3    2  4459
D 2015-05-25 12:27:21.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-05-25 12:42:19.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-05-25 12:57:18.48 00:00:00.20 HR 0000_0000000180573731 A3    2  4462
D 2015-05-25 13:12:18.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4469
D 2015-05-25 13:27:19.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4472
D 2015-05-25 13:42:20.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4473
D 2015-05-25 13:57:21.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2015-05-25 14:01:19.96 00:00:00.20 HA      900_226000080276 A3    2  1185
D 2015-05-25 14:12:22.40 00:00:00.20 HR 0000_0000000180573731 A3    2  3288
D 2015-05-25 14:27:23.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2015-05-25 14:42:25.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4476
D 2015-05-25 14:57:26.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4475
D 2015-05-25 15:12:27.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
D 2015-05-25 15:27:28.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4474
