UP
Upload #37
Reader: Noname  Site: AA
--------- upload 37 start ---------
E 2015-06-04 16:50:54.86 upload 36 complete
E 2015-06-04 16:53:08.01 supply power ok 12.1V
E 2015-06-04 16:53:08.01 database file opened
E 2015-06-04 16:53:08.01 starting reader after power up
D 2015-06-04 16:53:42.87 00:00:00.00 HR 0000_0000000180598569 A1    1   143
D 2015-06-04 16:54:00.28 00:00:02.23 HR 0000_0000000181177679 A3   12   228
D 2015-06-04 16:54:02.31 00:00:00.00 HR 0000_0000000181177679 A3    1     3
D 2015-06-04 16:54:03.71 00:00:03.23 HR 0000_0000000181177679 A3   17     1
D 2015-06-04 16:54:13.00 00:00:00.00 HR 0000_0000000181177679 A3    1    34
D 2015-06-04 16:54:14.40 00:00:07.07 HR 0000_0000000181177679 A3   36     1
D 2015-06-04 16:56:14.67 00:00:01.62 HR 0000_0000000181177678 A1    9   753
D 2015-06-04 16:56:29.57 00:00:00.81 HR 0000_0000000181177678 A1    5    65
D 2015-06-04 16:56:30.78 00:00:00.20 HR 0000_0000000181177678 A1    2     1
D 2015-06-04 16:56:41.45 00:00:00.41 HA      900_226000080268 A1    3    51
D 2015-06-04 16:56:42.27 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-06-04 16:56:42.67 00:00:01.21 HA      900_226000080268 A1    7     1
D 2015-06-04 16:56:54.75 00:00:00.82 HR 0000_0000000181177678 A1    5    53
D 2015-06-04 16:57:00.60 00:00:00.81 HR 0000_0000000181177678 A1    5    24
D 2015-06-04 16:57:01.42 00:00:02.40 HR 0000_0000000181177678 A1    3     4
D 2015-06-04 16:57:03.62 00:00:00.20 HR 0000_0000000181177678 A1    2     3
D 2015-06-04 16:57:04.83 00:00:00.42 HR 0000_0000000181177678 A1    3     4
D 2015-06-04 16:57:05.65 00:00:00.20 HR 0000_0000000181177678 A1    2     1
D 2015-06-04 17:08:39.35 00:00:00.00 HR 0000_0000000180598569 A1    1  3443
D 2015-06-04 17:23:35.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-06-04 17:38:32.36 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 17:53:28.75 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 18:08:25.19 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 18:23:21.64 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 18:38:18.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 18:53:14.52 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 19:08:10.95 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 19:23:07.16 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 19:38:03.56 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-06-04 19:52:59.75 00:00:00.20 HR 0000_0000000180598569 A1    2  4449
D 2015-06-04 20:07:56.20 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 20:22:52.41 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 20:37:48.67 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 20:52:44.75 00:00:00.20 HR 0000_0000000180598569 A1    2  4448
D 2015-06-04 21:07:41.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4448
D 2015-06-04 21:22:37.24 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 21:37:33.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 21:52:29.72 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 22:07:25.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 22:22:22.21 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 22:37:18.47 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 22:52:14.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 23:07:10.96 00:00:00.00 HR 0000_0000000180598569 A1    1  4449
D 2015-06-04 23:22:07.04 00:00:00.21 HR 0000_0000000180598569 A1    2  4448
