û

>up
Upload #30
Reader: Noname  Site: AA
--------- upload 30 start ---------
E 2015-05-14 14:29:38.20 upload 29 complete
E 2015-05-14 14:32:57.48 supply power ok 12.2V
E 2015-05-14 14:32:57.48 database file opened
E 2015-05-14 14:32:57.48 starting reader after power up
D 2015-05-14 14:33:21.07 00:00:01.01 HA      900_226000080268 A1    6    86
D 2015-05-14 14:33:22.88 00:00:00.62 HA      900_226000080268 A1    4     3
D 2015-05-14 14:33:24.31 00:00:00.40 HA      900_226000080268 A1    3     3
D 2015-05-14 14:33:24.11 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-14 14:33:26.51 00:00:01.03 HA      900_226000080268 A1   11     1
D 2015-05-14 14:33:34.18 00:00:00.60 HR 0000_0000000181177678 A1    4    32
D 2015-05-14 14:33:36.60 00:00:00.21 HR 0000_0000000181177678 A1    7     3
D 2015-05-14 14:36:54.29 00:00:00.20 HR 0000_0000000180598569 A1    2   980
D 2015-05-14 14:39:13.21 00:00:00.40 HA      900_226000080268 A1    3   688
D 2015-05-14 14:39:15.62 00:00:00.00 HA      900_226000080268 A1    1     9
D 2015-05-14 14:39:18.45 00:00:02.03 HA      900_226000080268 A1   11    13
D 2015-05-14 14:40:32.26 00:00:00.00 HR 0000_0000000181177679 A3    1  2227
D 2015-05-14 14:40:32.86 00:00:00.21 HR 0000_0000000181177679 A3    2     2
D 2015-05-14 14:40:33.67 00:00:00.00 HR 0000_0000000181177679 A3    1     2
D 2015-05-14 14:40:33.09 00:00:00.00 HR 0000_0000000181177679 A3    1     1
D 2015-05-14 14:40:36.10 00:00:01.81 HR 0000_0000000181177679 A3   10     9
D 2015-05-14 14:40:52.81 00:00:00.00 HR 0000_0000000181177679 A3    1    73
D 2015-05-14 14:40:53.22 00:00:00.00 HR 0000_0000000181177679 A3    1     1
D 2015-05-14 14:40:54.43 00:00:00.61 HR 0000_0000000181177679 A3    4     5
D 2015-05-14 14:51:51.93 00:00:00.00 HR 0000_0000000180598569 A1    1  3731
D 2015-05-14 15:06:49.37 00:00:00.20 HR 0000_0000000180598569 A1    2  4457
D 2015-05-14 15:21:46.98 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2015-05-14 15:36:44.30 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2015-05-14 15:51:41.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2015-05-14 16:06:39.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2015-05-14 16:21:36.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4456
D 2015-05-14 16:36:33.72 00:00:00.20 HR 0000_0000000180598569 A1    2  4454
D 2015-05-14 16:51:30.55 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 17:06:27.12 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 17:21:23.71 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 17:36:20.09 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2015-05-14 17:51:16.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-05-14 18:06:13.23 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 18:21:09.79 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 18:36:06.34 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 18:51:02.74 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2015-05-14 19:05:59.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-05-14 19:20:55.87 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 19:35:52.45 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-14 19:50:48.77 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-05-14 20:05:45.14 00:00:00.20 HR 0000_0000000180598569 A1    2  4451
D 2015-05-14 20:20:41.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-05-14 20:35:37.90 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-05-14 20:50:34.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4451
D 2015-05-14 21:05:30.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-05-14 21:20:26.71 00:00:00.20 HR 0000_0000000180598569 A1    2  4450
D 2015-05-14 21:35:23.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
D 2015-05-14 21:50:19.27 00:00:00.00 HR 0000_0000000180598569 A1    1  4450
