up
Upload #34
Reader: Noname  Site: AA
--------- upload 34 start ---------
E 2015-05-28 11:15:59.37 upload 33 complete
E 2015-05-28 11:21:10.75 supply power ok 12.3V
E 2015-05-28 11:21:10.75 database file opened
E 2015-05-28 11:21:10.75 starting reader after power up
D 2015-05-28 11:21:39.06 00:00:01.20 HR 0000_0000000181177678 A1    7   108
D 2015-05-28 11:23:26.30 00:00:01.41 HR 0000_0000000181177678 A1    8   526
D 2015-05-28 11:23:41.60 00:00:00.00 HA      900_226000080268 A1    1    68
D 2015-05-28 11:24:09.98 00:00:00.00 HA      900_226000080268 A1    1   140
D 2015-05-28 11:24:10.39 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-28 11:24:10.79 23:59:59.21 HA      900_226000080268 A1    2     1
D 2015-05-28 11:24:10.40 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-28 11:24:12.21 00:00:00.20 HA      900_226000080268 A1    2     3
D 2015-05-28 11:24:12.22 00:00:00.00 HA      900_226000080268 A1    1     3
D 2015-05-28 11:25:43.77 00:00:00.00 HA      900_226000080268 A1    1   449
D 2015-05-28 11:25:43.17 00:00:00.20 HA      900_226000080268 A1    2     1
D 2015-05-28 11:25:45.97 23:59:59.61 HA      900_226000080268 A1    4     2
D 2015-05-28 11:25:45.00 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-28 11:25:45.40 00:00:01.20 HA      900_226000080268 A1    2     1
D 2015-05-28 11:25:47.21 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-28 11:25:47.61 00:00:00.80 HA      900_226000080268 A1    5     1
D 2015-05-28 11:25:48.03 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-28 11:25:50.24 00:00:00.00 HA      900_226000080268 A1    1     5
D 2015-05-28 11:25:50.64 00:00:00.40 HA      900_226000080268 A1    3     1
D 2015-05-28 11:25:51.44 00:00:00.41 HA      900_226000080268 A1    3     1
D 2015-05-28 11:26:25.96 00:00:00.41 HR 0000_0000000181177679 A3    3  1535
D 2015-05-28 11:26:26.77 00:00:02.02 HR 0000_0000000181177679 A3   11     1
D 2015-05-28 11:26:29.40 00:00:00.20 HR 0000_0000000181177679 A3    2     2
D 2015-05-28 11:34:36.94 00:00:00.00 HR 0000_0000000180598569 A1    1  2607
D 2015-05-28 11:49:33.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 12:04:30.73 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 12:19:27.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 12:34:24.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 12:49:21.42 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 13:04:18.50 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2015-05-28 13:19:15.79 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 13:49:10.66 00:00:00.00 HR 0000_0000000180598569 A1    1  8912
D 2015-05-28 14:04:08.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4457
D 2015-05-28 14:19:05.63 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 14:34:02.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2015-05-28 14:49:00.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 15:03:57.31 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 15:18:54.59 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 15:33:51.89 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 15:48:49.22 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 16:03:46.48 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 16:18:43.78 00:00:00.00 HR 0000_0000000180598569 A1    1  4455
D 2015-05-28 16:33:40.89 00:00:00.00 HR 0000_0000000180598569 A1    1  4454
D 2015-05-28 16:48:37.85 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 17:03:34.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 17:18:31.68 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 17:33:28.53 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 17:48:25.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 18:03:22.33 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 18:18:19.01 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 18:33:15.84 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 18:48:12.69 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 19:03:09.38 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 19:18:06.10 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 19:33:02.76 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 19:47:59.64 00:00:00.00 HR 0000_0000000180598569 A1    1  4453
D 2015-05-28 20:02:56.34 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 20:17:53.02 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 20:32:49.74 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
D 2015-05-28 20:47:46.44 00:00:00.00 HR 0000_0000000180598569 A1    1  4452
