up
database not open
Sleeping: supply is  8.6 V
 shutdown at  9.0 V,  startup at 10.0 V
^
Oregon RFID Datalogger Version 5.02  
2015-06-22 21:12:44.00

>supply power ok 11.5V
database file opened
starting reader after power up
uu
Type 'HE' for help

>up
Upload #28
Reader: Noname  Site: AA
--------- upload 28 start ---------
E 2015-06-18 10:06:11.99 upload 27 complete
E 2015-06-18 10:06:19.22 supply power ok 12.0V
E 2015-06-18 10:06:19.22 database file opened
E 2015-06-18 10:06:19.22 starting reader after power up
D 2015-06-18 10:06:58.13 00:00:00.39 HA      900_226000080268 A3    3   163
D 2015-06-18 10:07:08.19 00:00:00.40 HR 0000_0000000181177678 A3    3    47
D 2015-06-18 10:13:39.04 00:00:00.00 HR 0000_0000000180573731 A3    1  1938
D 2015-06-18 10:28:36.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 10:43:34.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 10:58:31.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 11:13:29.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 11:28:26.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 11:43:24.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 11:58:21.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 12:13:19.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 12:28:16.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 12:43:14.05 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-06-18 12:58:11.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 13:13:09.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 13:28:07.01 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 13:43:04.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-18 13:58:02.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-18 14:13:00.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-18 14:27:57.93 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 14:42:55.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 14:57:53.18 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-06-18 15:12:50.78 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-18 15:27:48.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 15:42:45.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 15:57:43.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 16:12:40.81 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-18 16:27:38.41 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 16:42:35.83 00:00:00.21 HR 0000_0000000180573731 A3    2  4455
D 2015-06-18 16:57:33.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 17:12:30.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 17:27:28.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 17:42:25.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 17:57:23.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-18 18:12:21.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 18:27:18.99 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-06-18 18:42:16.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 18:57:14.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 19:12:11.78 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 19:27:09.24 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-18 19:42:06.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-18 19:57:04.57 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-18 20:12:02.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 20:26:59.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 20:41:57.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 20:56:55.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 21:11:52.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 21:26:50.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 21:41:47.92 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 21:56:45.57 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-18 22:11:43.07 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 22:26:40.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 22:41:37.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-18 22:56:35.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-18 23:11:32.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-18 23:26:29.72 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-06-18 23:41:27.00 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-18 23:56:24.23 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-19 00:11:21.53 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-06-19 00:26:18.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-19 00:41:16.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 00:56:13.59 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-19 01:11:10.86 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-19 01:26:08.50 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 01:41:06.18 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 01:56:03.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 02:11:01.03 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 02:25:58.62 00:00:00.20 HR 0000_0000000180573731 A3    2  4456
D 2015-06-19 02:40:56.42 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 02:55:54.07 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 03:10:51.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 03:25:49.27 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 03:40:46.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 03:55:44.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 04:10:42.08 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 04:25:39.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 04:40:36.84 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 04:55:34.03 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-19 05:10:31.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-19 05:25:28.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 05:40:26.25 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-19 05:55:23.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 06:10:21.27 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 06:25:18.70 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-19 06:40:16.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-19 06:55:13.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 07:10:11.08 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 07:25:08.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-19 07:40:05.89 00:00:00.21 HR 0000_0000000180573731 A3    2  4455
D 2015-06-19 07:55:03.29 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-19 08:10:00.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 08:24:58.39 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-19 08:39:56.25 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-19 08:54:54.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-19 09:09:52.18 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-19 09:24:50.41 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-19 09:39:48.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-19 09:54:46.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-19 10:09:44.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-19 10:24:43.04 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-19 10:39:41.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-19 10:54:39.36 00:00:00.20 HR 0000_0000000180573731 A3    2  4459
D 2015-06-19 11:09:37.72 00:00:00.20 HR 0000_0000000180573731 A3    2  4459
D 2015-06-19 11:24:36.07 00:00:00.20 HR 0000_0000000180573731 A3    2  4459
D 2015-06-19 11:39:34.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-19 11:54:32.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
