UP
Upload #10
Reader: Noname  Site: AA
--------- upload 10 start ---------
E 2015-04-20 19:02:42.72 upload 9 complete
E 2015-04-21 17:06:40.34 supply power ok 12.6V
E 2015-04-21 17:06:40.34 database file opened
E 2015-04-21 17:06:40.34 starting reader after power up
D 2015-04-21 17:08:03.29 00:00:01.01 HR 0000_0000000181177678 A3    6   382
D 2015-04-21 17:08:04.70 00:00:00.60 HR 0000_0000000181177678 A3    4     1
D 2015-04-21 17:08:06.31 00:00:00.60 HR 0000_0000000181177678 A3    4     4
D 2015-04-21 17:08:17.59 00:00:01.00 HA      900_226000080312 A3    6    52
D 2015-04-21 17:08:19.80 00:00:01.01 HA      900_226000080312 A3    6     5
D 2015-04-21 17:08:22.61 00:00:01.41 HA      900_226000080312 A3    8     8
D 2015-04-21 17:08:47.88 00:00:00.00 HR 0000_0000000181177679 A1    1   602
D 2015-04-21 17:08:48.49 00:00:00.00 HR 0000_0000000181177679 A1    1     2
D 2015-04-21 17:08:48.89 23:59:59.20 HR 0000_0000000181177679 A1    2     1
D 2015-04-21 17:08:49.49 00:00:01.41 HR 0000_0000000181177679 A1    8     1
D 2015-04-21 17:08:53.32 00:00:01.01 HR 0000_0000000181177679 A1    6    11
D 2015-04-21 17:11:05.31 00:00:01.00 HR 0000_0000000181177678 A3    6   800
D 2015-04-21 17:11:09.53 00:00:02.22 HR 0000_0000000181177678 A3   12    15
D 2015-04-21 17:12:55.24 00:00:00.81 HR 0000_0000000181177678 A3    5   513
D 2015-04-21 17:13:48.39 00:00:00.00 HR 0000_0000000180573731 A3    1   259
D 2015-04-21 17:13:51.41 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:13:54.24 00:00:00.00 HR 0000_0000000180573731 A3    1    13
D 2015-04-21 17:14:03.30 00:00:00.00 HR 0000_0000000180573731 A3    1    44
D 2015-04-21 17:14:24.25 00:00:00.00 HR 0000_0000000180573731 A3    1   103
D 2015-04-21 17:14:27.27 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:14:33.31 00:00:00.00 HR 0000_0000000180573731 A3    1    29
D 2015-04-21 17:14:37.52 00:00:00.00 HR 0000_0000000180573731 A3    1    20
D 2015-04-21 17:14:39.95 00:00:00.00 HR 0000_0000000180573731 A3    1    11
D 2015-04-21 17:14:40.75 00:00:00.00 HR 0000_0000000180573731 A3    1     3
D 2015-04-21 17:14:40.36 00:00:00.00 HR 0000_0000000180573731 A3    1     2
D 2015-04-21 17:14:42.76 00:00:00.00 HR 0000_0000000180573731 A3    1     1
D 2015-04-21 17:14:42.17 00:00:00.00 HR 0000_0000000180573731 A3    1     1
D 2015-04-21 17:14:42.57 00:00:00.20 HR 0000_0000000180573731 A3    2     1
D 2015-04-21 17:14:42.18 00:00:00.20 HR 0000_0000000180573731 A3    2     1
D 2015-04-21 17:14:46.39 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:14:52.43 00:00:00.00 HR 0000_0000000180573731 A3    1    29
D 2015-04-21 17:14:55.45 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:14:58.27 00:00:00.00 HR 0000_0000000180573731 A3    1    13
D 2015-04-21 17:15:07.33 00:00:00.00 HR 0000_0000000180573731 A3    1    44
D 2015-04-21 17:15:10.35 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:17:12.97 00:00:00.00 HR 0000_0000000180573731 A3    1   608
D 2015-04-21 17:17:15.99 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:17:18.81 00:00:00.20 HR 0000_0000000180573731 A3    2    13
D 2015-04-21 17:17:21.83 00:00:00.00 HR 0000_0000000180573731 A3    1    13
D 2015-04-21 17:17:30.89 00:00:00.00 HR 0000_0000000180573731 A3    1    44
D 2015-04-21 17:17:33.91 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:17:36.93 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:17:39.75 00:00:00.20 HR 0000_0000000180573731 A3    2    13
D 2015-04-21 17:17:42.77 00:00:00.00 HR 0000_0000000180573731 A3    1    13
D 2015-04-21 17:17:45.79 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:17:48.81 00:00:00.00 HR 0000_0000000180573731 A3    1    14
D 2015-04-21 17:17:49.42 00:00:00.20 HR 0000_0000000180573731 A3    2     2
D 2015-04-21 17:17:54.05 00:00:00.00 HR 0000_0000000180573731 A3    1    21
D 2015-04-21 17:17:56.26 00:00:00.00 HR 0000_0000000180573731 A3    1    10
D 2015-04-21 17:21:35.14 00:00:03.42 HR 0000_0000000181177678 A3   18  1086
D 2015-04-21 17:32:53.91 00:00:00.00 HR 0000_0000000180573731 A3    1  3353
D 2015-04-21 17:47:51.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
