UP
Upload #14
Reader: Noname  Site: AA
--------- upload 14 start ---------
E 2015-05-04 15:07:00.04 upload 13 complete
E 2015-05-04 15:11:08.79 supply power ok 12.1V
E 2015-05-04 15:11:08.79 database file opened
E 2015-05-04 15:11:08.79 starting reader after power up
E 2015-05-04 15:11:36.19 supply power ok 12.1V
E 2015-05-04 15:11:36.19 database file opened
E 2015-05-04 15:11:36.19 starting reader after power up
E 2015-05-04 15:12:13.33 supply power ok 12.1V
E 2015-05-04 15:12:13.33 database file opened
E 2015-05-04 15:12:13.33 starting reader after power up
D 2015-05-04 15:12:30.70 00:00:00.60 HR 0000_0000000181177678 A3    4    56
D 2015-05-04 15:12:32.31 00:00:00.60 HR 0000_0000000181177678 A3    4     4
D 2015-05-04 15:12:33.92 00:00:00.60 HR 0000_0000000181177678 A3    4     4
D 2015-05-04 15:12:46.60 00:00:00.81 HA      900_226000080268 A3    5    59
D 2015-05-04 15:12:49.02 00:00:00.60 HA      900_226000080268 A3    4     7
D 2015-05-04 15:13:25.77 00:00:00.61 HR 0000_0000000181177679 A1    4   328
D 2015-05-04 15:24:02.99 00:00:00.20 HR 0000_0000000180573731 A3    2  3337
D 2015-05-04 15:39:03.72 00:00:00.00 HR 0000_0000000180573731 A3    1  4649
D 2015-05-04 15:54:04.46 00:00:00.00 HR 0000_0000000180573731 A3    1  4557
D 2015-05-04 16:09:04.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4684
E 2015-05-04 16:44:31.96 supply power ok 12.0V
E 2015-05-04 16:44:31.96 database file opened
E 2015-05-04 16:44:31.96 starting reader after power up
D 2015-05-04 16:44:39.44 00:00:00.00 HA      900_226000080268 A3    1     7
D 2015-05-04 16:44:40.65 00:00:06.03 HA      900_226000080268 A3   31     5
D 2015-05-04 16:44:48.50 00:00:01.81 HA      900_226000080268 A3   10     8
D 2015-05-04 16:44:50.71 00:00:00.20 HA      900_226000080268 A3    2     1
D 2015-05-04 16:44:51.32 00:00:01.40 HA      900_226000080268 A3    8     1
D 2015-05-04 16:54:04.62 00:00:00.20 HR 0000_0000000180573731 A3    2  2742
D 2015-05-04 17:00:53.83 00:00:03.62 HR 0000_0000000181177678 A3   19  2021
D 2015-05-04 17:00:58.46 00:00:01.40 HR 0000_0000000181177678 A3    8     4
D 2015-05-04 17:01:09.33 00:00:00.20 HA      900_226000080268 A3    2    46
D 2015-05-04 17:01:09.92 00:00:03.23 HA      900_226000080268 A3   17     1
D 2015-05-04 17:01:30.15 00:00:00.80 HR 0000_0000000181177679 A1    5  5018
D 2015-05-04 17:09:04.39 00:00:00.00 HR 0000_0000000180573731 A3    1  2340
D 2015-05-04 17:24:04.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2015-05-04 17:39:03.79 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2015-05-04 17:54:03.19 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2015-05-04 18:09:02.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2015-05-04 18:24:01.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4465
D 2015-05-04 18:39:00.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2015-05-04 18:53:59.38 00:00:00.20 HR 0000_0000000180573731 A3    2  4463
D 2015-05-04 19:08:58.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2015-05-04 19:23:56.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2015-05-04 19:38:54.67 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-05-04 19:53:52.43 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-04 20:08:50.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-04 20:23:47.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-04 20:38:45.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-04 20:53:43.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-05-04 21:08:40.94 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-04 21:23:38.56 00:00:00.20 HR 0000_0000000180573731 A3    2  4457
D 2015-05-04 21:38:36.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-04 21:53:34.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-04 22:08:31.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-04 22:23:29.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-04 22:38:26.73 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-05-04 22:53:24.17 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-04 23:08:21.43 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-05-04 23:23:18.92 00:00:00.21 HR 0000_0000000180573731 A3    2  4455
D 2015-05-04 23:38:16.36 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-05-04 23:53:13.63 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-05-05 00:08:11.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-05 00:23:08.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-05 00:38:04.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 00:53:02.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-05 01:07:59.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-05 01:22:56.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-05 01:37:54.13 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-05 01:52:51.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-05-05 02:07:48.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-05 02:22:45.81 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-05 02:37:42.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-05 02:52:39.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-05 03:07:36.72 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-05-05 03:22:33.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 03:37:30.79 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-05 03:52:27.62 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-05-05 04:07:24.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 04:22:21.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 04:37:18.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 04:52:15.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 05:07:12.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-05 05:22:08.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-05 05:37:05.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2015-05-05 05:52:02.50 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
