up
Upload #18
Reader: Noname  Site: AA
--------- upload 18 start ---------
E 2015-05-18 20:03:17.16 upload 17 complete
E 2015-05-18 20:07:04.04 supply power ok 12.2V
E 2015-05-18 20:07:04.04 database file opened
E 2015-05-18 20:07:04.04 starting reader after power up
D 2015-05-18 20:07:35.64 00:00:00.61 HA      900_226000080268 A3    4   121
D 2015-05-18 20:07:44.32 00:00:00.00 HA      900_226000080268 A3    1    39
D 2015-05-18 20:07:44.72 00:00:00.99 HA      900_226000080268 A3    6     1
D 2015-05-18 20:07:48.13 00:00:00.20 HA      900_226000080268 A3    2    11
D 2015-05-18 20:07:48.14 00:00:02.61 HA      900_226000080268 A3    9     3
D 2015-05-18 20:08:03.25 00:00:01.20 HR 0000_0000000181177678 A3    7    61
D 2015-05-18 20:08:05.46 00:00:00.81 HR 0000_0000000181177678 A3    5     4
D 2015-05-18 20:08:23.68 00:00:00.20 HR 0000_0000000181177679 A1    2   360
D 2015-05-18 20:08:25.79 00:00:00.00 HR 0000_0000000180573731 A3    1    96
D 2015-05-18 20:08:30.53 00:00:01.81 HR 0000_0000000181177679 A1   10    32
D 2015-05-18 20:08:32.15 00:00:02.81 HR 0000_0000000181177679 A1   10     3
D 2015-05-18 20:23:22.61 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-05-18 20:38:19.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-18 20:53:16.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-18 21:08:13.84 00:00:00.21 HR 0000_0000000180573731 A3    2  4454
D 2015-05-18 21:23:11.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-18 21:38:07.99 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-18 21:53:04.85 00:00:00.21 HR 0000_0000000180573731 A3    2  4453
D 2015-05-18 22:08:01.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-18 22:22:58.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-18 22:37:55.81 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-18 22:52:52.91 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-18 23:07:49.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-18 23:22:46.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-18 23:37:43.68 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-18 23:52:40.55 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-19 00:07:37.63 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-05-19 00:22:34.48 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-05-19 00:37:31.54 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-05-19 00:52:28.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-05-19 01:07:25.87 00:00:00.21 HR 0000_0000000180573731 A3    2  4454
