UP
Upload #27
Reader: Noname  Site: AA
--------- upload 27 start ---------
E 2015-05-04 15:20:36.84 upload 26 complete
E 2015-05-04 15:23:04.81 supply power ok 12.0V
E 2015-05-04 15:23:04.81 database file opened
E 2015-05-04 15:23:04.81 starting reader after power up
D 2015-05-04 15:24:10.46 00:00:00.00 HA      900_226000080268 A1    1   301
D 2015-05-04 15:24:10.86 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:24:12.68 00:00:00.00 HA      900_226000080268 A1    1     8
D 2015-05-04 15:24:32.61 00:00:00.00 HA      900_226000080268 A1    1    98
D 2015-05-04 15:24:32.01 00:00:01.60 HA      900_226000080268 A1    4     1
D 2015-05-04 15:24:35.23 00:00:00.20 HA      900_226000080268 A1    2     7
D 2015-05-04 15:24:37.84 00:00:00.62 HA      900_226000080268 A1    4    11
D 2015-05-04 15:24:38.06 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:24:39.66 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:24:39.27 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:24:42.49 00:00:00.00 HA      900_226000080268 A1    1    10
D 2015-05-04 15:24:51.55 00:00:00.60 HR 0000_0000000181177678 A1    4    44
D 2015-05-04 15:24:53.36 00:00:00.20 HR 0000_0000000181177678 A1    2     5
D 2015-05-04 15:24:54.78 00:00:00.20 HR 0000_0000000181177678 A1    2     5
D 2015-05-04 15:24:55.78 00:00:08.69 HR 0000_0000000181177678 A1   44     3
D 2015-05-04 15:25:06.69 00:00:00.20 HR 0000_0000000181177678 A1    2    10
D 2015-05-04 15:25:07.89 00:00:00.41 HR 0000_0000000181177678 A1    3     4
D 2015-05-04 15:25:20.78 00:00:00.61 HA      900_226000080268 A1    4    61
D 2015-05-04 15:26:48.81 00:00:00.00 HR 0000_0000000181177679 A3    1  1086
D 2015-05-04 15:26:49.81 00:00:00.00 HR 0000_0000000181177679 A3    1     4
D 2015-05-04 15:26:50.62 00:00:00.41 HR 0000_0000000181177679 A3    3     3
D 2015-05-04 15:26:51.43 00:00:00.61 HR 0000_0000000181177679 A3    4     1
D 2015-05-04 15:28:09.61 00:00:00.40 HA      900_226000080268 A1    3   835
D 2015-05-04 15:28:20.09 00:00:00.00 HA      900_226000080268 A1    1    49
D 2015-05-04 15:28:20.49 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:28:33.19 00:00:00.00 HA      900_226000080268 A1    1    62
D 2015-05-04 15:28:39.62 00:00:00.00 HR 0000_0000000181177678 A1    1    31
D 2015-05-04 15:28:39.03 00:00:00.20 HR 0000_0000000181177678 A1    2     1
E 2015-05-04 15:30:01.35 parameter change: mux sequence '1'
D 2015-05-04 15:30:58.34 00:00:00.11 HR 0000_0000000180598569 A1    2   968
D 2015-05-04 15:31:01.17 00:00:00.00 HA      900_226000080268 A1    1    26
D 2015-05-04 15:31:01.37 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:31:01.57 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:31:12.95 00:00:00.00 HA      900_226000080268 A1    1   112
D 2015-05-04 15:31:13.25 00:00:00.10 HA      900_226000080268 A1    2     2
D 2015-05-04 15:31:13.56 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:31:18.62 00:00:00.00 HA      900_226000080268 A1    1    49
D 2015-05-04 15:31:18.92 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:31:21.55 00:00:01.52 HA      900_226000080268 A1   16    25
D 2015-05-04 15:31:23.58 00:00:00.00 HA      900_226000080268 A1    1     4
D 2015-05-04 15:31:24.49 00:00:00.00 HA      900_226000080268 A1    1     8
D 2015-05-04 15:31:24.69 00:00:00.10 HA      900_226000080268 A1    2     1
D 2015-05-04 15:31:24.00 00:00:00.20 HA      900_226000080268 A1    3     1
D 2015-05-04 15:31:25.40 23:59:59.92 HA      900_226000080268 A1   10     1
D 2015-05-04 15:31:26.52 23:59:59.51 HA      900_226000080268 A1    6     1
D 2015-05-04 15:31:27.64 00:00:00.20 HA      900_226000080268 A1    3     5
D 2015-05-04 15:31:27.04 00:00:00.20 HA      900_226000080268 A1    3     1
D 2015-05-04 15:31:29.64 00:00:00.00 HA      900_226000080268 A1    1     3
D 2015-05-04 15:31:29.76 00:00:00.00 HA      900_226000080268 A1    1    10
D 2015-05-04 15:31:31.48 00:00:00.30 HA      900_226000080268 A1    4    16
D 2015-05-04 15:31:31.98 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:31:31.19 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:31:31.39 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:31:33.80 00:00:00.00 HA      900_226000080268 A1    1     3
D 2015-05-04 15:31:33.11 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:31:33.81 00:00:00.00 HA      900_226000080268 A1    1     6
D 2015-05-04 15:33:17.03 00:00:00.20 HA      900_226000080268 A1    3  1025
D 2015-05-04 15:33:17.43 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:33:17.64 00:00:00.10 HA      900_226000080268 A1    2     1
D 2015-05-04 15:33:17.35 00:00:00.00 HA      900_226000080268 A1    1     5
D 2015-05-04 15:33:19.76 00:00:00.00 HA      900_226000080268 A1    1    13
D 2015-05-04 15:33:25.83 00:00:00.00 HA      900_226000080268 A1    1    59
D 2015-05-04 15:33:25.03 00:00:00.00 HA      900_226000080268 A1    1     1
E 2015-05-04 15:33:35.24 parameter change: mux sequence '13'
D 2015-05-04 15:33:44.64 00:00:00.61 HR 0000_0000000181177678 A1    4   138
D 2015-05-04 15:33:46.26 00:00:00.40 HR 0000_0000000181177678 A1    3     4
D 2015-05-04 15:33:47.87 00:00:00.40 HR 0000_0000000181177678 A1    3     5
D 2015-05-04 15:33:48.09 00:00:01.20 HR 0000_0000000181177678 A1    2     3
D 2015-05-04 15:33:59.16 00:00:00.40 HA      900_226000080268 A1    3    48
D 2015-05-04 15:33:59.16 00:00:01.20 HA      900_226000080268 A1    2     2
D 2015-05-04 15:34:07.82 00:00:00.41 HA      900_226000080268 A1    3    36
D 2015-05-04 15:34:09.03 00:00:00.21 HA      900_226000080268 A1    2     3
D 2015-05-04 15:34:11.85 00:00:00.41 HA      900_226000080268 A1    3    12
D 2015-05-04 15:34:12.66 23:59:59.41 HA      900_226000080268 A1    3     1
D 2015-05-04 15:34:14.48 00:00:00.40 HA      900_226000080268 A1    3     6
D 2015-05-04 15:34:15.28 00:00:00.60 HA      900_226000080268 A1    4     1
D 2015-05-04 15:34:17.71 00:00:00.00 HA      900_226000080268 A1    1     8
D 2015-05-04 15:34:17.12 00:00:00.20 HA      900_226000080268 A1    2     1
D 2015-05-04 15:34:24.17 00:00:00.20 HA      900_226000080268 A1    2    28
E 2015-05-04 15:34:42.73 parameter change: mux sequence '1'
E 2015-05-04 15:35:23.74 parameter change: mux sequence '13'
D 2015-05-04 15:35:43.73 00:00:00.41 HA      900_226000080268 A1    3   597
D 2015-05-04 15:36:26.62 00:00:00.41 HA      900_226000080268 A1    3   210
E 2015-05-04 15:38:41.15 parameter change: mux sequence '1'
D 2015-05-04 15:40:27.04 00:00:00.20 HA      900_226000080268 A1    3  1718
D 2015-05-04 15:40:27.44 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:40:31.68 00:00:00.00 HA      900_226000080268 A1    1    41
D 2015-05-04 15:41:22.13 00:00:00.00 HA      900_226000080268 A1    1   500
D 2015-05-04 15:41:22.33 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:41:24.75 00:00:00.00 HA      900_226000080268 A1    1    23
D 2015-05-04 15:41:27.78 00:00:00.10 HA      900_226000080268 A1    2    29
D 2015-05-04 15:41:27.09 00:00:00.10 HA      900_226000080268 A1    2     1
D 2015-05-04 15:41:29.60 00:00:00.00 HA      900_226000080268 A1    1    13
D 2015-05-04 15:41:29.02 00:00:00.00 HA      900_226000080268 A1    1     3
D 2015-05-04 15:41:32.54 00:00:00.00 HA      900_226000080268 A1    1    24
D 2015-05-04 15:41:34.57 00:00:00.00 HA      900_226000080268 A1    1    19
D 2015-05-04 15:41:34.27 00:00:00.00 HA      900_226000080268 A1    1     6
D 2015-05-04 15:41:34.48 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:41:39.72 00:00:00.00 HA      900_226000080268 A1    1    41
D 2015-05-04 15:41:39.92 23:59:59.11 HA      900_226000080268 A1    2     1
D 2015-05-04 15:41:39.33 00:00:01.30 HA      900_226000080268 A1    4     2
D 2015-05-04 15:41:41.15 00:00:00.00 HA      900_226000080268 A1    1     4
D 2015-05-04 15:41:41.25 00:00:00.00 HA      900_226000080268 A1    1    10
D 2015-05-04 15:41:45.17 00:00:00.00 HA      900_226000080268 A1    1    28
D 2015-05-04 15:42:35.18 00:00:00.00 HA      900_226000080268 A1    1   496
D 2015-05-04 15:42:35.38 00:00:00.20 HA      900_226000080268 A1    3     1
D 2015-05-04 15:42:41.94 00:00:00.00 HA      900_226000080268 A1    1    62
D 2015-05-04 15:42:44.17 00:00:00.00 HA      900_226000080268 A1    1    21
D 2015-05-04 15:42:45.49 00:00:00.10 HA      900_226000080268 A1    2    12
D 2015-05-04 15:42:45.89 23:59:59.11 HA      900_226000080268 A1    2     2
D 2015-05-04 15:42:46.30 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:42:46.51 00:00:00.00 HA      900_226000080268 A1    1    11
D 2015-05-04 15:42:48.81 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:42:48.02 00:00:00.20 HA      900_226000080268 A1    3     1
D 2015-05-04 15:42:55.07 00:00:00.10 HA      900_226000080268 A1    2    67
D 2015-05-04 15:42:56.58 00:00:00.00 HA      900_226000080268 A1    1    13
D 2015-05-04 15:43:00.23 00:00:00.00 HA      900_226000080268 A1    1    35
D 2015-05-04 15:43:01.85 00:00:00.00 HA      900_226000080268 A1    1    15
D 2015-05-04 15:43:01.15 00:00:00.00 HA      900_226000080268 A1    1     2
D 2015-05-04 15:43:03.55 00:00:00.00 HA      900_226000080268 A1    1     3
D 2015-05-04 15:43:03.75 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-05-04 15:43:03.07 00:00:00.01 HA      900_226000080268 A1   11     2
D 2015-05-04 15:43:04.49 00:00:00.00 HA      900_226000080268 A1    1     3
D 2015-05-04 15:43:04.89 00:00:00.10 HA      900_226000080268 A1    2     3
E 2015-05-04 15:43:19.66 parameter change: mux sequence '13'
D 2015-05-04 15:43:32.27 00:00:00.40 HA      900_226000080268 A1    3   208
