up
Upload #38
Reader: Noname  Site: AA
--------- upload 38 start ---------
E 2015-06-08 17:21:16.42 upload 37 complete
E 2015-06-08 17:25:04.69 supply power ok 12.1V
E 2015-06-08 17:25:04.69 database file opened
E 2015-06-08 17:25:04.69 starting reader after power up
D 2015-06-08 17:26:18.70 00:00:00.00 HR 0000_0000000181177679 A3    1   336
D 2015-06-08 17:26:18.11 00:00:00.00 HR 0000_0000000181177679 A3    1     1
D 2015-06-08 17:26:20.51 00:00:00.40 HR 0000_0000000181177679 A3    3     1
D 2015-06-08 17:26:20.93 00:00:00.20 HR 0000_0000000181177679 A3    2     4
D 2015-06-08 17:26:21.73 00:00:00.61 HR 0000_0000000181177679 A3    4     2
D 2015-06-08 17:26:22.94 00:00:01.62 HR 0000_0000000181177679 A3    9     2
D 2015-06-08 17:26:40.96 00:00:00.00 HR 0000_0000000181177678 A1    1   448
D 2015-06-08 17:26:41.37 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2015-06-08 17:26:41.19 00:00:01.60 HR 0000_0000000181177678 A1    4     3
D 2015-06-08 17:26:42.39 00:00:02.40 HR 0000_0000000181177678 A1    3     2
D 2015-06-08 17:26:44.20 00:00:00.20 HR 0000_0000000181177678 A1    2     1
D 2015-06-08 17:26:48.24 00:00:00.00 HR 0000_0000000181177678 A1    1    18
D 2015-06-08 17:26:52.86 00:00:00.00 HR 0000_0000000181177678 A1    1    22
D 2015-06-08 17:26:53.27 00:00:00.20 HR 0000_0000000181177678 A1    2     1
D 2015-06-08 17:26:53.87 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2015-06-08 17:27:03.35 00:00:00.20 HA      900_226000080268 A1    2    46
D 2015-06-08 17:27:03.95 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-06-08 17:27:04.36 00:00:00.00 HA      900_226000080268 A1    1     1
D 2015-06-08 17:27:22.28 00:00:00.00 HR 0000_0000000181177678 A1    1    88
D 2015-06-08 17:27:22.68 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2015-06-08 17:27:22.08 00:00:00.00 HR 0000_0000000181177678 A1    1     1
D 2015-06-08 17:27:23.48 00:00:00.00 HR 0000_0000000181177678 A1    1     1
