^
Oregon RFID Datalogger Version 5.02  
2015-06-25 09:18:22.00

>supply power ok 11.9V
database file opened
starting reader after power up
UP  

>UP
Upload #29
Reader: Noname  Site: AA
--------- upload 29 start ---------
E 2015-06-22 21:13:01.40 upload 28 complete
E 2015-06-22 21:14:04.50 supply power ok 11.6V
E 2015-06-22 21:14:04.50 database file opened
E 2015-06-22 21:14:04.50 starting reader after power up
D 2015-06-22 21:15:04.15 00:00:00.00 HR 0000_0000000180573731 A3    1   266
D 2015-06-22 21:21:12.65 00:00:00.20 HA      900_226000080268 A3    2  1829
D 2015-06-22 21:21:13.26 00:00:00.60 HA      900_226000080268 A3    4     1
D 2015-06-22 21:21:21.91 00:00:01.41 HA      900_226000080268 A3    8    39
D 2015-06-22 21:21:40.64 00:00:00.61 HA      900_226000080268 A3    4    85
D 2015-06-22 21:21:41.65 00:00:00.00 HA      900_226000080268 A3    1     1
D 2015-06-22 21:21:42.45 00:00:00.00 HA      900_226000080268 A3    1     3
D 2015-06-22 21:21:42.85 23:59:59.21 HA      900_226000080268 A3    2     1
D 2015-06-22 21:21:54.54 00:00:01.00 HR 0000_0000000181177678 A3    6    56
E 2015-06-22 21:22:20.67 supply power ok 11.7V
E 2015-06-22 21:22:20.67 database file opened
E 2015-06-22 21:22:20.67 starting reader after power up
D 2015-06-22 21:30:01.90 00:00:00.00 HR 0000_0000000180573731 A3    1  2255
D 2015-06-22 21:44:59.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2015-06-22 21:59:56.89 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-22 22:14:54.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-22 22:29:52.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-22 22:44:49.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-22 22:59:46.96 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
E 2015-06-22 23:13:08.74 supply power ok 11.7V
E 2015-06-22 23:13:08.74 database file opened
E 2015-06-22 23:13:08.75 starting reader after power up
D 2015-06-22 23:14:44.47 00:00:00.00 HR 0000_0000000180573731 A3    1   445
D 2015-06-22 23:29:42.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-22 23:44:39.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-22 23:59:37.07 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-23 00:14:34.50 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-23 00:29:32.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-23 00:44:29.34 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 00:59:26.74 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-23 01:14:24.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-23 01:29:21.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-23 01:44:18.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 01:59:15.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 02:14:13.00 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 02:29:10.19 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 02:44:07.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 02:59:04.40 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-06-23 03:14:01.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 03:28:58.65 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 03:43:55.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 03:58:52.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 04:13:49.85 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 04:28:46.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 04:43:44.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-23 04:58:41.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 05:13:38.64 00:00:00.20 HR 0000_0000000180573731 A3    2  4454
D 2015-06-23 05:28:36.08 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 05:43:33.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 05:58:30.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2015-06-23 06:13:27.32 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2015-06-23 06:28:24.77 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2015-06-23 06:43:22.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2015-06-23 06:58:19.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-23 07:13:17.21 00:00:00.20 HR 0000_0000000180573731 A3    2  4455
D 2015-06-23 07:28:15.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-23 07:43:12.61 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2015-06-23 07:58:10.45 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-23 08:13:08.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-23 08:28:06.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-23 08:43:04.05 00:00:00.00 HR 0000_0000000180573731 A3    1  4457
D 2015-06-23 08:58:02.01 00:00:00.00 HR 0000_0000000180573731 A3    1  4458
D 2015-06-23 09:13:00.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-23 09:27:58.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-23 09:42:56.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-23 09:57:54.48 00:00:00.20 HR 0000_0000000180573731 A3    2  4458
D 2015-06-23 10:12:52.83 00:00:00.21 HR 0000_0000000180573731 A3    2  4459
D 2015-06-23 10:27:51.35 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2015-06-23 10:42:49.53 00:00:00.00 HR 0000_0000000180573731 A3    1  4459
D 2015-06-23 10:57:48.09 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-06-23 11:12:46.48 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2015-06-23 11:27:45.03 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-06-23 11:42:43.58 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-06-23 11:57:42.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4462
D 2015-06-23 12:12:40.80 00:00:00.00 HR 0000_0000000180573731 A3    1  4461
D 2015-06-23 12:27:39.22 00:00:00.00 HR 0000_0000000180573731 A3    1  4460
D 2015-06-23 12:42:38.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4463
D 2015-06-23 12:57:37.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2015-06-23 13:12:37.42 00:00:00.00 HR 0000_0000000180573731 A3    1  4470
D 2015-06-23 13:27:37.18 00:00:00.20 HR 0000_0000000180573731 A3    2  4469
D 2015-06-23 13:42:36.75 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
D 2015-06-23 13:57:35.81 00:00:00.20 HR 0000_0000000180573731 A3    2  4465
D 2015-06-23 14:12:35.01 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2015-06-23 14:27:34.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4464
D 2015-06-23 14:42:33.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4466
D 2015-06-23 14:57:33.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4468
D 2015-06-23 15:12:33.40 00:00:00.00 HR 0000_0000000180573731 A3    1  4467
